rust_api	abi_symbol
probe_lockbox_format_version	lockbox_probe_format_version
LOCKBOX_FORMAT_VERSION	lockbox_format_version
Lockbox::move_variables	lockbox_move_variables
Lockbox::move_form_records	lockbox_move_form_records
CURRENT_VAULT_STRUCTURE_VERSION	vault_structure_version_current
VaultDirectory::probe_structure_version	vault_directory_probe_structure_version
VaultDirectory::list_form_definition_revisions	vault_directory_list_form_revisions
ReadOnlyVaultDirectory::open	vault_read_only_open
ReadOnlyVaultDirectory::open_default	vault_read_only_open_default
ReadOnlyVaultDirectory::list_private_key_names	vault_read_only_list_profile_names
ReadOnlyVaultDirectory::list_contact_names	vault_read_only_list_contact_names
ReadOnlyVaultDirectory::list_form_aliases	vault_read_only_list_form_aliases
ReadOnlyVaultDirectory::list_known_lockboxes	vault_read_only_list_known_lockboxes
start	vault_agent_start
get_vault_unlock_key	vault_agent_get_vault_unlock_key
put_vault_unlock_key	vault_agent_put_vault_unlock_key
forget_vault_unlock_key	vault_agent_forget_vault_unlock_key
get_owner_signing_key	vault_agent_get_owner_signing_key
put_owner_signing_key	vault_agent_put_owner_signing_key
forget_owner_signing_key	vault_agent_forget_owner_signing_key
VaultDirectory::remember_access_slot_label	vault_directory_remember_access_slot_label
VaultDirectory::list_access_slot_labels	vault_directory_list_access_slot_labels
VaultDirectory::find_access_slot_labels	vault_directory_find_access_slot_labels
VaultDirectory::forget_access_slot_label	vault_directory_forget_access_slot_label
