symbol	domain	return_type	arguments
buffer_last_error	support.memory	const char *	void
buffer_last_error_details	support.memory	RevaultBuffer	void
buffer_free	support.memory	void	RevaultBuffer value
lockbox_format_version	archive.forms	uint16_t	void
lockbox_probe_format_version	archive.forms	uint16_t	const uint8_t *bytes, size_t len
lockbox_create	archive.lifecycle	void *	const uint8_t *key, size_t key_len
lockbox_create_with_options	archive.lifecycle	void *	const uint8_t *key, size_t key_len, const char *cache_mode, size_t cache_len, uint64_t cache_bytes, const char *workload, size_t workload_len, const char *worker, size_t worker_len, size_t jobs
lockbox_create_password	archive.keys	void *	const uint8_t *password, size_t len
lockbox_create_contact	archive.keys	void *	const void *contact
lockbox_create_with_signing_key	archive.lifecycle	void *	const uint8_t *content_key, size_t key_len, const void *signing_key
lockbox_open	archive.lifecycle	void *	const uint8_t *archive, size_t archive_len, const uint8_t *key, size_t key_len
lockbox_open_with_options	archive.lifecycle	void *	const uint8_t *archive, size_t archive_len, const uint8_t *key, size_t key_len, const char *cache_mode, size_t cache_len, uint64_t cache_bytes, const char *workload, size_t workload_len, const char *worker, size_t worker_len, size_t jobs
lockbox_open_password	archive.keys	void *	const uint8_t *archive, size_t archive_len, const uint8_t *password, size_t password_len
lockbox_open_contact	archive.keys	void *	const uint8_t *archive, size_t archive_len, const void *contact
lockbox_add_file	archive.lifecycle	bool	void *handle, const char *path, size_t path_len, const uint8_t *data, size_t data_len, bool replace
lockbox_add_file_with_permissions	archive.lifecycle	bool	void *handle, const char *path, size_t path_len, const uint8_t *data, size_t data_len, uint32_t permissions, bool replace
lockbox_get_file	archive.lifecycle	RevaultBuffer	const void *handle, const char *path, size_t path_len
lockbox_extract_file	archive.lifecycle	bool	const void *handle, const char *source, size_t source_len, const char *destination, size_t destination_len, bool replace
lockbox_extract_directory	archive.lifecycle	bool	const void *handle, const char *destination, size_t destination_len, uint64_t max_file_bytes, uint64_t max_total_bytes, size_t max_files, bool restore_symlinks, bool restore_permissions, bool overwrite
lockbox_stream_content	archive.diagnostics	RevaultBuffer	const void *handle, bool physical
lockbox_cache_stats	archive.diagnostics	RevaultBuffer	const void *handle
lockbox_import_stats	archive.diagnostics	RevaultBuffer	const void *handle
lockbox_reset_import_stats	archive.diagnostics	bool	const void *handle
lockbox_inspect_file	archive.lifecycle	RevaultBuffer	const char *path, size_t path_len
lockbox_page_inspection	archive.diagnostics	RevaultBuffer	const void *handle
lockbox_recovery_report	archive.recovery	RevaultBuffer	const void *handle
lockbox_recovery_report_render	archive.recovery	RevaultBuffer	const void *handle, bool verbose, size_t max_entries
lockbox_recovery_scan_path	archive.recovery	RevaultBuffer	const char *path, size_t path_len, const uint8_t *key, size_t key_len
lockbox_storage_len	archive.lifecycle	uint64_t	const void *handle
lockbox_set_workload_profile	archive.lifecycle	bool	void *handle, const char *profile, size_t profile_len
lockbox_set_worker_policy	archive.lifecycle	bool	void *handle, const char *mode, size_t mode_len, size_t jobs
lockbox_runtime_options	archive.diagnostics	RevaultBuffer	const void *handle
lockbox_commit	archive.lifecycle	bool	void *handle
lockbox_create_dir	archive.lifecycle	bool	void *handle, const char *path, size_t path_len, bool create_parents
lockbox_delete	archive.lifecycle	bool	void *handle, const char *path, size_t path_len
lockbox_remove_dir	archive.lifecycle	bool	void *handle, const char *path, size_t path_len, bool recursive
lockbox_create_parent_dirs	archive.lifecycle	bool	void *handle, const char *path, size_t path_len
lockbox_rename	archive.lifecycle	bool	void *handle, const char *from, size_t from_len, const char *to, size_t to_len
lockbox_list	archive.lifecycle	RevaultBuffer	const void *handle, const char *path, size_t path_len, bool recursive
lockbox_list_with_options	archive.lifecycle	RevaultBuffer	const void *handle, const char *path, size_t path_len, const char *glob, size_t glob_len, bool recursive, bool include_files, bool include_symlinks, bool include_directories, size_t limit
lockbox_stat	archive.lifecycle	RevaultBuffer	const void *handle, const char *path, size_t path_len
lockbox_set_variable	archive.lifecycle	bool	void *handle, const char *name, size_t name_len, const char *value, size_t value_len, bool secret
lockbox_get_variable	archive.lifecycle	RevaultBuffer	const void *handle, const char *name, size_t name_len
lockbox_delete_variable	archive.lifecycle	bool	void *handle, const char *name, size_t name_len
lockbox_move_variables	archive.lifecycle	bool	void *handle, const uint8_t *moves_proto, size_t moves_len
lockbox_list_variables	archive.lifecycle	RevaultBuffer	const void *handle
lockbox_variable_sensitivity	archive.lifecycle	RevaultBuffer	const void *handle, const char *name, size_t name_len
lockbox_add_symlink	archive.lifecycle	bool	void *handle, const char *path, size_t path_len, const char *target, size_t target_len, bool replace
lockbox_get_symlink_target	archive.lifecycle	RevaultBuffer	const void *handle, const char *path, size_t path_len
lockbox_id	archive.lifecycle	RevaultBuffer	const void *handle
lockbox_exists	archive.lifecycle	bool	const void *handle, const char *path, size_t path_len
lockbox_is_dir	archive.lifecycle	bool	const void *handle, const char *path, size_t path_len
lockbox_permissions	archive.lifecycle	uint32_t	const void *handle, const char *path, size_t path_len
lockbox_set_permissions	archive.lifecycle	bool	void *handle, const char *path, size_t path_len, uint32_t permissions
lockbox_read_range	archive.lifecycle	RevaultBuffer	const void *handle, const char *path, size_t path_len, uint64_t offset, uint64_t len
lockbox_recovery_scan	archive.recovery	RevaultBuffer	const uint8_t *bytes, size_t len, const uint8_t *key, size_t key_len
lockbox_recovery_salvage	archive.recovery	void *	const uint8_t *bytes, size_t len, const uint8_t *key, size_t key_len, const void *signing_key
lockbox_add_password	archive.keys	uint64_t	void *handle, const uint8_t *password, size_t len
lockbox_add_contact	archive.keys	uint64_t	void *handle, const void *contact, const char *name, size_t name_len
