files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip
512,4096,false,plain,Interactive,stream,6.401,7.309,1.142
512,4096,false,plain,Interactive,random,6.601,8.295,1.257
512,4096,false,plain,ReadMostly,stream,6.403,10.232,1.598
512,4096,false,plain,ReadMostly,random,6.627,11.830,1.785
512,4096,false,encrypted,Interactive,stream,6.384,9.361,1.466
512,4096,false,encrypted,Interactive,random,6.556,10.915,1.665
512,4096,false,encrypted,ReadMostly,stream,6.323,10.523,1.664
512,4096,false,encrypted,ReadMostly,random,6.488,11.822,1.822
512,4096,false,signed,Interactive,stream,6.324,12.471,1.972
512,4096,false,signed,Interactive,random,6.471,13.625,2.105
512,4096,false,signed,ReadMostly,stream,6.309,14.024,2.223
512,4096,false,signed,ReadMostly,random,6.474,14.945,2.308
512,4096,false,encrypted-signed,Interactive,stream,6.283,9.998,1.591
512,4096,false,encrypted-signed,Interactive,random,6.491,11.307,1.742
512,4096,false,encrypted-signed,ReadMostly,stream,6.417,11.964,1.864
512,4096,false,encrypted-signed,ReadMostly,random,6.585,12.673,1.924
4,1048576,false,plain,Interactive,stream,0.958,18.244,19.050
4,1048576,false,plain,Interactive,random,0.961,20.784,21.621
4,1048576,false,plain,ReadMostly,stream,0.959,19.049,19.868
4,1048576,false,plain,ReadMostly,random,0.950,21.635,22.784
4,1048576,false,encrypted,Interactive,stream,0.946,19.191,20.296
4,1048576,false,encrypted,Interactive,random,0.952,21.720,22.814
4,1048576,false,encrypted,ReadMostly,stream,0.954,20.371,21.344
4,1048576,false,encrypted,ReadMostly,random,1.065,22.380,21.008
4,1048576,false,signed,Interactive,stream,1.019,23.324,22.878
4,1048576,false,signed,Interactive,random,1.040,25.752,24.755
4,1048576,false,signed,ReadMostly,stream,1.068,25.394,23.772
4,1048576,false,signed,ReadMostly,random,1.081,26.376,24.394
4,1048576,false,encrypted-signed,Interactive,stream,1.025,21.378,20.865
4,1048576,false,encrypted-signed,Interactive,random,1.068,23.988,22.452
4,1048576,false,encrypted-signed,ReadMostly,stream,1.090,21.751,19.953
4,1048576,false,encrypted-signed,ReadMostly,random,1.125,24.102,21.433
512,4096,true,plain,Interactive,stream,7.115,4.926,0.692
512,4096,true,plain,Interactive,random,7.114,6.018,0.846
512,4096,true,plain,ReadMostly,stream,7.022,6.067,0.864
512,4096,true,plain,ReadMostly,random,7.112,7.301,1.026
512,4096,true,encrypted,Interactive,stream,7.035,4.973,0.707
512,4096,true,encrypted,Interactive,random,7.092,6.078,0.857
512,4096,true,encrypted,ReadMostly,stream,7.036,6.178,0.878
512,4096,true,encrypted,ReadMostly,random,7.517,8.021,1.067
512,4096,true,signed,Interactive,stream,7.212,10.893,1.510
512,4096,true,signed,Interactive,random,7.309,11.742,1.607
512,4096,true,signed,ReadMostly,stream,7.105,11.915,1.677
512,4096,true,signed,ReadMostly,random,7.253,13.531,1.866
512,4096,true,encrypted-signed,Interactive,stream,7.214,5.914,0.820
512,4096,true,encrypted-signed,Interactive,random,7.271,7.031,0.967
512,4096,true,encrypted-signed,ReadMostly,stream,7.169,7.177,1.001
512,4096,true,encrypted-signed,ReadMostly,random,7.222,8.431,1.167
4,1048576,true,plain,Interactive,stream,0.902,19.745,21.885
4,1048576,true,plain,Interactive,random,0.897,22.313,24.881
4,1048576,true,plain,ReadMostly,stream,0.894,20.341,22.756
4,1048576,true,plain,ReadMostly,random,0.897,22.750,25.373
4,1048576,true,encrypted,Interactive,stream,0.894,21.015,23.500
4,1048576,true,encrypted,Interactive,random,0.933,23.069,24.730
4,1048576,true,encrypted,ReadMostly,stream,0.931,20.922,22.478
4,1048576,true,encrypted,ReadMostly,random,0.905,23.439,25.892
4,1048576,true,signed,Interactive,stream,0.887,24.766,27.913
4,1048576,true,signed,Interactive,random,0.918,26.923,29.333
4,1048576,true,signed,ReadMostly,stream,0.922,25.072,27.179
4,1048576,true,signed,ReadMostly,random,0.913,26.681,29.236
4,1048576,true,encrypted-signed,Interactive,stream,0.886,20.991,23.697
4,1048576,true,encrypted-signed,Interactive,random,0.948,23.666,24.975
4,1048576,true,encrypted-signed,ReadMostly,stream,0.983,21.378,21.758
4,1048576,true,encrypted-signed,ReadMostly,random,0.923,23.445,25.403
