files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip
512,4096,false,plain,Interactive,stream,6.873,585.934,85.254
512,4096,false,plain,Interactive,random,7.638,583.540,76.402
512,4096,false,plain,ReadMostly,stream,7.437,572.446,76.976
512,4096,false,plain,ReadMostly,random,7.568,579.713,76.598
512,4096,false,encrypted,Interactive,stream,7.459,576.431,77.282
512,4096,false,encrypted,Interactive,random,7.645,580.323,75.909
512,4096,false,encrypted,ReadMostly,stream,7.493,575.123,76.752
512,4096,false,encrypted,ReadMostly,random,7.612,575.698,75.629
512,4096,false,signed,Interactive,stream,7.611,1151.796,151.325
512,4096,false,signed,Interactive,random,7.891,1165.861,147.741
512,4096,false,signed,ReadMostly,stream,7.695,1154.830,150.085
512,4096,false,signed,ReadMostly,random,7.612,1147.877,150.802
512,4096,false,encrypted-signed,Interactive,stream,7.535,572.285,75.947
512,4096,false,encrypted-signed,Interactive,random,7.540,576.162,76.411
512,4096,false,encrypted-signed,ReadMostly,stream,7.435,583.128,78.428
512,4096,false,encrypted-signed,ReadMostly,random,7.642,602.585,78.847
4,1048576,false,plain,Interactive,stream,0.966,30.060,31.111
4,1048576,false,plain,Interactive,random,0.960,32.570,33.923
4,1048576,false,plain,ReadMostly,stream,0.961,33.242,34.606
4,1048576,false,plain,ReadMostly,random,0.973,35.812,36.812
4,1048576,false,encrypted,Interactive,stream,0.947,30.667,32.381
4,1048576,false,encrypted,Interactive,random,0.965,33.430,34.637
4,1048576,false,encrypted,ReadMostly,stream,0.964,34.189,35.453
4,1048576,false,encrypted,ReadMostly,random,0.942,36.974,39.242
4,1048576,false,signed,Interactive,stream,0.970,43.755,45.131
4,1048576,false,signed,Interactive,random,0.951,46.259,48.648
4,1048576,false,signed,ReadMostly,stream,0.950,47.155,49.660
4,1048576,false,signed,ReadMostly,random,0.946,51.126,54.057
4,1048576,false,encrypted-signed,Interactive,stream,0.954,31.562,33.071
4,1048576,false,encrypted-signed,Interactive,random,0.959,34.099,35.559
4,1048576,false,encrypted-signed,ReadMostly,stream,0.960,34.983,36.432
4,1048576,false,encrypted-signed,ReadMostly,random,0.961,37.685,39.229
512,4096,true,plain,Interactive,stream,6.842,83.768,12.242
512,4096,true,plain,Interactive,random,6.935,84.645,12.205
512,4096,true,plain,ReadMostly,stream,7.794,86.409,11.087
512,4096,true,plain,ReadMostly,random,7.815,87.199,11.157
512,4096,true,encrypted,Interactive,stream,7.775,84.169,10.826
512,4096,true,encrypted,Interactive,random,7.805,84.619,10.842
512,4096,true,encrypted,ReadMostly,stream,7.725,87.198,11.288
512,4096,true,encrypted,ReadMostly,random,8.025,87.710,10.929
512,4096,true,signed,Interactive,stream,7.764,167.038,21.516
512,4096,true,signed,Interactive,random,8.113,167.323,20.625
512,4096,true,signed,ReadMostly,stream,7.744,168.217,21.723
512,4096,true,signed,ReadMostly,random,7.878,168.515,21.391
512,4096,true,encrypted-signed,Interactive,stream,7.686,84.597,11.007
512,4096,true,encrypted-signed,Interactive,random,7.848,84.964,10.826
512,4096,true,encrypted-signed,ReadMostly,stream,7.701,87.017,11.300
512,4096,true,encrypted-signed,ReadMostly,random,7.766,91.649,11.802
4,1048576,true,plain,Interactive,stream,0.898,29.352,32.690
4,1048576,true,plain,Interactive,random,0.889,32.325,36.370
4,1048576,true,plain,ReadMostly,stream,0.891,33.221,37.290
4,1048576,true,plain,ReadMostly,random,1.073,35.717,33.279
4,1048576,true,encrypted,Interactive,stream,0.886,30.657,34.598
4,1048576,true,encrypted,Interactive,random,0.907,33.087,36.467
4,1048576,true,encrypted,ReadMostly,stream,0.883,33.757,38.228
4,1048576,true,encrypted,ReadMostly,random,0.876,36.511,41.677
4,1048576,true,signed,Interactive,stream,0.909,43.487,47.861
4,1048576,true,signed,Interactive,random,0.909,46.183,50.815
4,1048576,true,signed,ReadMostly,stream,0.896,46.677,52.089
4,1048576,true,signed,ReadMostly,random,0.891,49.275,55.281
4,1048576,true,encrypted-signed,Interactive,stream,0.890,31.238,35.111
4,1048576,true,encrypted-signed,Interactive,random,0.886,33.733,38.070
4,1048576,true,encrypted-signed,ReadMostly,stream,0.897,34.777,38.762
4,1048576,true,encrypted-signed,ReadMostly,random,0.898,37.210,41.448
