files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes
1,128,stream,zip,16.870,22.910,23.620,24.740,256
1,128,stream,current,68.881,81.041,81.691,88.751,7488
1,128,stream,prototype-padded,8.400,11.930,11.960,15.790,2048
1,128,stream,prototype-compact,6.750,9.670,9.710,13.041,288
1,128,whole,zip,16.921,22.461,22.501,23.571,256
1,128,whole,current,67.471,80.381,80.421,87.211,7488
1,128,whole,prototype-padded,8.250,11.890,11.930,15.810,2048
1,128,whole,prototype-compact,6.670,9.630,9.670,12.890,288
1,128,range,zip,17.100,22.790,22.830,23.890,256
1,128,range,current,67.971,79.721,79.761,86.951,7488
1,128,range,prototype-padded,8.260,11.860,11.900,15.840,2048
1,128,range,prototype-compact,6.710,9.660,9.700,12.900,288
512,4096,stream,zip,3158.625,3170.005,3171.455,7377.966,2151446
512,4096,stream,current,590.798,2250.362,2251.532,4647.857,2215232
512,4096,stream,prototype-padded,32.640,50.731,50.991,1616.073,2655232
512,4096,stream,prototype-compact,25.340,39.161,39.311,1531.161,2146368
512,4096,whole,zip,3153.885,3163.815,3163.975,6897.439,2151446
512,4096,whole,current,584.138,2181.821,2182.071,4113.638,2215232
512,4096,whole,prototype-padded,27.450,46.980,47.100,1656.324,2655232
512,4096,whole,prototype-compact,24.261,37.631,37.731,1587.323,2146368
512,4096,range,zip,3149.396,3158.346,3158.446,6715.487,2151446
512,4096,range,current,574.088,2157.771,2157.991,4012.428,2215232
512,4096,range,prototype-padded,24.770,44.391,44.571,1581.603,2655232
512,4096,range,prototype-compact,20.610,33.821,33.891,1501.811,2146368
4,8388608,stream,zip,97.421,121.122,2542.956,9756.290,33554878
4,8388608,stream,current,162.172,8558.153,13886.550,59927.310,33570112
4,8388608,stream,prototype-padded,37.881,838.332,2025.179,8707.635,33620992
4,8388608,stream,prototype-compact,37.221,769.431,1940.838,8852.547,33620288
4,8388608,whole,zip,91.081,1552.652,2017.309,8136.506,33554878
4,8388608,whole,current,165.903,13591.755,14342.436,63369.209,33570112
4,8388608,whole,prototype-padded,36.950,1723.714,2410.084,9368.044,33620992
4,8388608,whole,prototype-compact,37.401,1407.190,1927.098,9219.292,33620288
4,8388608,range,zip,68.421,89.431,89.621,128.802,33554878
4,8388608,range,current,119.951,8030.835,8031.385,33580.672,33570112
4,8388608,range,prototype-padded,35.231,60.631,61.180,124.232,33620992
4,8388608,range,prototype-compact,9.070,28.340,28.470,87.382,33620288
