files,size,access,format,open_us,first_file_us,total_us,archive_bytes
1,128,stream,zip,21.860,30.840,32.270,256
1,128,stream,current,90.722,107.712,116.872,7488
1,128,stream,prototype-padded,8.000,15.170,16.401,2048
1,128,stream,prototype-compact,6.660,13.640,14.830,288
1,128,whole,zip,21.790,29.111,30.501,256
1,128,whole,current,89.911,105.482,114.572,7488
1,128,whole,prototype-padded,7.890,15.050,16.310,2048
1,128,whole,prototype-compact,6.661,13.660,14.890,288
1,128,range,zip,22.001,29.791,31.151,256
1,128,range,current,92.212,107.262,116.102,7488
1,128,range,prototype-padded,7.890,15.110,16.390,2048
1,128,range,prototype-compact,6.750,13.740,14.970,288
512,4096,stream,zip,4222.490,4240.491,9956.111,2151446
512,4096,stream,current,897.883,2699.158,6014.425,2215232
512,4096,stream,prototype-padded,44.891,71.281,3875.615,2655232
512,4096,stream,prototype-compact,27.420,42.621,3780.183,2146368
512,4096,whole,zip,3738.953,3753.883,8043.334,2151446
512,4096,whole,current,598.799,2373.944,4505.484,2215232
512,4096,whole,prototype-padded,35.271,56.571,3529.760,2655232
512,4096,whole,prototype-compact,21.700,34.640,3477.570,2146368
512,4096,range,zip,4108.579,4122.889,9177.340,2151446
512,4096,range,current,785.691,2602.757,4930.920,2215232
512,4096,range,prototype-padded,41.740,65.331,3630.641,2655232
512,4096,range,prototype-compact,27.480,43.261,3413.679,2146368
4,8388608,stream,zip,60.361,2342.934,9213.811,33554878
4,8388608,stream,current,142.912,14716.139,62246.193,33570112
4,8388608,stream,prototype-padded,34.541,5871.043,23127.378,33620992
4,8388608,stream,prototype-compact,19.220,5882.363,23320.541,33620288
4,8388608,whole,zip,80.581,2009.559,9203.521,33554878
4,8388608,whole,current,160.882,15722.064,67509.688,33570112
4,8388608,whole,prototype-padded,33.870,9631.326,30233.539,33620992
4,8388608,whole,prototype-compact,29.500,6660.594,27837.975,33620288
4,8388608,range,zip,62.181,74.731,123.321,33554878
4,8388608,range,current,135.221,9939.942,43112.492,33570112
4,8388608,range,prototype-padded,37.111,65.361,124.502,33620992
4,8388608,range,prototype-compact,12.050,34.600,85.741,33620288
