files,size,access,format,open_us,first_file_us,total_us,archive_bytes
1,128,stream,zip,29.311,40.671,42.581,256
1,128,stream,current,114.822,136.872,148.562,7488
1,128,stream,prototype-padded,13.181,19.031,25.291,2048
1,128,stream,prototype-compact,10.990,15.970,21.250,288
1,128,whole,zip,29.040,38.741,40.610,256
1,128,whole,current,115.272,134.702,146.342,7488
1,128,whole,prototype-padded,13.091,18.981,25.221,2048
1,128,whole,prototype-compact,10.851,15.781,21.000,288
1,128,range,zip,28.631,38.461,40.231,256
1,128,range,current,115.392,137.502,149.072,7488
1,128,range,prototype-padded,13.370,19.240,25.520,2048
1,128,range,prototype-compact,10.791,15.701,20.920,288
512,4096,stream,zip,3069.915,3083.485,7092.914,2151446
512,4096,stream,current,576.759,2158.322,4490.025,2215232
512,4096,stream,prototype-padded,26.531,45.621,1591.604,2655232
512,4096,stream,prototype-compact,26.210,39.140,1508.552,2146368
512,4096,whole,zip,3047.275,3056.805,6555.086,2151446
512,4096,whole,current,573.699,2110.951,3943.358,2215232
512,4096,whole,prototype-padded,22.140,38.380,1584.123,2655232
512,4096,whole,prototype-compact,21.250,32.770,1513.832,2146368
512,4096,range,zip,3030.474,3037.884,6386.073,2151446
512,4096,range,current,537.198,1985.189,3732.635,2215232
512,4096,range,prototype-padded,16.550,30.931,1477.392,2655232
512,4096,range,prototype-compact,15.940,28.470,1438.301,2146368
4,8388608,stream,zip,87.291,2397.525,9090.904,33554878
4,8388608,stream,current,157.512,13532.688,59177.987,33570112
4,8388608,stream,prototype-padded,34.800,2766.541,11810.733,33620992
4,8388608,stream,prototype-compact,37.261,2721.840,11860.684,33620288
4,8388608,whole,zip,101.221,2907.162,11549.349,33554878
4,8388608,whole,current,200.753,15412.696,67615.600,33570112
4,8388608,whole,prototype-padded,37.570,6526.045,19501.046,33620992
4,8388608,whole,prototype-compact,42.580,3710.054,17714.720,33620288
4,8388608,range,zip,70.101,85.342,135.872,33554878
4,8388608,range,current,126.462,8572.016,36043.829,33570112
4,8388608,range,prototype-padded,28.180,55.471,119.312,33620992
4,8388608,range,prototype-compact,9.020,28.021,86.131,33620288
