files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes
1,128,stream,zip,16.900,22.850,23.510,24.601,256
1,128,stream,current,67.781,80.391,81.031,88.181,7488
1,128,stream,prototype-padded,7.940,11.350,11.390,15.240,2048
1,128,stream,prototype-compact,6.460,9.420,9.450,12.690,288
1,128,whole,zip,16.930,22.430,22.480,23.541,256
1,128,whole,current,68.171,79.952,80.002,87.582,7488
1,128,whole,prototype-padded,7.930,11.390,11.430,15.270,2048
1,128,whole,prototype-compact,6.500,9.370,9.400,12.600,288
1,128,range,zip,16.950,22.660,22.700,23.741,256
1,128,range,current,68.861,80.331,80.361,87.021,7488
1,128,range,prototype-padded,7.830,11.290,11.330,15.160,2048
1,128,range,prototype-compact,6.450,9.330,9.370,12.520,288
512,4096,stream,zip,3159.296,3169.336,3170.366,7090.434,2151446
512,4096,stream,current,566.268,2060.600,2061.400,4289.543,2215232
512,4096,stream,prototype-padded,21.470,34.000,34.150,1505.402,2655232
512,4096,stream,prototype-compact,15.920,27.530,27.690,1429.071,2146368
512,4096,whole,zip,3148.276,3157.666,3157.776,6702.767,2151446
512,4096,whole,current,554.038,2078.061,2078.251,3874.317,2215232
512,4096,whole,prototype-padded,21.870,35.660,35.790,1592.983,2655232
512,4096,whole,prototype-compact,16.850,26.841,27.091,1520.102,2146368
512,4096,range,zip,3144.126,3153.126,3153.216,6624.456,2151446
512,4096,range,current,563.198,2109.251,2109.341,3918.107,2215232
512,4096,range,prototype-padded,26.371,40.551,40.671,1568.583,2655232
512,4096,range,prototype-compact,17.930,28.000,28.150,1491.431,2146368
4,8388608,stream,zip,78.811,107.851,2360.884,9312.286,33554878
4,8388608,stream,current,149.182,7456.828,12579.623,56961.819,33570112
4,8388608,stream,prototype-padded,36.371,830.973,2080.831,8305.001,33620992
4,8388608,stream,prototype-compact,38.680,838.302,1913.268,8016.236,33620288
4,8388608,whole,zip,90.551,1809.847,2368.034,9088.122,33554878
4,8388608,whole,current,180.022,13968.423,14744.205,64365.627,33570112
4,8388608,whole,prototype-padded,37.640,2298.363,3107.435,13201.922,33620992
4,8388608,whole,prototype-compact,38.241,2133.301,2843.941,12591.023,33620288
4,8388608,range,zip,63.131,83.501,83.751,131.452,33554878
4,8388608,range,current,128.572,8134.838,8135.538,33460.437,33570112
4,8388608,range,prototype-padded,35.440,60.091,60.891,124.412,33620992
4,8388608,range,prototype-compact,9.240,27.900,28.061,85.582,33620288
