files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes,read_calls_us,output_wipe_us,drop_us
1,128,stream,zip,17.311,23.421,24.300,25.600,256,6.771,0.000,1.140
1,128,stream,current,70.041,82.811,83.521,90.581,7488,13.111,0.000,6.970
1,128,stream,prototype-padded,7.340,10.920,11.020,15.241,2048,3.450,0.000,3.830
1,128,stream,prototype-compact,7.630,11.260,11.340,15.350,288,3.520,0.000,3.830
1,128,whole,zip,19.090,25.380,25.420,26.851,256,6.150,0.030,1.280
1,128,whole,current,80.752,96.081,96.121,104.121,7488,13.991,0.040,8.200
1,128,whole,prototype-padded,8.130,12.071,12.111,16.851,2048,3.740,0.030,4.320
1,128,whole,prototype-compact,8.340,12.130,12.170,16.550,288,3.680,0.030,4.150
1,128,range,zip,17.551,23.530,23.570,24.720,256,5.880,0.030,1.100
1,128,range,current,71.501,84.231,84.261,91.422,7488,12.070,0.030,7.130
1,128,range,prototype-padded,7.780,11.410,11.440,15.581,2048,3.530,0.030,3.860
1,128,range,prototype-compact,7.890,11.510,11.550,15.750,288,3.550,0.030,3.930
512,4096,stream,zip,3232.366,3245.647,3247.167,7532.098,2151446,4184.349,0.000,44.570
512,4096,stream,current,619.908,2274.292,2276.642,4775.908,2215232,3865.965,0.000,216.863
512,4096,stream,prototype-padded,29.550,43.111,43.571,1667.484,2655232,1485.532,0.000,120.872
512,4096,stream,prototype-compact,30.650,44.760,45.090,1611.503,2146368,1461.502,0.000,97.951
512,4096,whole,zip,3499.260,3510.410,3510.680,7732.020,2151446,3962.325,44.040,46.220
512,4096,whole,current,622.749,2253.692,2254.072,4323.411,2215232,3225.955,44.072,233.263
512,4096,whole,prototype-padded,28.921,43.391,43.701,1812.106,2655232,1438.980,43.961,125.712
512,4096,whole,prototype-compact,31.550,46.041,46.401,1743.195,2146368,1396.128,44.220,101.582
512,4096,range,zip,3559.751,3570.751,3571.001,7802.041,2151446,3998.968,28.451,49.031
512,4096,range,current,627.279,2247.672,2248.032,4358.802,2215232,3294.149,28.421,253.504
512,4096,range,prototype-padded,38.750,56.080,56.330,1745.755,2655232,1432.159,28.541,128.442
512,4096,range,prototype-compact,40.280,57.261,57.441,1691.154,2146368,1398.520,28.660,109.251
4,8388608,stream,zip,93.002,116.952,2573.387,9713.579,33554878,9579.866,0.000,6.840
4,8388608,stream,current,226.583,8188.436,13525.693,60828.715,33570112,55831.175,0.000,5054.202
4,8388608,stream,prototype-padded,36.051,820.212,2008.848,9114.100,33620992,7063.391,0.000,1921.277
4,8388608,stream,prototype-compact,39.961,819.912,2037.599,8879.017,33620288,6925.659,0.000,1838.856
4,8388608,whole,zip,95.671,1972.918,2510.445,10075.283,33554878,6588.444,1062.845,8.900
4,8388608,whole,current,230.984,14609.258,15453.579,67838.795,33570112,57482.918,1349.230,5775.872
4,8388608,whole,prototype-padded,38.351,1504.252,2258.103,11148.518,33620992,4918.920,1289.678,1964.458
4,8388608,whole,prototype-compact,36.830,1655.593,2440.034,10605.181,33620288,5025.022,1241.077,1793.386
4,8388608,range,zip,76.351,95.782,96.032,146.632,33554878,63.371,0.600,1.890
4,8388608,range,current,137.472,8822.326,8823.226,37972.970,33570112,33104.561,1.020,4383.432
4,8388608,range,prototype-padded,12.701,37.341,37.571,108.051,33620992,64.191,0.600,22.780
4,8388608,range,prototype-compact,15.990,39.231,39.381,108.682,33620288,63.970,0.630,24.211
