files,size,access,format,open_us,first_file_us,total_us,archive_bytes
1,128,stream,zip,16.690,23.280,24.380,256
1,128,stream,current,68.791,81.571,88.651,7488
1,128,stream,prototype-padded,6.150,11.650,12.640,2048
1,128,stream,prototype-compact,5.220,10.580,11.531,288
1,128,whole,zip,16.540,22.111,23.130,256
1,128,whole,current,68.321,80.101,87.042,7488
1,128,whole,prototype-padded,6.020,11.580,12.550,2048
1,128,whole,prototype-compact,5.180,10.550,11.500,288
1,128,range,zip,16.860,22.711,23.770,256
1,128,range,current,69.441,80.871,87.681,7488
1,128,range,prototype-padded,6.070,11.610,12.620,2048
1,128,range,prototype-compact,5.201,10.561,11.520,288
512,4096,stream,zip,4012.501,4028.871,8696.962,2151446
512,4096,stream,current,607.509,2225.013,4688.861,2215232
512,4096,stream,prototype-padded,29.531,44.781,3313.810,2655232
512,4096,stream,prototype-compact,16.800,28.820,3249.210,2146368
512,4096,whole,zip,4005.141,4017.921,8224.745,2151446
512,4096,whole,current,589.209,2177.433,4052.602,2215232
512,4096,whole,prototype-padded,22.150,37.080,3363.601,2655232
512,4096,whole,prototype-compact,11.151,22.731,3275.220,2146368
512,4096,range,zip,3995.941,4008.371,8116.193,2151446
512,4096,range,current,601.410,2239.704,4137.453,2215232
512,4096,range,prototype-padded,24.491,39.211,3354.681,2655232
512,4096,range,prototype-compact,16.500,31.620,3298.350,2146368
4,8388608,stream,zip,67.421,2389.326,9633.126,33554878
4,8388608,stream,current,156.212,14267.867,61795.187,33570112
4,8388608,stream,prototype-padded,35.871,4384.397,16590.692,33620992
4,8388608,stream,prototype-compact,29.771,4518.699,16933.477,33620288
4,8388608,whole,zip,95.521,2456.367,10649.581,33554878
4,8388608,whole,current,190.523,15532.435,69735.497,33570112
4,8388608,whole,prototype-padded,39.280,8036.442,24084.985,33620992
4,8388608,whole,prototype-compact,47.550,5812.729,22658.104,33620288
4,8388608,range,zip,54.161,73.461,108.202,33554878
4,8388608,range,current,130.281,8543.099,35857.584,33570112
4,8388608,range,prototype-padded,47.291,71.231,121.772,33620992
4,8388608,range,prototype-compact,11.960,31.220,82.601,33620288
