files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes,read_calls_us,output_wipe_us,drop_us
1,128,stream,zip,35.530,47.400,48.800,51.221,256,13.330,0.000,2.411
1,128,stream,current,142.603,169.472,170.902,185.723,7488,26.750,0.000,14.801
1,128,stream,prototype-padded,11.670,23.560,23.800,25.941,2048,11.280,0.000,2.020
1,128,stream,prototype-compact,12.440,23.710,23.880,25.890,288,10.971,0.000,1.980
1,128,whole,zip,26.041,36.491,36.541,38.311,256,8.620,0.050,1.760
1,128,whole,current,111.202,132.392,132.462,146.732,7488,18.920,0.060,11.800
1,128,whole,prototype-padded,8.890,17.560,17.620,19.230,2048,8.400,0.040,1.490
1,128,whole,prototype-compact,9.700,18.160,18.220,19.890,288,8.340,0.050,1.550
1,128,range,zip,26.941,36.201,36.251,38.351,256,8.780,0.040,1.730
1,128,range,current,112.732,131.412,131.462,146.222,7488,19.600,0.050,13.010
1,128,range,prototype-padded,9.000,18.290,18.340,20.060,2048,9.050,0.040,1.520
1,128,range,prototype-compact,10.340,18.911,18.971,20.701,288,8.310,0.040,1.560
512,4096,stream,zip,3616.919,3630.829,3632.339,7892.589,2151446,4211.839,0.000,46.981
512,4096,stream,current,627.860,2247.167,2248.987,4763.798,2215232,3860.592,0.000,249.784
512,4096,stream,prototype-padded,20.720,34.550,35.000,3156.761,2655232,3111.711,0.000,4.510
512,4096,stream,prototype-compact,29.231,42.480,42.960,3167.041,2146368,3104.010,0.000,4.750
512,4096,whole,zip,3577.019,3590.469,3590.829,7348.071,2151446,3527.577,44.570,45.470
512,4096,whole,current,602.130,2243.017,2243.337,4326.110,2215232,3229.553,43.890,239.273
512,4096,whole,prototype-padded,21.001,34.481,34.721,3167.952,2655232,2915.727,44.780,5.000
512,4096,whole,prototype-compact,28.951,47.851,48.101,3133.721,2146368,2889.174,44.311,4.750
512,4096,range,zip,3489.447,3499.857,3500.207,7093.156,2151446,3409.537,28.141,42.351
512,4096,range,current,587.710,2170.145,2170.485,4132.767,2215232,3176.823,28.160,224.404
512,4096,range,prototype-padded,18.990,32.200,32.330,3071.630,2655232,2916.519,27.420,3.180
512,4096,range,prototype-compact,21.381,36.401,36.541,3068.280,2146368,2898.058,27.511,3.670
4,67108864,stream,zip,213.963,243.774,25211.111,99375.610,268435902,99129.466,0.000,8.560
4,67108864,stream,current,389.216,6580.117,114168.983,452443.747,268495168,432684.116,0.000,19961.536
4,67108864,stream,prototype-padded,67.971,1180.180,19442.598,76959.055,268960768,76828.464,0.000,19.741
4,67108864,stream,prototype-compact,66.351,1124.809,18596.363,76179.474,268960064,76112.703,0.000,15.731
4,67108864,whole,zip,246.774,46414.354,51727.552,260369.551,268435902,193299.999,18876.968,8.970
4,67108864,whole,current,404.707,144842.988,150379.859,645536.532,268495168,557264.628,19354.375,21533.341
4,67108864,whole,prototype-padded,121.352,14130.380,20419.293,126833.367,268960768,55175.299,19721.241,32.430
4,67108864,whole,prototype-compact,118.112,13828.516,19850.023,126265.987,268960064,54085.830,19191.514,28.911
4,67108864,range,zip,74.371,101.582,101.762,157.743,268435902,70.761,0.640,2.330
4,67108864,range,current,218.894,6309.903,6310.683,26644.843,268495168,24405.837,1.380,1865.810
4,67108864,range,prototype-padded,19.910,42.421,42.571,103.082,268960768,75.580,0.610,1.510
4,67108864,range,prototype-compact,12.840,46.601,46.831,101.072,268960064,84.901,0.670,1.680
