files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes,read_calls_us,output_wipe_us,drop_us
1,128,stream,zip,16.610,22.870,23.650,24.761,256,6.760,0.000,1.120
1,128,stream,current,68.371,81.242,82.102,89.322,7488,13.370,0.000,7.170
1,128,stream,prototype-padded,5.500,10.930,11.010,11.970,2048,5.430,0.000,0.960
1,128,stream,prototype-compact,5.780,11.440,11.530,12.500,288,5.630,0.000,0.990
1,128,whole,zip,16.690,22.310,22.350,23.530,256,5.551,0.030,1.080
1,128,whole,current,68.182,80.981,81.031,88.701,7488,11.631,0.030,6.920
1,128,whole,prototype-padded,5.640,11.140,11.170,12.200,2048,5.380,0.030,0.960
1,128,whole,prototype-compact,5.631,11.380,11.420,12.460,288,5.591,0.030,0.990
1,128,range,zip,17.620,24.060,24.100,25.271,256,5.810,0.030,1.130
1,128,range,current,71.382,84.062,84.102,91.692,7488,12.121,0.030,7.370
1,128,range,prototype-padded,5.890,11.680,11.720,12.770,2048,5.640,0.030,0.990
1,128,range,prototype-compact,6.040,11.661,11.701,12.920,288,5.650,0.020,1.000
512,4096,stream,zip,3155.375,3167.165,3168.635,7381.278,2151446,4148.803,0.000,48.021
512,4096,stream,current,612.171,2273.219,2275.610,4769.273,2215232,3878.257,0.000,240.004
512,4096,stream,prototype-padded,21.850,36.770,37.220,3116.454,2655232,3068.793,0.000,3.650
512,4096,stream,prototype-compact,22.880,40.830,41.280,3136.374,2146368,3089.304,0.000,3.590
512,4096,whole,zip,3277.547,3288.537,3288.957,7254.806,2151446,3677.153,46.120,51.641
512,4096,whole,current,638.281,2326.210,2326.580,4513.998,2215232,3375.180,45.520,262.834
512,4096,whole,prototype-padded,24.391,39.601,39.891,3210.716,2655232,2936.650,45.520,4.690
512,4096,whole,prototype-compact,25.130,42.641,43.181,3218.596,2146368,2957.523,45.281,4.680
512,4096,range,zip,3158.125,3167.815,3168.025,6853.059,2151446,3507.312,28.660,39.330
512,4096,range,current,596.861,2207.428,2207.668,4155.673,2215232,3229.336,27.962,193.504
512,4096,range,prototype-padded,17.640,31.190,31.481,3072.813,2655232,2942.770,27.400,1.870
512,4096,range,prototype-compact,18.970,35.351,35.481,3111.644,2146368,2967.372,27.571,2.250
4,8388608,stream,zip,89.542,117.612,3018.732,11030.522,33554878,10907.790,0.000,7.751
4,8388608,stream,current,253.594,6261.389,11901.346,50450.186,33570112,47328.032,0.000,2643.806
4,8388608,stream,prototype-padded,34.720,1029.768,2942.411,10701.265,33620992,10638.244,0.000,29.181
4,8388608,stream,prototype-compact,45.921,1082.808,2973.891,10794.257,33620288,10737.066,0.000,24.630
4,8388608,whole,zip,95.991,2111.117,2815.139,11870.036,33554878,7564.672,1449.156,11.010
4,8388608,whole,current,274.814,12245.082,13105.927,65445.234,33570112,55541.402,1583.026,4341.816
4,8388608,whole,prototype-padded,59.811,1478.695,2248.909,10271.198,33620992,4773.133,2435.262,30.941
4,8388608,whole,prototype-compact,52.521,1506.226,2287.689,10461.371,33620288,4791.993,2520.784,31.511
4,8388608,range,zip,57.951,75.311,75.461,128.592,33554878,65.401,0.620,1.840
4,8388608,range,current,158.303,6456.031,6456.921,26984.747,33570112,24791.639,1.290,1979.144
4,8388608,range,prototype-padded,17.260,38.051,38.231,93.512,33620992,72.442,0.610,1.400
4,8388608,range,prototype-compact,21.241,44.580,44.780,102.301,33620288,76.331,0.630,1.530
