files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes,read_calls_us,output_wipe_us,drop_us
1,128,stream,zip,17.090,22.910,23.610,24.791,256,6.510,0.000,1.110
1,128,stream,current,66.411,78.652,79.342,86.452,7488,12.521,0.000,7.010
1,128,stream,prototype-padded,5.560,11.080,11.180,12.131,2048,5.450,0.000,0.950
1,128,stream,prototype-compact,6.180,11.660,11.750,12.770,288,5.501,0.000,0.990
1,128,whole,zip,16.560,22.301,22.341,23.501,256,5.430,0.020,1.170
1,128,whole,current,66.481,77.911,77.951,85.071,7488,11.240,0.030,7.110
1,128,whole,prototype-padded,5.390,10.700,10.740,11.860,2048,5.240,0.030,1.050
1,128,whole,prototype-compact,6.240,11.710,11.751,12.810,288,5.390,0.030,1.050
1,128,range,zip,20.990,28.230,28.270,29.880,256,7.050,0.030,1.490
1,128,range,current,82.441,96.381,96.441,105.782,7488,13.940,0.030,9.001
1,128,range,prototype-padded,6.790,13.460,13.490,14.890,2048,6.650,0.030,1.330
1,128,range,prototype-compact,7.160,14.020,14.060,15.500,288,6.710,0.030,1.350
512,4096,stream,zip,3130.070,3139.740,3140.760,7079.502,2151446,3887.451,0.000,33.630
512,4096,stream,current,520.998,1901.810,1902.580,4076.524,2215232,3371.894,0.000,170.773
512,4096,stream,prototype-padded,9.050,19.540,19.820,2862.815,2655232,2833.914,0.000,1.340
512,4096,stream,prototype-compact,10.020,19.791,20.031,2858.805,2146368,2830.514,0.000,1.370
512,4096,whole,zip,3159.790,3168.340,3168.450,6754.627,2151446,3437.504,43.110,33.691
512,4096,whole,current,527.639,1942.041,1942.151,3738.609,2215232,2905.397,42.960,172.592
512,4096,whole,prototype-padded,9.350,20.050,20.180,2893.586,2655232,2764.484,43.071,1.380
512,4096,whole,prototype-compact,10.010,21.310,21.420,2890.335,2146368,2761.713,43.050,1.460
512,4096,range,zip,3164.170,3172.930,3173.030,6701.396,2151446,3395.755,27.790,33.771
512,4096,range,current,541.278,2013.342,2013.482,3795.630,2215232,2981.898,27.661,177.723
512,4096,range,prototype-padded,10.000,20.890,20.950,2978.227,2655232,2882.113,27.141,1.440
512,4096,range,prototype-compact,9.990,20.720,20.800,2986.837,2146368,2879.795,27.151,1.500
4,8388608,stream,zip,87.622,104.842,2456.719,9231.325,33554878,9134.224,0.000,6.620
4,8388608,stream,current,172.823,5588.038,10818.221,54624.412,33570112,50286.404,0.000,4195.786
4,8388608,stream,prototype-padded,29.221,1255.340,3045.298,11183.016,33620992,11145.026,0.000,11.390
4,8388608,stream,prototype-compact,29.510,1168.228,3013.368,10899.172,33620288,10837.071,0.000,10.781
4,8388608,whole,zip,105.722,1869.969,2493.359,10602.057,33554878,6638.206,1271.021,9.300
4,8388608,whole,current,207.263,14200.444,15007.537,66645.052,33570112,56451.021,1438.413,5113.601
4,8388608,whole,prototype-padded,45.720,1963.561,2665.902,12184.363,33620992,7246.344,1911.850,14.681
4,8388608,whole,prototype-compact,47.280,2004.261,2755.104,11835.176,33620288,7048.353,2063.902,15.880
4,8388608,range,zip,84.171,98.391,98.941,145.882,33554878,59.851,0.790,1.991
4,8388608,range,current,151.852,8380.692,8381.582,34021.307,33570112,29794.420,1.170,3569.566
4,8388608,range,prototype-padded,17.230,37.231,37.441,87.921,33620992,67.651,0.800,1.550
4,8388608,range,prototype-compact,18.740,41.451,41.701,99.111,33620288,77.011,0.790,1.820
