files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes,read_calls_us,output_wipe_us,drop_us
1,128,stream,zip,16.980,23.150,23.890,25.150,256,6.720,0.000,1.220
1,128,stream,current,70.011,83.261,84.111,91.692,7488,12.920,0.000,7.490
1,128,stream,prototype-padded,5.910,11.610,11.690,12.770,2048,5.560,0.000,1.090
1,128,stream,prototype-compact,5.880,11.601,11.721,12.851,288,5.640,0.000,1.110
1,128,whole,zip,17.580,23.430,23.470,24.630,256,5.830,0.030,1.110
1,128,whole,current,73.051,85.772,85.812,93.882,7488,11.700,0.040,7.370
1,128,whole,prototype-padded,6.300,12.080,12.111,13.300,2048,5.881,0.030,1.030
1,128,whole,prototype-compact,6.420,12.160,12.200,13.450,288,5.640,0.030,1.080
1,128,range,zip,16.710,22.610,22.650,23.760,256,5.760,0.030,1.050
1,128,range,current,70.921,83.101,83.131,90.061,7488,11.620,0.030,6.941
1,128,range,prototype-padded,5.470,10.980,11.020,12.120,2048,5.480,0.030,0.980
1,128,range,prototype-compact,5.840,11.560,11.610,12.670,288,5.550,0.020,0.990
512,4096,stream,zip,3979.716,3994.886,3996.676,8681.384,2151446,4671.567,0.000,43.331
512,4096,stream,current,607.210,2262.048,2263.638,4749.509,2215232,3880.974,0.000,219.634
512,4096,stream,prototype-padded,14.970,28.030,28.470,3407.187,2655232,3368.086,0.000,2.230
512,4096,stream,prototype-compact,18.161,33.731,34.201,3375.536,2146368,3336.426,0.000,2.210
512,4096,whole,zip,4050.927,4066.377,4066.697,8523.531,2151446,4128.161,45.420,47.260
512,4096,whole,current,628.730,2314.838,2315.208,4398.452,2215232,3293.234,45.320,246.484
512,4096,whole,prototype-padded,17.580,32.051,32.471,3468.317,2655232,3221.302,45.311,2.910
512,4096,whole,prototype-compact,21.420,38.730,39.090,3445.067,2146368,3182.082,45.362,3.100
512,4096,range,zip,3981.526,3993.496,3993.676,8212.936,2151446,4003.898,28.840,47.351
512,4096,range,current,613.530,2279.178,2279.358,4352.152,2215232,3322.386,28.930,249.584
512,4096,range,prototype-padded,21.120,34.571,34.771,3442.647,2655232,3256.305,28.230,4.680
512,4096,range,prototype-compact,25.800,41.410,41.540,3404.557,2146368,3219.332,27.951,4.540
4,8388608,stream,zip,85.501,106.421,2670.484,10106.437,33554878,9999.455,0.000,7.100
4,8388608,stream,current,246.634,6467.767,11831.626,58929.964,33570112,53655.677,0.000,5096.164
4,8388608,stream,prototype-padded,28.280,963.605,2699.705,9062.760,33620992,9008.259,0.000,17.960
4,8388608,stream,prototype-compact,37.520,1008.816,2672.444,9327.155,33620288,9273.053,0.000,20.050
4,8388608,whole,zip,91.682,1838.691,2390.549,10130.927,33554878,6521.508,1133.288,9.130
4,8388608,whole,current,244.464,14405.008,15297.453,66890.824,33570112,56935.401,1332.931,4203.649
4,8388608,whole,prototype-padded,34.840,1483.524,2172.726,9469.186,33620992,4912.100,1998.023,24.530
4,8388608,whole,prototype-compact,40.380,1537.455,2260.917,9457.226,33620288,4876.562,2028.434,24.530
4,8388608,range,zip,56.181,74.911,75.061,117.822,33554878,57.301,0.600,1.690
4,8388608,range,current,134.682,8685.393,8686.023,36853.458,33570112,32482.426,0.990,4289.480
4,8388608,range,prototype-padded,10.870,30.320,30.570,81.531,33620992,66.471,0.600,1.231
4,8388608,range,prototype-compact,13.691,45.081,45.391,104.562,33620288,85.041,0.620,1.620
