files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes,read_calls_us,output_wipe_us,drop_us
1,128,stream,zip,21.371,29.060,30.190,31.580,256,8.610,0.000,1.390
1,128,stream,current,86.581,102.231,103.291,111.972,7488,16.331,0.000,8.810
1,128,stream,prototype-padded,6.990,13.850,13.960,15.170,2048,6.891,0.000,1.190
1,128,stream,prototype-compact,7.981,15.191,15.321,16.581,288,7.220,0.000,1.240
1,128,whole,zip,21.350,28.681,28.721,30.171,256,7.040,0.040,1.370
1,128,whole,current,86.411,101.081,101.131,110.452,7488,14.570,0.050,8.730
1,128,whole,prototype-padded,6.960,13.801,13.841,15.150,2048,6.770,0.040,1.200
1,128,whole,prototype-compact,7.430,14.730,14.770,16.060,288,7.020,0.040,1.230
1,128,range,zip,21.601,28.950,28.990,30.410,256,7.320,0.040,1.380
1,128,range,current,86.141,101.032,101.092,110.352,7488,14.610,0.040,8.651
1,128,range,prototype-padded,6.970,13.970,14.020,15.360,2048,6.930,0.030,1.210
1,128,range,prototype-compact,7.590,14.820,14.860,16.230,288,7.020,0.030,1.240
512,4096,stream,zip,3786.809,3801.349,3802.989,8781.966,2151446,4900.485,0.000,64.071
512,4096,stream,current,861.213,2662.001,2665.571,5595.347,2215232,4452.069,0.000,343.625
512,4096,stream,prototype-padded,26.890,45.811,46.461,3613.986,2655232,3551.186,0.000,5.640
512,4096,stream,prototype-compact,35.491,62.371,63.391,3676.737,2146368,3592.675,0.000,5.811
512,4096,whole,zip,3359.511,3372.292,3372.692,7164.780,2151446,3502.375,45.391,46.260
512,4096,whole,current,631.750,2334.956,2335.446,4387.418,2215232,3277.771,44.061,234.164
512,4096,whole,prototype-padded,22.311,37.671,37.941,3158.878,2655232,2939.376,44.910,4.320
512,4096,whole,prototype-compact,24.340,43.011,43.401,3257.491,2146368,2980.534,44.881,4.450
512,4096,range,zip,3742.527,3770.938,3771.148,7936.743,2151446,3975.213,29.190,46.950
512,4096,range,current,644.239,2415.618,2415.838,4543.010,2215232,3434.405,28.430,275.994
512,4096,range,prototype-padded,23.090,42.641,42.801,3397.183,2655232,3205.790,27.920,4.010
512,4096,range,prototype-compact,29.590,53.710,53.880,3552.955,2146368,3322.783,28.341,4.890
4,8388608,stream,zip,76.761,95.402,2902.984,11239.753,33554878,11151.362,0.000,7.390
4,8388608,stream,current,240.663,8177.516,14078.487,64599.357,33570112,59751.062,0.000,5708.599
4,8388608,stream,prototype-padded,37.431,1753.117,4382.498,15321.817,33620992,15248.295,0.000,14.731
4,8388608,stream,prototype-compact,42.291,1975.131,4389.248,14904.110,33620288,14871.389,0.000,12.881
4,8388608,whole,zip,98.441,2663.491,3466.494,13580.339,33554878,9174.922,1616.316,10.521
4,8388608,whole,current,227.234,15900.466,16805.070,76861.665,33570112,64362.003,1819.927,6916.096
4,8388608,whole,prototype-padded,49.931,2472.009,3473.233,15863.915,33620992,9265.003,3064.997,19.340
4,8388608,whole,prototype-compact,53.020,2883.975,3621.896,16729.718,33620288,9271.382,3152.808,22.720
4,8388608,range,zip,66.171,81.111,81.331,134.342,33554878,61.251,0.720,2.070
4,8388608,range,current,158.443,9435.656,9436.276,39685.191,33570112,34758.006,1.080,4614.351
4,8388608,range,prototype-padded,12.600,34.750,34.900,89.042,33620992,72.051,0.690,1.440
4,8388608,range,prototype-compact,20.630,44.541,44.821,100.782,33620288,77.882,0.670,1.580
