files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes
1,128,stream,zip,17.881,23.950,24.680,25.841,256
1,128,stream,current,71.011,83.612,84.281,91.982,7488
1,128,stream,prototype-padded,6.990,10.170,10.220,13.831,2048
1,128,stream,prototype-compact,6.780,9.810,9.860,13.190,288
1,128,stream,prototype-padded-nt,6.780,9.830,9.870,13.320,2048
1,128,stream,prototype-compact-nt,7.040,9.990,10.040,13.770,288
1,128,whole,zip,18.000,23.780,23.810,24.960,256
1,128,whole,current,76.321,91.421,91.461,100.232,7488
1,128,whole,prototype-padded,8.300,11.980,12.020,15.980,2048
1,128,whole,prototype-compact,7.540,10.980,11.030,14.860,288
1,128,whole,prototype-padded-nt,8.200,11.750,11.790,15.681,2048
1,128,whole,prototype-compact-nt,8.090,11.670,11.710,15.590,288
1,128,range,zip,17.361,23.131,23.161,24.251,256
1,128,range,current,70.051,82.101,82.141,89.581,7488
1,128,range,prototype-padded,6.740,9.860,9.900,13.360,2048
1,128,range,prototype-compact,6.570,9.610,9.640,13.060,288
1,128,range,prototype-padded-nt,6.600,9.670,9.710,13.040,2048
1,128,range,prototype-compact-nt,6.720,9.800,9.840,13.300,288
512,4096,stream,zip,3297.467,3309.787,3311.227,7694.320,2151446
512,4096,stream,current,608.248,2227.332,2229.232,4686.517,2215232
512,4096,stream,prototype-padded,23.950,38.130,38.610,1623.633,2655232
512,4096,stream,prototype-compact,23.141,37.611,38.021,1598.733,2146368
512,4096,stream,prototype-padded-nt,22.380,36.251,36.551,1635.244,2655232
512,4096,stream,prototype-compact-nt,25.561,39.400,39.750,1573.043,2146368
512,4096,whole,zip,3256.106,3266.847,3267.177,7038.280,2151446
512,4096,whole,current,593.618,2196.241,2196.551,4118.109,2215232
512,4096,whole,prototype-padded,20.690,34.910,35.200,1648.214,2655232
512,4096,whole,prototype-compact,19.720,31.630,31.730,1587.012,2146368
512,4096,whole,prototype-padded-nt,17.300,29.010,29.180,1632.793,2655232
512,4096,whole,prototype-compact-nt,20.140,31.981,32.181,1621.223,2146368
512,4096,range,zip,3216.416,3225.747,3225.897,6841.488,2151446
512,4096,range,current,584.088,2162.201,2162.401,4011.928,2215232
512,4096,range,prototype-padded,18.520,31.690,31.750,1569.702,2655232
512,4096,range,prototype-compact,17.460,29.390,29.450,1520.682,2146368
512,4096,range,prototype-padded-nt,14.880,26.090,26.171,1555.262,2655232
512,4096,range,prototype-compact-nt,17.710,29.781,29.851,1499.202,2146368
4,8388608,stream,zip,75.191,97.491,2553.046,9580.707,33554878
4,8388608,stream,current,224.333,5808.233,11122.839,46358.830,33570112
4,8388608,stream,prototype-padded,38.530,764.581,1989.158,8648.683,33620992
4,8388608,stream,prototype-compact,34.580,762.621,1898.827,8413.550,33620288
4,8388608,stream,prototype-padded-nt,36.531,808.542,1956.058,8611.102,33620992
4,8388608,stream,prototype-compact-nt,36.380,768.541,1994.288,8621.982,33620288
4,8388608,whole,zip,85.111,1609.103,2136.440,8401.049,33554878
4,8388608,whole,current,220.863,11058.737,11818.178,58677.497,33570112
4,8388608,whole,prototype-padded,40.210,1296.678,1871.797,8953.488,33620992
4,8388608,whole,prototype-compact,37.191,1234.887,1829.066,8925.797,33620288
4,8388608,whole,prototype-padded-nt,40.270,1263.687,1863.817,9388.134,33620992
4,8388608,whole,prototype-compact-nt,39.271,1237.248,1855.647,9233.192,33620288
4,8388608,range,zip,63.500,86.751,86.951,133.962,33554878
4,8388608,range,current,135.422,5701.592,5702.192,23163.790,33570112
4,8388608,range,prototype-padded,8.950,28.571,28.741,90.312,33620992
4,8388608,range,prototype-compact,9.180,28.780,28.920,89.731,33620288
4,8388608,range,prototype-padded-nt,8.770,28.140,28.350,89.101,33620992
4,8388608,range,prototype-compact-nt,9.020,28.630,28.760,89.911,33620288
