files,size,access,format,open_us,first_file_us,total_us,archive_bytes
1,128,stream,zip,16.580,23.181,24.251,256
1,128,stream,current,68.311,81.681,88.611,7488
1,128,stream,prototype-padded,6.310,11.810,12.841,2048
1,128,stream,prototype-compact,5.230,10.631,11.591,288
1,128,whole,zip,16.400,21.881,22.930,256
1,128,whole,current,66.751,78.861,85.631,7488
1,128,whole,prototype-padded,6.180,11.640,12.660,2048
1,128,whole,prototype-compact,5.170,10.510,11.460,288
1,128,range,zip,16.531,22.260,23.350,256
1,128,range,current,69.571,81.231,88.491,7488
1,128,range,prototype-padded,6.190,11.640,12.680,2048
1,128,range,prototype-compact,5.200,10.521,11.480,288
512,4096,stream,zip,3247.009,3263.009,7456.563,2151446
512,4096,stream,current,563.278,2078.211,4414.426,2215232
512,4096,stream,prototype-padded,12.700,26.271,2896.793,2655232
512,4096,stream,prototype-compact,8.060,18.711,2886.153,2146368
512,4096,whole,zip,3186.208,3195.118,6782.073,2151446
512,4096,whole,current,536.958,1937.840,3706.776,2215232
512,4096,whole,prototype-padded,10.440,22.640,2944.014,2655232
512,4096,whole,prototype-compact,7.410,17.880,2937.264,2146368
512,4096,range,zip,3177.358,3185.538,6678.660,2151446
512,4096,range,current,530.628,1925.499,3706.996,2215232
512,4096,range,prototype-padded,9.790,21.980,2902.544,2655232
512,4096,range,prototype-compact,6.990,17.230,2887.354,2146368
4,8388608,stream,zip,72.581,2611.529,10272.644,33554878
4,8388608,stream,current,165.163,14258.394,62467.380,33570112
4,8388608,stream,prototype-padded,39.171,4494.068,17381.502,33620992
4,8388608,stream,prototype-compact,22.650,4569.639,17304.100,33620288
4,8388608,whole,zip,96.271,2363.496,10102.092,33554878
4,8388608,whole,current,186.743,15576.605,69679.339,33570112
4,8388608,whole,prototype-padded,39.890,7951.710,22916.035,33620992
4,8388608,whole,prototype-compact,38.691,5699.726,23492.054,33620288
4,8388608,range,zip,60.101,82.072,131.682,33554878
4,8388608,range,current,138.272,8781.633,37298.241,33570112
4,8388608,range,prototype-padded,31.370,59.241,118.411,33620992
4,8388608,range,prototype-compact,9.751,28.610,76.051,33620288
