files,size,access,format,open_us,first_file_us,total_us,archive_bytes
1,128,stream,zip,21.380,30.021,31.331,256
1,128,stream,current,86.761,103.022,111.902,7488
1,128,stream,prototype-padded,7.790,14.830,16.030,2048
1,128,stream,prototype-compact,6.580,13.401,14.561,288
1,128,whole,zip,21.310,28.501,29.831,256
1,128,whole,current,86.112,100.342,110.152,7488
1,128,whole,prototype-padded,7.610,14.680,15.921,2048
1,128,whole,prototype-compact,6.540,13.410,14.580,288
1,128,range,zip,21.230,28.660,30.000,256
1,128,range,current,85.242,101.451,110.252,7488
1,128,range,prototype-padded,7.570,14.630,15.840,2048
1,128,range,prototype-compact,6.530,13.420,14.571,288
512,4096,stream,zip,3566.375,3578.085,7961.452,2151446
512,4096,stream,current,590.599,2201.394,4554.480,2215232
512,4096,stream,prototype-padded,17.890,31.240,3140.608,2655232
512,4096,stream,prototype-compact,11.260,22.460,3118.808,2146368
512,4096,whole,zip,3606.876,3618.186,7662.198,2151446
512,4096,whole,current,579.749,2135.653,3961.151,2215232
512,4096,whole,prototype-padded,18.520,32.121,3295.361,2655232
512,4096,whole,prototype-compact,12.391,24.581,3316.691,2146368
512,4096,range,zip,3578.245,3587.215,7447.624,2151446
512,4096,range,current,564.818,2088.591,3878.629,2215232
512,4096,range,prototype-padded,12.810,26.470,3217.349,2655232
512,4096,range,prototype-compact,11.620,23.221,3195.869,2146368
4,8388608,stream,zip,60.731,2441.578,9589.358,33554878
4,8388608,stream,current,156.322,11251.493,47057.152,33570112
4,8388608,stream,prototype-padded,47.200,6334.858,24693.099,33620992
4,8388608,stream,prototype-compact,25.990,6232.526,25039.544,33620288
4,8388608,whole,zip,82.601,2756.943,11437.836,33554878
4,8388608,whole,current,180.743,12740.346,54462.866,33570112
4,8388608,whole,prototype-padded,35.501,6602.822,26497.427,33620992
4,8388608,whole,prototype-compact,39.021,6100.484,27251.798,33620288
4,8388608,range,zip,50.281,66.841,104.162,33554878
4,8388608,range,current,134.612,5907.421,24409.944,33570112
4,8388608,range,prototype-padded,43.111,65.951,124.042,33620992
4,8388608,range,prototype-compact,10.400,30.011,76.062,33620288
