bytes,corpus,compressed_bytes,mode,median_us
4096,pattern,335,fresh,2.970
4096,pattern,335,reused-frame,2.670
4096,pattern,335,workspace,2.660
4096,random,4109,fresh,0.710
4096,random,4109,reused-frame,0.480
4096,random,4109,workspace,0.470
1048576,pattern,891,fresh,147.062
1048576,pattern,891,reused-frame,136.672
1048576,pattern,891,workspace,135.631
1048576,random,1048610,fresh,138.212
1048576,random,1048610,reused-frame,127.432
1048576,random,1048610,workspace,126.931
4194304,pattern,1203,fresh,651.018
4194304,pattern,1203,reused-frame,572.077
4194304,pattern,1203,workspace,628.868
4194304,random,4194410,fresh,789.199
4194304,random,4194410,reused-frame,688.468
4194304,random,4194410,workspace,772.960
