corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
pattern,1048576,6,1,fast,true,891,2377.606,155.482
pattern,1048576,6,1,dual,true,891,3269.240,149.942
pattern,1048576,6,1,sampled,false,8277,1011.995,427.477
pattern,1048576,6,1,numeric,false,8277,623.249,431.467
pattern,1048576,6,2,dual,true,891,3353.030,151.063
pattern,1048576,6,2,sampled,false,8277,1026.035,426.307
pattern,1048576,6,2,numeric,false,8277,614.429,425.496
pattern,1048576,6,2,fast,true,891,2396.196,151.623
pattern,1048576,6,3,sampled,false,8277,1017.885,421.767
pattern,1048576,6,3,numeric,false,8277,611.819,431.157
pattern,1048576,6,3,fast,true,891,2402.146,169.983
pattern,1048576,6,3,dual,true,891,3254.049,152.252
pattern,1048576,6,4,numeric,false,8277,621.720,427.136
pattern,1048576,6,4,fast,true,891,2379.686,152.683
pattern,1048576,6,4,dual,true,891,3259.029,150.702
pattern,1048576,6,4,sampled,false,8277,1021.426,422.646
pattern,1048576,6,5,fast,true,891,2432.897,190.773
pattern,1048576,6,5,dual,true,891,3289.150,219.533
pattern,1048576,6,5,sampled,false,8277,1128.567,434.036
pattern,1048576,6,5,numeric,false,8277,620.439,435.627
pattern,1048576,6,6,dual,true,891,3323.400,151.062
pattern,1048576,6,6,sampled,false,8277,1014.515,425.727
pattern,1048576,6,6,numeric,false,8277,613.149,425.987
pattern,1048576,6,6,fast,true,891,2343.085,150.702
pattern,1048576,6,7,sampled,false,8277,1007.885,432.737
pattern,1048576,6,7,numeric,false,8277,607.629,424.326
pattern,1048576,6,7,fast,true,891,2355.805,151.292
pattern,1048576,6,7,dual,true,891,3250.649,153.552
zero,1048576,6,1,fast,true,42,447.937,119.981
zero,1048576,6,1,dual,true,42,1624.654,119.732
zero,1048576,6,1,sampled,true,42,530.208,120.062
zero,1048576,6,1,numeric,false,49,915.454,992.155
zero,1048576,6,2,dual,true,42,1618.484,118.852
zero,1048576,6,2,sampled,true,42,527.258,119.162
zero,1048576,6,2,numeric,false,49,910.943,991.175
zero,1048576,6,2,fast,true,42,468.208,119.631
zero,1048576,6,3,sampled,true,42,530.859,119.841
zero,1048576,6,3,numeric,false,49,912.153,1022.726
zero,1048576,6,3,fast,true,42,453.656,120.082
zero,1048576,6,3,dual,true,42,1623.215,122.132
zero,1048576,6,4,numeric,false,49,921.714,998.785
zero,1048576,6,4,fast,true,42,471.587,120.292
zero,1048576,6,4,dual,true,42,1620.144,119.182
zero,1048576,6,4,sampled,true,42,531.558,119.972
zero,1048576,6,5,fast,true,42,449.317,126.292
zero,1048576,6,5,dual,true,42,1638.345,118.271
zero,1048576,6,5,sampled,true,42,524.828,118.642
zero,1048576,6,5,numeric,false,49,905.064,985.125
zero,1048576,6,6,dual,true,42,1599.095,117.701
zero,1048576,6,6,sampled,true,42,524.388,118.442
zero,1048576,6,6,numeric,false,49,914.304,985.665
zero,1048576,6,6,fast,true,42,450.656,119.332
zero,1048576,6,7,sampled,true,42,542.058,124.162
zero,1048576,6,7,numeric,false,49,909.304,987.765
zero,1048576,6,7,fast,true,42,462.056,118.862
zero,1048576,6,7,dual,true,42,1601.705,117.971
text,1048576,6,1,fast,true,164,5284.620,190.273
text,1048576,6,1,dual,true,164,5929.809,190.683
text,1048576,6,1,sampled,false,168,706.121,233.613
text,1048576,6,1,numeric,false,168,349.736,233.423
text,1048576,6,2,dual,true,164,6102.802,189.203
text,1048576,6,2,sampled,false,168,699.531,234.053
text,1048576,6,2,numeric,false,168,342.195,235.684
text,1048576,6,2,fast,true,164,5460.242,190.303
text,1048576,6,3,sampled,false,168,694.131,236.083
text,1048576,6,3,numeric,false,168,345.925,231.704
text,1048576,6,3,fast,true,164,5449.973,191.553
text,1048576,6,3,dual,true,164,5879.399,206.993
