corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
pattern,1048576,3,1,fast,true,891,2276.465,735.031
pattern,1048576,3,1,dual,true,891,3496.672,405.357
pattern,1048576,3,1,sampled,false,6762,880.824,881.593
pattern,1048576,3,1,stream-default,true,6776,3091.016,937.665
pattern,1048576,3,1,stream-better,true,6776,3070.616,1037.326
pattern,1048576,3,1,numeric,false,6762,488.588,882.643
pattern,1048576,3,2,dual,true,891,3156.737,401.816
pattern,1048576,3,2,sampled,false,6762,883.284,877.643
pattern,1048576,3,2,stream-default,true,6776,3179.698,941.494
pattern,1048576,3,2,stream-better,true,6776,3205.549,1020.735
pattern,1048576,3,2,numeric,false,6762,514.068,881.433
pattern,1048576,3,2,fast,true,891,2317.555,650.240
pattern,1048576,3,3,sampled,false,6762,881.213,876.943
pattern,1048576,3,3,stream-default,true,6776,3179.148,839.833
pattern,1048576,3,3,stream-better,true,6776,3438.061,976.174
pattern,1048576,3,3,numeric,false,6762,494.038,876.483
pattern,1048576,3,3,fast,true,891,2318.645,651.220
pattern,1048576,3,3,dual,true,891,3477.172,398.886
pattern,1048576,3,4,stream-default,true,6776,3314.660,996.405
pattern,1048576,3,4,stream-better,true,6776,3316.440,971.955
pattern,1048576,3,4,numeric,false,6762,488.147,881.953
pattern,1048576,3,4,fast,true,891,2304.495,646.310
pattern,1048576,3,4,dual,true,891,3505.553,403.766
pattern,1048576,3,4,sampled,false,6762,866.763,874.903
pattern,1048576,3,5,stream-better,true,6776,3043.246,859.663
pattern,1048576,3,5,numeric,false,6762,481.427,871.823
pattern,1048576,3,5,fast,true,891,2257.744,640.960
pattern,1048576,3,5,dual,true,891,3398.761,390.326
pattern,1048576,3,5,sampled,false,6762,868.213,867.903
pattern,1048576,3,5,stream-default,true,6776,3118.507,839.812
pattern,1048576,3,6,numeric,false,6762,490.147,874.894
pattern,1048576,3,6,fast,true,891,2381.046,653.440
pattern,1048576,3,6,dual,true,891,3474.142,393.776
pattern,1048576,3,6,sampled,false,6762,898.763,879.864
pattern,1048576,3,6,stream-default,true,6776,3059.745,927.763
pattern,1048576,3,6,stream-better,true,6776,3051.606,1069.116
pattern,1048576,3,7,fast,true,891,2305.914,770.971
pattern,1048576,3,7,dual,true,891,3454.612,397.636
pattern,1048576,3,7,sampled,false,6762,875.973,883.333
pattern,1048576,3,7,stream-default,true,6776,3082.237,939.344
pattern,1048576,3,7,stream-better,true,6776,3024.246,1028.945
pattern,1048576,3,7,numeric,false,6762,484.167,872.663
zero,1048576,3,1,fast,true,42,708.491,731.441
zero,1048576,3,1,dual,true,42,1798.767,369.115
zero,1048576,3,1,sampled,true,42,771.362,723.541
zero,1048576,3,1,stream-default,true,42,684.651,747.731
zero,1048576,3,1,stream-better,true,42,673.210,749.121
zero,1048576,3,1,numeric,false,50,648.280,1532.803
zero,1048576,3,2,dual,true,42,1424.441,363.416
zero,1048576,3,2,sampled,true,42,787.831,718.560
zero,1048576,3,2,stream-default,true,42,685.611,734.791
zero,1048576,3,2,stream-better,true,42,683.180,744.001
zero,1048576,3,2,numeric,false,50,658.750,1510.702
zero,1048576,3,2,fast,true,42,447.976,618.630
zero,1048576,3,3,sampled,true,42,760.821,715.651
zero,1048576,3,3,stream-default,true,42,673.090,746.941
zero,1048576,3,3,stream-better,true,42,716.551,735.161
zero,1048576,3,3,numeric,false,50,676.780,1522.253
zero,1048576,3,3,fast,true,42,457.947,622.859
zero,1048576,3,3,dual,true,42,1794.437,362.276
zero,1048576,3,4,stream-default,true,42,694.310,750.091
zero,1048576,3,4,stream-better,true,42,683.250,743.751
zero,1048576,3,4,numeric,false,50,642.479,1532.973
zero,1048576,3,4,fast,true,42,457.526,626.230
zero,1048576,3,4,dual,true,42,1815.097,360.626
zero,1048576,3,4,sampled,true,42,781.922,726.751
