corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
pattern,1048576,3,1,fast,true,891,2400.646,663.130
pattern,1048576,3,1,dual,true,891,3626.405,411.766
pattern,1048576,3,1,sampled,false,6762,875.303,879.563
pattern,1048576,3,1,numeric,false,6762,421.336,870.723
pattern,1048576,3,2,dual,true,891,3204.528,408.446
pattern,1048576,3,2,sampled,false,6762,876.363,869.873
pattern,1048576,3,2,numeric,false,6762,427.316,889.974
pattern,1048576,3,2,fast,true,891,2333.165,654.590
pattern,1048576,3,3,sampled,false,6762,881.133,870.423
pattern,1048576,3,3,numeric,false,6762,421.187,872.613
pattern,1048576,3,3,fast,true,891,2378.756,663.290
pattern,1048576,3,3,dual,true,891,3527.793,396.296
pattern,1048576,3,4,numeric,false,6762,468.757,867.974
pattern,1048576,3,4,fast,true,891,2395.346,667.380
pattern,1048576,3,4,dual,true,891,3533.173,401.886
pattern,1048576,3,4,sampled,false,6762,874.863,872.083
pattern,1048576,3,5,fast,true,891,2284.684,660.180
pattern,1048576,3,5,dual,true,891,3484.683,399.536
pattern,1048576,3,5,sampled,false,6762,892.484,885.943
pattern,1048576,3,5,numeric,false,6762,421.626,869.923
pattern,1048576,3,6,dual,true,891,3120.817,402.096
pattern,1048576,3,6,sampled,false,6762,858.763,875.693
pattern,1048576,3,6,numeric,false,6762,429.147,868.733
pattern,1048576,3,6,fast,true,891,2387.996,666.960
pattern,1048576,3,7,sampled,false,6762,877.873,877.433
pattern,1048576,3,7,numeric,false,6762,436.976,916.344
pattern,1048576,3,7,fast,true,891,2348.445,666.780
pattern,1048576,3,7,dual,true,891,3548.254,410.686
zero,1048576,3,1,fast,true,42,726.471,735.721
zero,1048576,3,1,dual,true,42,1517.473,368.976
zero,1048576,3,1,sampled,true,42,789.262,731.421
zero,1048576,3,1,numeric,false,50,359.076,1567.904
zero,1048576,3,2,dual,true,42,1149.837,372.796
zero,1048576,3,2,sampled,true,42,794.162,741.361
zero,1048576,3,2,numeric,false,50,389.236,1550.683
zero,1048576,3,2,fast,true,42,461.307,628.309
zero,1048576,3,3,sampled,true,42,816.593,734.481
zero,1048576,3,3,numeric,false,50,379.966,1630.254
zero,1048576,3,3,fast,true,42,800.052,822.893
zero,1048576,3,3,dual,true,42,1574.274,376.615
zero,1048576,3,4,numeric,false,50,366.285,1570.784
