corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
pattern,4194304,3,1,fast,true,1203,9484.302,821.252
pattern,4194304,3,1,dual,true,1203,11622.754,754.711
pattern,4194304,3,1,sampled,false,26234,1691.536,3453.921
pattern,4194304,3,1,stream-default,true,26258,13321.430,1679.005
pattern,4194304,3,1,stream-better,true,26258,13293.399,1690.336
pattern,4194304,3,1,numeric-buffered,false,26234,1325.460,1595.114
pattern,4194304,3,1,numeric-min7,false,26234,1459.202,1580.694
pattern,4194304,3,1,numeric-lazy2,false,10694,1874.328,1178.628
pattern,4194304,3,1,numeric-ldm,false,26234,1358.470,1636.625
pattern,4194304,3,1,numeric-hash20,false,26234,4084.471,5643.475
pattern,4194304,3,1,numeric,false,26234,1232.738,3523.243
pattern,4194304,3,2,dual,true,1203,11268.289,719.320
pattern,4194304,3,2,sampled,false,26234,1661.824,1777.497
pattern,4194304,3,2,stream-default,true,26258,12905.293,1650.024
pattern,4194304,3,2,stream-better,true,26258,12968.734,1670.385
pattern,4194304,3,2,numeric-buffered,false,26234,1334.670,1633.064
pattern,4194304,3,2,numeric-min7,false,26234,1373.980,1563.754
pattern,4194304,3,2,numeric-lazy2,false,10694,2383.536,1175.397
pattern,4194304,3,2,numeric-ldm,false,26234,1386.621,1555.144
pattern,4194304,3,2,numeric-hash20,false,26234,4214.473,5654.955
pattern,4194304,3,2,numeric,false,26234,1279.009,3781.437
pattern,4194304,3,2,fast,true,1203,9249.638,874.154
pattern,4194304,3,3,sampled,false,26234,1641.514,1831.958
pattern,4194304,3,3,stream-default,true,26258,12929.174,1640.984
pattern,4194304,3,3,stream-better,true,26258,13116.026,1635.265
pattern,4194304,3,3,numeric-buffered,false,26234,1327.090,1722.876
pattern,4194304,3,3,numeric-min7,false,26234,1419.711,1650.575
pattern,4194304,3,3,numeric-lazy2,false,10694,1804.697,1186.338
pattern,4194304,3,3,numeric-ldm,false,26234,1364.370,1602.484
pattern,4194304,3,3,numeric-hash20,false,26234,4099.271,5502.233
pattern,4194304,3,3,numeric,false,26234,1220.328,3465.832
pattern,4194304,3,3,fast,true,1203,9121.317,992.294
pattern,4194304,3,3,dual,true,1203,12749.081,756.231
pattern,4194304,3,4,stream-default,true,26258,14158.382,1770.546
pattern,4194304,3,4,stream-better,true,26258,18235.653,1824.137
pattern,4194304,3,4,numeric-buffered,false,26234,1456.671,1682.706
pattern,4194304,3,4,numeric-min7,false,26234,1444.992,1634.184
pattern,4194304,3,4,numeric-lazy2,false,10694,2272.214,1280.579
pattern,4194304,3,4,numeric-ldm,false,26234,1417.482,1673.975
pattern,4194304,3,4,numeric-hash20,false,26234,4315.604,5740.746
pattern,4194304,3,4,numeric,false,26234,1249.829,3549.543
pattern,4194304,3,4,fast,true,1203,9540.833,915.954
pattern,4194304,3,4,dual,true,1203,11986.360,728.561
pattern,4194304,3,4,sampled,false,26234,1654.925,1724.856
pattern,4194304,3,5,stream-better,true,26258,13398.441,1690.725
pattern,4194304,3,5,numeric-buffered,false,26234,1374.731,1639.735
pattern,4194304,3,5,numeric-min7,false,26234,1462.742,1589.694
pattern,4194304,3,5,numeric-lazy2,false,10694,1920.469,1168.848
pattern,4194304,3,5,numeric-ldm,false,26234,1322.850,1593.124
pattern,4194304,3,5,numeric-hash20,false,26234,4060.671,5607.884
pattern,4194304,3,5,numeric,false,26234,1216.668,3445.172
pattern,4194304,3,5,fast,true,1203,9487.822,870.663
pattern,4194304,3,5,dual,true,1203,11638.935,720.861
pattern,4194304,3,5,sampled,false,26234,1632.634,1713.776
pattern,4194304,3,5,stream-default,true,26258,13293.339,1688.255
pattern,4194304,3,6,numeric-buffered,false,26234,1382.460,1615.295
pattern,4194304,3,6,numeric-min7,false,26234,1384.501,1606.634
pattern,4194304,3,6,numeric-lazy2,false,10694,2218.304,1169.987
pattern,4194304,3,6,numeric-ldm,false,26234,1445.032,1606.864
pattern,4194304,3,6,numeric-hash20,false,26234,4079.771,5598.484
pattern,4194304,3,6,numeric,false,26234,1279.899,3398.861
pattern,4194304,3,6,fast,true,1203,9436.241,862.783
pattern,4194304,3,6,dual,true,1203,11711.946,713.341
pattern,4194304,3,6,sampled,false,26234,1672.916,1806.607
pattern,4194304,3,6,stream-default,true,26258,12903.403,1656.755
pattern,4194304,3,6,stream-better,true,26258,12984.364,1632.145
pattern,4194304,3,7,numeric-min7,false,26234,1373.330,1647.985
pattern,4194304,3,7,numeric-lazy2,false,10694,1815.877,1176.688
pattern,4194304,3,7,numeric-ldm,false,26234,1329.000,1665.425
pattern,4194304,3,7,numeric-hash20,false,26234,4080.531,5660.195
pattern,4194304,3,7,numeric,false,26234,1216.299,3483.932
pattern,4194304,3,7,fast,true,1203,9473.322,893.253
pattern,4194304,3,7,dual,true,1203,11724.126,723.660
pattern,4194304,3,7,sampled,false,26234,1652.924,1772.417
pattern,4194304,3,7,stream-default,true,26258,12925.323,1662.345
pattern,4194304,3,7,stream-better,true,26258,12955.394,1579.384
pattern,4194304,3,7,numeric-buffered,false,26234,1316.430,1535.323
zero,4194304,3,1,fast,true,138,2389.855,738.021
zero,4194304,3,1,dual,true,138,4929.454,638.600
zero,4194304,3,1,sampled,true,138,2028.121,684.640
zero,4194304,3,1,stream-default,true,138,1878.848,654.630
zero,4194304,3,1,stream-better,true,138,1853.888,677.440
zero,4194304,3,1,numeric-buffered,false,147,2384.186,1709.415
zero,4194304,3,1,numeric-min7,false,147,2260.544,1700.025
zero,4194304,3,1,numeric-lazy2,false,146,4829.262,1689.045
zero,4194304,3,1,numeric-ldm,false,147,2157.932,1682.425
zero,4194304,3,1,numeric-hash20,false,147,5217.578,5459.031
zero,4194304,3,1,numeric,false,147,1992.250,3549.973
zero,4194304,3,2,dual,true,138,4988.974,633.190
zero,4194304,3,2,sampled,true,138,2237.704,1034.185
zero,4194304,3,2,stream-default,true,138,2096.081,1066.116
zero,4194304,3,2,stream-better,true,138,2072.021,881.063
zero,4194304,3,2,numeric-buffered,false,147,2371.375,1806.687
zero,4194304,3,2,numeric-min7,false,147,2258.074,1731.815
zero,4194304,3,2,numeric-lazy2,false,146,4968.854,2240.433
zero,4194304,3,2,numeric-ldm,false,147,2406.976,2066.311
zero,4194304,3,2,numeric-hash20,false,147,5326.740,5950.899
zero,4194304,3,2,numeric,false,147,2163.353,3846.467
zero,4194304,3,2,fast,true,138,2070.191,854.863
zero,4194304,3,3,sampled,true,138,2066.541,842.302
zero,4194304,3,3,stream-default,true,138,2010.710,834.693
zero,4194304,3,3,stream-better,true,138,1911.759,659.480
zero,4194304,3,3,numeric-buffered,false,147,2237.344,1891.758
zero,4194304,3,3,numeric-min7,false,147,4126.171,3530.043
zero,4194304,3,3,numeric-lazy2,false,146,5120.487,1948.719
zero,4194304,3,3,numeric-ldm,false,147,2392.776,1883.808
zero,4194304,3,3,numeric-hash20,false,147,5069.736,5779.946
zero,4194304,3,3,numeric,false,147,2060.831,3732.466
zero,4194304,3,3,fast,true,138,2039.151,746.781
zero,4194304,3,3,dual,true,138,5518.823,866.423
zero,4194304,3,4,stream-default,true,138,2084.632,923.013
zero,4194304,3,4,stream-better,true,138,1949.860,845.252
zero,4194304,3,4,numeric-buffered,false,147,2222.103,1838.027
zero,4194304,3,4,numeric-min7,false,147,2259.894,1745.786
zero,4194304,3,4,numeric-lazy2,false,146,4901.683,1733.906
zero,4194304,3,4,numeric-ldm,false,147,2309.705,2134.682
zero,4194304,3,4,numeric-hash20,false,147,5145.017,5969.170
zero,4194304,3,4,numeric,false,147,2144.643,3585.003
zero,4194304,3,4,fast,true,138,2039.400,763.852
zero,4194304,3,4,dual,true,138,4916.624,675.770
zero,4194304,3,4,sampled,true,138,1968.040,659.240
zero,4194304,3,5,stream-better,true,138,1884.408,655.690
zero,4194304,3,5,numeric-buffered,false,147,2171.243,1671.905
zero,4194304,3,5,numeric-min7,false,147,2204.343,1740.096
zero,4194304,3,5,numeric-lazy2,false,146,4855.553,1754.116
zero,4194304,3,5,numeric-ldm,false,147,2179.182,1683.476
zero,4194304,3,5,numeric-hash20,false,147,4857.572,5514.642
zero,4194304,3,5,numeric,false,147,2033.960,3407.021
zero,4194304,3,5,fast,true,138,1953.839,685.980
zero,4194304,3,5,dual,true,138,4969.064,633.250
zero,4194304,3,5,sampled,true,138,1985.580,669.720
zero,4194304,3,5,stream-default,true,138,1896.789,649.090
zero,4194304,3,6,numeric-buffered,false,147,2133.032,1704.166
zero,4194304,3,6,numeric-min7,false,147,2243.423,1748.276
zero,4194304,3,6,numeric-lazy2,false,146,4906.634,1730.916
zero,4194304,3,6,numeric-ldm,false,147,2177.802,1677.745
zero,4194304,3,6,numeric-hash20,false,147,4749.731,5547.533
zero,4194304,3,6,numeric,false,147,2020.910,3453.492
zero,4194304,3,6,fast,true,138,1955.609,704.250
zero,4194304,3,6,dual,true,138,4871.513,659.350
zero,4194304,3,6,sampled,true,138,1974.969,696.611
zero,4194304,3,6,stream-default,true,138,1903.298,677.351
zero,4194304,3,6,stream-better,true,138,1866.368,704.811
zero,4194304,3,7,numeric-min7,false,147,2245.814,1669.435
zero,4194304,3,7,numeric-lazy2,false,146,4819.753,1666.795
zero,4194304,3,7,numeric-ldm,false,147,2177.793,1654.805
zero,4194304,3,7,numeric-hash20,false,147,4835.223,5484.972
zero,4194304,3,7,numeric,false,147,2037.771,3600.634
zero,4194304,3,7,fast,true,138,1957.619,714.541
zero,4194304,3,7,dual,true,138,4906.063,746.882
zero,4194304,3,7,sampled,true,138,2018.990,582.369
zero,4194304,3,7,stream-default,true,138,1792.017,538.048
zero,4194304,3,7,stream-better,true,138,1790.506,532.728
zero,4194304,3,7,numeric-buffered,false,147,2101.532,1576.853
text,4194304,3,1,fast,true,428,18986.774,891.143
text,4194304,3,1,dual,true,428,20713.700,936.794
text,4194304,3,1,sampled,false,457,837.933,1223.418
text,4194304,3,1,stream-default,true,428,19491.792,845.213
text,4194304,3,1,stream-better,true,428,19051.365,863.773
text,4194304,3,1,numeric-buffered,false,457,630.060,1072.046
text,4194304,3,1,numeric-min7,false,457,702.690,1061.346
text,4194304,3,1,numeric-lazy2,false,458,2889.613,1082.046
text,4194304,3,1,numeric-ldm,false,457,671.970,1063.746
text,4194304,3,1,numeric-hash20,false,457,805.392,1021.796
text,4194304,3,1,numeric,false,457,508.808,1217.388
text,4194304,3,2,dual,true,428,20947.853,897.754
text,4194304,3,2,sampled,false,457,860.743,1244.858
text,4194304,3,2,stream-default,true,428,21503.012,1110.947
text,4194304,3,2,stream-better,true,428,19036.445,803.972
text,4194304,3,2,numeric-buffered,false,457,713.540,1100.437
text,4194304,3,2,numeric-min7,false,457,724.101,1067.656
text,4194304,3,2,numeric-lazy2,false,458,2898.893,1067.266
text,4194304,3,2,numeric-ldm,false,457,659.690,1071.046
text,4194304,3,2,numeric-hash20,false,457,830.513,1032.635
text,4194304,3,2,numeric,false,457,500.667,1189.098
text,4194304,3,2,fast,true,428,20235.793,1066.986
text,4194304,3,3,sampled,false,457,956.544,1371.121
text,4194304,3,3,stream-default,true,428,19798.576,1043.966
text,4194304,3,3,stream-better,true,428,19221.678,1058.236
text,4194304,3,3,numeric-buffered,false,457,827.503,1221.448
text,4194304,3,3,numeric-min7,false,457,1014.145,1376.261
text,4194304,3,3,numeric-lazy2,false,458,3264.609,1257.229
text,4194304,3,3,numeric-ldm,false,457,895.194,1220.218
text,4194304,3,3,numeric-hash20,false,457,1101.666,1114.027
text,4194304,3,3,numeric,false,457,611.849,1220.778
text,4194304,3,3,fast,true,428,21099.216,986.295
text,4194304,3,3,dual,true,428,20559.708,847.873
text,4194304,3,4,stream-default,true,428,18947.643,825.223
text,4194304,3,4,stream-better,true,428,18880.443,824.502
text,4194304,3,4,numeric-buffered,false,457,629.539,1095.307
text,4194304,3,4,numeric-min7,false,457,720.591,1067.166
text,4194304,3,4,numeric-lazy2,false,458,2945.754,1090.816
text,4194304,3,4,numeric-ldm,false,457,671.090,1078.916
text,4194304,3,4,numeric-hash20,false,457,818.532,1049.376
text,4194304,3,4,numeric,false,457,505.337,1205.968
text,4194304,3,4,fast,true,428,19201.228,845.682
text,4194304,3,4,dual,true,428,20648.379,850.063
text,4194304,3,4,sampled,false,457,855.712,1185.778
text,4194304,3,5,stream-better,true,428,20212.642,939.684
text,4194304,3,5,numeric-buffered,false,457,653.100,1077.456
text,4194304,3,5,numeric-min7,false,457,745.681,1090.057
text,4194304,3,5,numeric-lazy2,false,458,2823.063,1918.038
text,4194304,3,5,numeric-ldm,false,457,967.195,1383.560
text,4194304,3,5,numeric-hash20,false,457,1043.506,1059.306
text,4194304,3,5,numeric,false,457,525.958,1178.698
text,4194304,3,5,fast,true,428,19118.336,844.403
text,4194304,3,5,dual,true,428,20625.379,868.333
text,4194304,3,5,sampled,false,457,833.542,1201.868
text,4194304,3,5,stream-default,true,428,19482.762,871.513
text,4194304,3,6,numeric-buffered,false,457,637.319,1118.457
text,4194304,3,6,numeric-min7,false,457,963.034,1248.979
text,4194304,3,6,numeric-lazy2,false,458,2858.293,1309.749
text,4194304,3,6,numeric-ldm,false,457,872.253,1109.097
text,4194304,3,6,numeric-hash20,false,457,819.102,1034.216
text,4194304,3,6,numeric,false,457,497.107,1182.178
text,4194304,3,6,fast,true,428,19408.360,1211.888
text,4194304,3,6,dual,true,428,20887.933,970.744
text,4194304,3,6,sampled,false,457,857.913,1294.519
text,4194304,3,6,stream-default,true,428,19925.748,980.075
text,4194304,3,6,stream-better,true,428,19235.778,849.833
text,4194304,3,7,numeric-min7,false,457,689.850,1087.706
text,4194304,3,7,numeric-lazy2,false,458,2710.190,1099.177
text,4194304,3,7,numeric-ldm,false,457,682.290,1078.896
text,4194304,3,7,numeric-hash20,false,457,824.612,1025.145
text,4194304,3,7,numeric,false,457,558.889,1208.298
text,4194304,3,7,fast,true,428,19463.311,901.384
text,4194304,3,7,dual,true,428,20553.948,851.942
text,4194304,3,7,sampled,false,457,837.723,1209.388
text,4194304,3,7,stream-default,true,428,19370.690,829.413
text,4194304,3,7,stream-better,true,428,19106.416,916.684
text,4194304,3,7,numeric-buffered,false,457,674.970,1090.957
random,4194304,3,1,fast,true,4194410,1025.365,797.272
random,4194304,3,1,dual,false,4194410,3983.910,950.224
random,4194304,3,1,sampled,false,4194410,1154.508,966.214
random,4194304,3,1,stream-default,true,4194410,894.784,758.181
random,4194304,3,1,stream-better,true,4194410,863.303,716.431
random,4194304,3,1,numeric-buffered,false,4194410,1351.350,828.023
random,4194304,3,1,numeric-min7,false,4194410,1454.052,784.611
random,4194304,3,1,numeric-lazy2,false,4194410,2030.001,798.312
random,4194304,3,1,numeric-ldm,false,4194410,1494.682,785.782
random,4194304,3,1,numeric-hash20,false,4194410,1767.886,796.852
random,4194304,3,1,numeric,false,4194410,964.475,1136.667
random,4194304,3,2,dual,false,4194410,3869.868,918.334
random,4194304,3,2,sampled,false,4194410,1200.458,1071.566
random,4194304,3,2,stream-default,true,4194410,886.793,761.092
random,4194304,3,2,stream-better,true,4194410,872.463,739.321
random,4194304,3,2,numeric-buffered,false,4194410,1311.030,850.063
random,4194304,3,2,numeric-min7,false,4194410,1459.352,796.651
random,4194304,3,2,numeric-lazy2,false,4194410,2212.743,813.692
random,4194304,3,2,numeric-ldm,false,4194410,1494.332,821.162
random,4194304,3,2,numeric-hash20,false,4194410,1970.319,981.645
random,4194304,3,2,numeric,false,4194410,1115.456,1406.101
random,4194304,3,2,fast,true,4194410,1313.530,995.235
random,4194304,3,3,sampled,false,4194410,1457.032,1431.771
random,4194304,3,3,stream-default,true,4194410,1198.708,879.463
random,4194304,3,3,stream-better,true,4194410,1063.986,855.122
random,4194304,3,3,numeric-buffered,false,4194410,2200.813,1224.678
random,4194304,3,3,numeric-min7,false,4194410,2029.010,1154.398
random,4194304,3,3,numeric-lazy2,false,4194410,2804.572,1251.088
random,4194304,3,3,numeric-ldm,false,4194410,1751.356,906.634
random,4194304,3,3,numeric-hash20,false,4194410,2229.273,1463.862
random,4194304,3,3,numeric,false,4194410,1053.016,1218.948
random,4194304,3,3,fast,true,4194410,1038.925,807.892
random,4194304,3,3,dual,false,4194410,4065.791,1298.030
random,4194304,3,4,stream-default,true,4194410,1042.765,923.454
random,4194304,3,4,stream-better,true,4194410,1104.067,837.872
random,4194304,3,4,numeric-buffered,false,4194410,1660.625,971.364
random,4194304,3,4,numeric-min7,false,4194410,1848.378,1077.546
random,4194304,3,4,numeric-lazy2,false,4194410,2411.576,1049.126
random,4194304,3,4,numeric-ldm,false,4194410,1878.258,996.805
random,4194304,3,4,numeric-hash20,false,4194410,2050.481,975.254
random,4194304,3,4,numeric,false,4194410,1111.917,1491.762
random,4194304,3,4,fast,true,4194410,1170.408,905.573
random,4194304,3,4,dual,false,4194410,4318.465,1135.057
random,4194304,3,4,sampled,false,4194410,1411.761,1334.000
random,4194304,3,5,stream-better,true,4194410,1103.207,823.522
random,4194304,3,5,numeric-buffered,false,4194410,1782.807,976.844
random,4194304,3,5,numeric-min7,false,4194410,1607.544,831.253
random,4194304,3,5,numeric-lazy2,false,4194410,2106.982,813.402
random,4194304,3,5,numeric-ldm,false,4194410,1689.076,976.894
random,4194304,3,5,numeric-hash20,false,4194410,2069.151,970.944
random,4194304,3,5,numeric,false,4194410,1098.136,1372.391
random,4194304,3,5,fast,true,4194410,1175.998,949.424
random,4194304,3,5,dual,false,4194410,4137.252,1121.447
random,4194304,3,5,sampled,false,4194410,1384.671,1252.969
random,4194304,3,5,stream-default,true,4194410,948.434,786.552
random,4194304,3,6,numeric-buffered,false,4194410,1489.433,912.833
random,4194304,3,6,numeric-min7,false,4194410,1515.812,819.542
random,4194304,3,6,numeric-lazy2,false,4194410,2106.462,839.933
random,4194304,3,6,numeric-ldm,false,4194410,1806.307,1039.396
random,4194304,3,6,numeric-hash20,false,4194410,2098.682,989.364
random,4194304,3,6,numeric,false,4194410,1044.846,1324.300
random,4194304,3,6,fast,true,4194410,936.284,780.712
random,4194304,3,6,dual,false,4194410,3909.568,972.645
random,4194304,3,6,sampled,false,4194410,1190.518,1020.235
random,4194304,3,6,stream-default,true,4194410,909.863,786.232
random,4194304,3,6,stream-better,true,4194410,904.334,762.691
random,4194304,3,7,numeric-min7,false,4194410,1346.690,874.704
random,4194304,3,7,numeric-lazy2,false,4194410,2091.351,817.072
random,4194304,3,7,numeric-ldm,false,4194410,1611.985,830.232
random,4194304,3,7,numeric-hash20,false,4194410,1652.905,795.912
random,4194304,3,7,numeric,false,4194410,1020.096,1249.598
random,4194304,3,7,fast,true,4194410,994.215,814.122
random,4194304,3,7,dual,false,4194410,4111.751,1087.177
random,4194304,3,7,sampled,false,4194410,1331.190,1193.668
random,4194304,3,7,stream-default,true,4194410,1077.196,896.274
random,4194304,3,7,stream-better,true,4194410,1046.085,857.593
random,4194304,3,7,numeric-buffered,false,4194410,3654.834,2021.171
mixed,4194304,3,1,fast,true,2102446,126293.252,1115.686
mixed,4194304,3,1,dual,true,2102446,127868.196,908.663
mixed,4194304,3,1,sampled,false,2125873,5619.294,1848.727
mixed,4194304,3,1,stream-default,true,2112150,87061.494,1530.143
mixed,4194304,3,1,stream-better,true,2112150,87823.436,1539.013
mixed,4194304,3,1,numeric-buffered,false,2125873,5728.326,1658.835
mixed,4194304,3,1,numeric-min7,false,2126003,5906.189,1712.115
mixed,4194304,3,1,numeric-lazy2,false,2115365,11987.559,1359.831
mixed,4194304,3,1,numeric-ldm,false,2125873,6025.251,1714.846
mixed,4194304,3,1,numeric-hash20,false,2125691,6311.535,1691.935
mixed,4194304,3,1,numeric,false,2125873,5437.501,1907.989
mixed,4194304,3,2,dual,true,2102446,137279.636,918.724
mixed,4194304,3,2,sampled,false,2125873,5626.654,1981.220
mixed,4194304,3,2,stream-default,true,2112150,91384.239,1622.115
mixed,4194304,3,2,stream-better,true,2112150,88578.307,1696.155
mixed,4194304,3,2,numeric-buffered,false,2125873,5993.420,2044.661
mixed,4194304,3,2,numeric-min7,false,2126003,6232.644,1995.930
mixed,4194304,3,2,numeric-lazy2,false,2115365,11960.029,1681.515
mixed,4194304,3,2,numeric-ldm,false,2125873,6092.802,1821.757
mixed,4194304,3,2,numeric-hash20,false,2125691,6534.898,1960.710
mixed,4194304,3,2,numeric,false,2125873,5683.556,2182.272
mixed,4194304,3,2,fast,true,2102446,124920.181,1214.908
mixed,4194304,3,3,sampled,false,2125873,5664.595,1970.939
mixed,4194304,3,3,stream-default,true,2112150,89396.779,1477.423
mixed,4194304,3,3,stream-better,true,2112150,88056.179,1426.181
mixed,4194304,3,3,numeric-buffered,false,2125873,5633.284,1550.374
mixed,4194304,3,3,numeric-min7,false,2126003,5706.775,2038.011
mixed,4194304,3,3,numeric-lazy2,false,2115365,11624.805,1179.917
mixed,4194304,3,3,numeric-ldm,false,2125873,5656.465,1518.223
mixed,4194304,3,3,numeric-hash20,false,2125691,5608.015,1536.032
mixed,4194304,3,3,numeric,false,2125873,5351.830,1809.497
mixed,4194304,3,3,fast,true,2102446,127076.824,1182.648
mixed,4194304,3,3,dual,true,2102446,127373.008,856.113
mixed,4194304,3,4,stream-default,true,2112150,87783.995,1405.261
mixed,4194304,3,4,stream-better,true,2112150,86875.582,1374.640
mixed,4194304,3,4,numeric-buffered,false,2125873,5558.553,1550.504
mixed,4194304,3,4,numeric-min7,false,2126003,5626.804,1549.273
mixed,4194304,3,4,numeric-lazy2,false,2115365,11396.231,1177.067
mixed,4194304,3,4,numeric-ldm,false,2125873,5711.056,1527.963
mixed,4194304,3,4,numeric-hash20,false,2125691,5583.103,1539.683
mixed,4194304,3,4,numeric,false,2125873,5246.029,1752.636
mixed,4194304,3,4,fast,true,2102446,121295.797,967.064
mixed,4194304,3,4,dual,true,2102446,131389.028,938.874
mixed,4194304,3,4,sampled,false,2125873,5470.592,1725.076
mixed,4194304,3,5,stream-better,true,2112150,87972.548,1352.020
mixed,4194304,3,5,numeric-buffered,false,2125873,5520.673,1563.373
mixed,4194304,3,5,numeric-min7,false,2126003,5643.354,1544.573
mixed,4194304,3,5,numeric-lazy2,false,2115365,11437.501,1295.860
mixed,4194304,3,5,numeric-ldm,false,2125873,5658.965,1533.993
mixed,4194304,3,5,numeric-hash20,false,2125691,5591.403,1632.785
mixed,4194304,3,5,numeric,false,2125873,5290.199,1811.097
mixed,4194304,3,5,fast,true,2102446,123644.152,1104.987
mixed,4194304,3,5,dual,true,2102446,128985.472,984.034
