files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes,read_calls_us,output_wipe_us,drop_us
1,128,stream,zip,32.910,44.581,45.931,48.041,256,12.920,0.000,2.140
1,128,stream,current,242.154,265.225,266.545,281.345,269696,24.670,0.000,14.210
1,128,stream,prototype-padded,10.720,21.290,21.460,23.360,2048,10.600,0.000,1.880
1,128,stream,prototype-compact,11.830,22.961,23.201,25.141,288,10.700,0.000,1.900
1,128,whole,zip,29.051,38.481,38.551,40.461,256,9.410,0.050,1.790
1,128,whole,current,206.054,226.134,226.204,238.335,269696,19.350,0.080,12.060
1,128,whole,prototype-padded,9.280,19.100,19.160,20.890,2048,9.171,0.040,1.630
1,128,whole,prototype-compact,10.640,20.340,20.400,22.220,288,9.390,0.040,1.660
1,128,range,zip,25.570,34.010,34.060,35.871,256,8.350,0.040,1.550
1,128,range,current,177.924,194.774,194.834,205.734,269696,16.780,0.070,10.640
1,128,range,prototype-padded,7.980,15.961,16.021,17.531,2048,7.881,0.040,1.410
1,128,range,prototype-compact,8.570,17.001,17.061,18.581,288,8.210,0.040,1.420
512,4096,stream,zip,3180.227,3188.087,3188.807,7087.757,2151446,3852.768,0.000,34.981
512,4096,stream,current,609.781,2055.677,2056.457,4208.545,2477440,3423.551,0.000,169.273
512,4096,stream,prototype-padded,9.200,18.821,19.131,2825.910,2655232,2787.960,0.000,1.310
512,4096,stream,prototype-compact,10.610,22.061,22.331,2808.031,2146368,2774.750,0.000,1.380
512,4096,whole,zip,3244.748,3253.458,3253.558,6894.163,2151446,3430.481,42.981,36.781
512,4096,whole,current,634.162,2144.249,2144.559,3982.202,2477440,2972.273,43.760,177.263
512,4096,whole,prototype-padded,11.060,21.481,21.591,2947.173,2655232,2766.870,42.781,2.270
512,4096,whole,prototype-compact,14.610,27.920,28.020,2904.022,2146368,2768.941,42.880,1.820
512,4096,range,zip,3474.802,3487.172,3487.542,7232.550,2151446,3500.313,27.962,40.601
512,4096,range,current,660.472,2191.029,2191.189,4093.223,2477440,3083.254,28.631,189.583
512,4096,range,prototype-padded,11.800,23.280,23.410,3127.256,2655232,3003.494,27.930,2.180
512,4096,range,prototype-compact,15.411,29.081,29.151,3101.926,2146368,2926.541,27.860,1.950
4,8388608,stream,zip,67.641,83.531,2362.982,8905.280,33554878,8808.758,0.000,6.320
4,8388608,stream,current,227.494,5413.507,10519.348,43642.892,33832320,41400.453,0.000,2106.377
4,8388608,stream,prototype-padded,23.091,43.830,2506.525,8482.332,33620992,8451.131,0.000,8.520
4,8388608,stream,prototype-compact,30.360,53.490,2746.270,8636.295,33620288,8603.404,0.000,9.291
4,8388608,whole,zip,84.901,1680.130,2198.889,8763.847,33554878,5727.604,1001.359,8.980
4,8388608,whole,current,248.624,11125.459,11878.363,59700.901,33832320,50950.443,1166.682,4170.275
4,8388608,whole,prototype-padded,30.590,2203.809,2720.819,10630.221,33620992,7123.598,1090.440,12.400
4,8388608,whole,prototype-compact,40.061,2296.731,2827.690,9968.309,33620288,6820.123,1043.778,11.870
4,8388608,range,zip,69.011,81.971,82.121,127.292,33554878,56.061,0.600,1.751
4,8388608,range,current,223.784,6228.221,6229.281,25314.274,33832320,23326.148,3.860,1758.171
4,8388608,range,prototype-padded,9.421,32.171,32.521,86.202,33620992,69.931,0.590,1.200
4,8388608,range,prototype-compact,15.470,36.491,36.681,120.892,33620288,79.661,0.600,1.400
