files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes,read_calls_us,output_wipe_us,drop_us
1,128,stream,zip,17.360,23.250,23.980,25.200,256,6.550,0.000,1.100
1,128,stream,current,127.612,139.693,140.403,147.833,269696,12.910,0.000,7.370
1,128,stream,prototype-padded,5.450,10.691,10.771,11.721,2048,5.280,0.000,0.940
1,128,stream,prototype-compact,6.250,11.790,11.900,12.860,288,5.460,0.000,0.950
1,128,whole,zip,17.940,23.651,23.691,25.131,256,5.560,0.030,1.080
1,128,whole,current,137.412,150.442,150.492,158.043,269696,12.790,0.050,7.390
1,128,whole,prototype-padded,6.280,11.840,11.880,12.940,2048,5.590,0.030,0.990
1,128,whole,prototype-compact,6.810,12.420,12.460,13.540,288,5.480,0.030,1.000
1,128,range,zip,17.880,23.651,23.691,24.881,256,5.591,0.030,1.130
1,128,range,current,134.882,149.293,149.373,161.983,269696,12.360,0.040,7.471
1,128,range,prototype-padded,6.080,11.720,11.760,12.790,2048,5.540,0.030,0.970
1,128,range,prototype-compact,6.710,12.350,12.390,13.440,288,5.570,0.030,0.970
512,4096,stream,zip,3306.490,3315.270,3316.180,7196.589,2151446,3840.519,0.000,34.520
512,4096,stream,current,599.940,1963.845,1964.725,4107.204,2477440,3329.041,0.000,168.273
512,4096,stream,prototype-padded,8.700,18.350,18.570,2859.191,2655232,2829.682,0.000,1.410
512,4096,stream,prototype-compact,10.581,21.110,21.430,2838.831,2146368,2806.680,0.000,1.440
512,4096,whole,zip,3411.582,3421.062,3421.242,7144.279,2151446,3516.594,46.150,35.931
512,4096,whole,current,644.502,2182.239,2182.609,4011.152,2477440,3007.354,44.123,177.543
512,4096,whole,prototype-padded,10.690,20.921,21.091,2997.694,2655232,2821.762,43.491,1.610
512,4096,whole,prototype-compact,12.461,23.741,23.921,2946.013,2146368,2796.281,43.420,1.630
512,4096,range,zip,3335.571,3344.071,3344.141,6752.742,2151446,3303.200,26.760,33.301
512,4096,range,current,582.690,1922.605,1922.735,3651.486,2477440,2824.563,27.122,162.443
512,4096,range,prototype-padded,8.410,18.670,18.740,2931.633,2655232,2840.592,26.620,1.330
512,4096,range,prototype-compact,9.420,19.610,19.700,2902.382,2146368,2808.397,26.621,1.390
4,8388608,stream,zip,69.811,90.532,2364.253,9160.425,33554878,9074.073,0.000,5.620
4,8388608,stream,current,294.336,5434.928,10509.869,43926.681,33832320,41559.139,0.000,2060.448
4,8388608,stream,prototype-padded,25.230,48.741,2406.144,8447.592,33620992,8381.591,0.000,13.690
4,8388608,stream,prototype-compact,26.560,46.001,2463.684,8381.781,33620288,8343.040,0.000,13.540
4,8388608,whole,zip,83.411,1511.547,1937.455,7810.131,33554878,5322.815,809.425,7.880
4,8388608,whole,current,303.935,10802.834,11535.838,57116.430,33832320,48925.222,1027.809,3931.721
4,8388608,whole,prototype-padded,32.000,1402.065,1935.455,8122.467,33620992,4484.780,1473.746,19.400
4,8388608,whole,prototype-compact,32.461,1445.086,2065.097,8044.275,33620288,4566.232,1507.166,15.250
4,8388608,range,zip,52.041,65.551,65.691,108.742,33554878,52.000,0.570,1.710
4,8388608,range,current,200.574,5561.291,5561.671,22197.350,33832320,20517.590,1.140,1475.687
4,8388608,range,prototype-padded,10.100,33.691,33.861,81.942,33620992,68.711,0.570,1.130
4,8388608,range,prototype-compact,12.190,32.671,32.851,79.601,33620288,67.991,0.580,1.200
