files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
512,4096,false,plain,Interactive,stream,6.977,4.287,0.614,3.360,3.578,0.541,3.086,2151446,2215232,pattern
512,4096,false,plain,Interactive,random,7.085,5.171,0.730,3.326,3.724,0.566,3.926,2151446,2215232,pattern
512,4096,false,plain,ReadMostly,stream,6.848,5.054,0.738,3.319,3.496,0.540,3.306,2151446,2215232,pattern
512,4096,false,plain,ReadMostly,random,6.984,6.013,0.861,3.309,3.641,0.566,4.214,2151446,2215232,pattern
512,4096,false,encrypted,Interactive,stream,6.876,5.719,0.832,3.301,3.552,0.605,4.445,2151446,2215232,pattern
512,4096,false,encrypted,Interactive,random,7.158,6.490,0.907,3.346,3.771,0.608,5.221,2151446,2215232,pattern
512,4096,false,encrypted,ReadMostly,stream,6.996,6.601,0.943,3.424,3.537,0.596,4.763,2151446,2215232,pattern
512,4096,false,encrypted,ReadMostly,random,7.101,7.399,1.042,3.346,3.714,0.623,5.542,2151446,2215232,pattern
512,4096,false,signed,Interactive,stream,6.909,8.119,1.175,3.330,3.544,5.693,1.764,2151446,2229568,pattern
512,4096,false,signed,Interactive,random,7.000,8.744,1.249,3.318,3.654,5.672,2.415,2151446,2229568,pattern
512,4096,false,signed,ReadMostly,stream,6.804,9.097,1.337,3.289,3.477,5.723,2.035,2151446,2229568,pattern
512,4096,false,signed,ReadMostly,random,7.345,9.677,1.317,3.445,3.807,5.747,2.700,2151446,2229568,pattern
512,4096,false,encrypted-signed,Interactive,stream,6.837,6.503,0.951,3.271,3.541,1.295,4.505,2151446,2229568,pattern
512,4096,false,encrypted-signed,Interactive,random,6.972,7.532,1.080,3.290,3.663,1.321,5.417,2151446,2229568,pattern
512,4096,false,encrypted-signed,ReadMostly,stream,6.953,7.387,1.062,3.322,3.595,1.338,4.827,2151446,2229568,pattern
512,4096,false,encrypted-signed,ReadMostly,random,7.013,7.899,1.126,3.338,3.646,1.295,5.357,2151446,2229568,pattern
4,1048576,false,plain,Interactive,stream,1.072,6.750,6.297,0.041,1.027,0.124,5.543,4194750,4201792,pattern
4,1048576,false,plain,Interactive,random,1.393,11.028,7.914,0.049,1.318,0.113,9.141,4194750,4201792,pattern
4,1048576,false,plain,Interactive,range,0.106,10.657,100.322,0.036,0.069,0.111,8.822,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,stream,1.073,7.695,7.168,0.041,1.026,0.117,5.493,4194750,4201792,pattern
