files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
4,8388608,false,plain,Interactive,stream,9.709,58.735,6.049,0.055,9.653,0.163,48.775,33554878,33570112,random
4,8388608,false,plain,Interactive,random,9.291,62.559,6.734,0.052,9.232,0.169,53.761,33554878,33570112,random
4,8388608,false,plain,Interactive,range,0.120,60.297,500.962,0.039,0.080,0.172,51.702,33554878,33570112,random
4,8388608,false,plain,ReadMostly,stream,9.367,73.733,7.871,0.054,9.305,0.132,54.854,33554878,33570112,random
4,8388608,false,plain,ReadMostly,random,9.256,83.915,9.066,0.049,9.183,0.133,65.374,33554878,33570112,random
4,8388608,false,plain,ReadMostly,range,0.127,77.694,609.926,0.040,0.085,0.143,59.261,33554878,33570112,random
4,8388608,true,plain,Interactive,stream,18.076,55.088,3.048,0.044,18.025,0.168,46.258,33565138,33569088,random
4,8388608,true,plain,Interactive,random,18.992,65.781,3.464,0.052,18.914,0.170,56.971,33565138,33569088,random
4,8388608,true,plain,Interactive,range,29.281,63.230,2.159,0.051,29.224,0.206,54.345,33565138,33569088,random
4,8388608,true,plain,ReadMostly,stream,21.330,74.586,3.497,0.057,21.269,0.190,55.830,33565138,33569088,random
4,8388608,true,plain,ReadMostly,random,20.632,86.502,4.193,0.054,20.569,0.185,66.932,33565138,33569088,random
4,8388608,true,plain,ReadMostly,range,28.478,80.600,2.830,0.054,28.418,0.211,61.721,33565138,33569088,random
