variant,run,files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
after,0,4,8388608,false,plain,Interactive,stream,8.407,22.092,2.628,0.047,8.356,0.170,21.899,33554878,33908096,pattern
after,0,4,8388608,false,plain,Interactive,random,8.517,30.122,3.537,0.048,8.467,0.169,29.934,33554878,33908096,pattern
after,0,4,8388608,false,plain,Interactive,range,0.102,0.909,8.923,0.035,0.066,0.139,0.759,33554878,33908096,pattern
after,0,4,8388608,false,plain,ReadMostly,stream,8.463,21.930,2.591,0.046,8.411,0.169,21.737,33554878,33908096,pattern
after,0,4,8388608,false,plain,ReadMostly,random,8.616,30.142,3.498,0.047,8.557,0.165,29.934,33554878,33908096,pattern
after,0,4,8388608,false,plain,ReadMostly,range,0.100,0.914,9.098,0.034,0.065,0.136,0.771,33554878,33908096,pattern
after,0,4,8388608,true,plain,Interactive,stream,7.616,12.831,1.685,0.045,7.556,0.202,12.545,436588,458112,pattern
after,0,4,8388608,true,plain,Interactive,random,7.364,15.454,2.098,0.046,7.312,0.198,15.232,436588,458112,pattern
after,0,4,8388608,true,plain,Interactive,range,9.355,10.515,1.124,0.037,9.316,0.162,10.338,436588,458112,pattern
after,0,4,8388608,true,plain,ReadMostly,stream,7.376,11.923,1.617,0.045,7.324,0.191,11.709,436588,458112,pattern
after,0,4,8388608,true,plain,ReadMostly,random,7.382,15.424,2.089,0.047,7.333,0.193,15.208,436588,458112,pattern
after,0,4,8388608,true,plain,ReadMostly,range,9.319,10.539,1.131,0.035,9.271,0.161,10.364,436588,458112,pattern
direct,1,4,8388608,false,plain,Interactive,stream,8.346,21.982,2.634,0.050,8.292,0.167,21.794,33554878,33908096,pattern
direct,1,4,8388608,false,plain,Interactive,random,8.457,28.424,3.361,0.050,8.398,0.163,28.236,33554878,33908096,pattern
direct,1,4,8388608,false,plain,Interactive,range,0.105,0.912,8.682,0.038,0.066,0.134,0.766,33554878,33908096,pattern
direct,1,4,8388608,false,plain,ReadMostly,stream,8.679,22.146,2.552,0.048,8.628,0.168,21.957,33554878,33908096,pattern
direct,1,4,8388608,false,plain,ReadMostly,random,8.547,28.358,3.318,0.053,8.467,0.165,28.169,33554878,33908096,pattern
direct,1,4,8388608,false,plain,ReadMostly,range,0.106,0.940,8.892,0.038,0.066,0.147,0.780,33554878,33908096,pattern
direct,1,4,8388608,true,plain,Interactive,stream,7.271,11.911,1.638,0.046,7.218,0.196,11.695,436588,458112,pattern
direct,1,4,8388608,true,plain,Interactive,random,7.394,15.401,2.083,0.047,7.341,0.197,15.180,436588,458112,pattern
direct,1,4,8388608,true,plain,Interactive,range,9.342,10.532,1.127,0.037,9.297,0.164,10.358,436588,458112,pattern
direct,1,4,8388608,true,plain,ReadMostly,stream,7.338,11.879,1.619,0.048,7.284,0.201,11.660,436588,458112,pattern
direct,1,4,8388608,true,plain,ReadMostly,random,7.430,15.377,2.070,0.049,7.377,0.196,15.154,436588,458112,pattern
direct,1,4,8388608,true,plain,ReadMostly,range,9.349,10.522,1.125,0.037,9.310,0.165,10.339,436588,458112,pattern
direct,2,4,8388608,false,plain,Interactive,stream,8.423,22.179,2.633,0.050,8.368,0.168,21.989,33554878,33908096,pattern
direct,2,4,8388608,false,plain,Interactive,random,8.540,28.481,3.335,0.053,8.487,0.168,28.293,33554878,33908096,pattern
direct,2,4,8388608,false,plain,Interactive,range,0.106,0.912,8.631,0.037,0.067,0.136,0.766,33554878,33908096,pattern
direct,2,4,8388608,false,plain,ReadMostly,stream,8.418,21.937,2.606,0.050,8.356,0.165,21.748,33554878,33908096,pattern
direct,2,4,8388608,false,plain,ReadMostly,random,8.675,28.766,3.316,0.052,8.617,0.166,28.530,33554878,33908096,pattern
direct,2,4,8388608,false,plain,ReadMostly,range,0.121,0.945,7.815,0.042,0.077,0.144,0.793,33554878,33908096,pattern
direct,2,4,8388608,true,plain,Interactive,stream,7.280,11.883,1.632,0.044,7.231,0.200,11.664,436588,458112,pattern
direct,2,4,8388608,true,plain,Interactive,random,7.298,15.478,2.121,0.044,7.250,0.198,15.221,436588,458112,pattern
direct,2,4,8388608,true,plain,Interactive,range,9.343,10.483,1.122,0.035,9.307,0.164,10.312,436588,458112,pattern
direct,2,4,8388608,true,plain,ReadMostly,stream,7.345,11.885,1.618,0.045,7.296,0.197,11.663,436588,458112,pattern
direct,2,4,8388608,true,plain,ReadMostly,random,7.361,15.334,2.083,0.046,7.311,0.200,15.114,436588,458112,pattern
direct,2,4,8388608,true,plain,ReadMostly,range,9.343,10.434,1.117,0.035,9.296,0.160,10.263,436588,458112,pattern
after,3,4,8388608,false,plain,Interactive,stream,8.370,21.970,2.625,0.045,8.320,0.177,21.775,33554878,33908096,pattern
after,3,4,8388608,false,plain,Interactive,random,8.626,30.112,3.491,0.047,8.575,0.167,29.921,33554878,33908096,pattern
after,3,4,8388608,false,plain,Interactive,range,0.102,0.908,8.901,0.033,0.067,0.135,0.763,33554878,33908096,pattern
after,3,4,8388608,false,plain,ReadMostly,stream,8.559,22.025,2.573,0.047,8.504,0.173,21.829,33554878,33908096,pattern
after,3,4,8388608,false,plain,ReadMostly,random,8.450,30.127,3.565,0.047,8.398,0.167,29.937,33554878,33908096,pattern
after,3,4,8388608,false,plain,ReadMostly,range,0.111,0.912,8.240,0.036,0.071,0.143,0.758,33554878,33908096,pattern
after,3,4,8388608,true,plain,Interactive,stream,7.262,11.963,1.647,0.046,7.212,0.197,11.740,436588,458112,pattern
after,3,4,8388608,true,plain,Interactive,random,7.324,15.382,2.100,0.049,7.273,0.194,15.166,436588,458112,pattern
after,3,4,8388608,true,plain,Interactive,range,9.308,10.471,1.125,0.036,9.270,0.165,10.297,436588,458112,pattern
after,3,4,8388608,true,plain,ReadMostly,stream,7.317,11.835,1.617,0.046,7.266,0.194,11.610,436588,458112,pattern
after,3,4,8388608,true,plain,ReadMostly,random,7.320,15.434,2.108,0.047,7.268,0.193,15.214,436588,458112,pattern
after,3,4,8388608,true,plain,ReadMostly,range,9.348,10.514,1.125,0.036,9.301,0.167,10.337,436588,458112,pattern
