pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,write,encrypted,false,8388608,random,1,0.000,0.000,64039.221,8685952
0,0,main,write,encrypted,false,8388608,random,2,0.000,0.000,62642.339,8685952
0,0,main,write,encrypted,false,8388608,random,3,0.000,0.000,61635.814,8685952
0,0,main,write,encrypted,false,8388608,random,4,0.000,0.000,60982.529,8685952
0,0,main,write,encrypted,false,8388608,random,5,0.000,0.000,74955.697,8685952
0,1,branch,write,encrypted,false,8388608,random,1,0.000,0.000,61836.328,8685952
0,1,branch,write,encrypted,false,8388608,random,2,0.000,0.000,59115.635,8685952
0,1,branch,write,encrypted,false,8388608,random,3,0.000,0.000,1041742.520,8685952
0,1,branch,write,encrypted,false,8388608,random,4,0.000,0.000,121004.513,8685952
0,1,branch,write,encrypted,false,8388608,random,5,0.000,0.000,71799.231,8685952
0,2,branch,write,encrypted,false,8388608,random,1,0.000,0.000,63557.148,8685952
0,2,branch,write,encrypted,false,8388608,random,2,0.000,0.000,60203.430,8685952
0,2,branch,write,encrypted,false,8388608,random,3,0.000,0.000,77875.493,8685952
0,2,branch,write,encrypted,false,8388608,random,4,0.000,0.000,66256.141,8685952
0,2,branch,write,encrypted,false,8388608,random,5,0.000,0.000,60236.840,8685952
0,3,main,write,encrypted,false,8388608,random,1,0.000,0.000,64713.854,8685952
0,3,main,write,encrypted,false,8388608,random,2,0.000,0.000,79016.299,8685952
0,3,main,write,encrypted,false,8388608,random,3,0.000,0.000,61962.170,8685952
0,3,main,write,encrypted,false,8388608,random,4,0.000,0.000,62190.055,8685952
0,3,main,write,encrypted,false,8388608,random,5,0.000,0.000,61761.755,8685952
1,0,branch,write,encrypted,false,8388608,random,1,0.000,0.000,60867.884,8685952
1,0,branch,write,encrypted,false,8388608,random,2,0.000,0.000,68151.075,8685952
1,0,branch,write,encrypted,false,8388608,random,3,0.000,0.000,59316.598,8685952
1,0,branch,write,encrypted,false,8388608,random,4,0.000,0.000,59265.296,8685952
1,0,branch,write,encrypted,false,8388608,random,5,0.000,0.000,57794.932,8685952
1,1,main,write,encrypted,false,8388608,random,1,0.000,0.000,1044687.094,8685952
1,1,main,write,encrypted,false,8388608,random,2,0.000,0.000,126205.630,8685952
1,1,main,write,encrypted,false,8388608,random,3,0.000,0.000,76441.836,8685952
1,1,main,write,encrypted,false,8388608,random,4,0.000,0.000,70435.656,8685952
1,1,main,write,encrypted,false,8388608,random,5,0.000,0.000,66302.770,8685952
1,2,main,write,encrypted,false,8388608,random,1,0.000,0.000,83250.185,8685952
1,2,main,write,encrypted,false,8388608,random,2,0.000,0.000,64404.215,8685952
1,2,main,write,encrypted,false,8388608,random,3,0.000,0.000,58220.530,8685952
1,2,main,write,encrypted,false,8388608,random,4,0.000,0.000,225559.248,8685952
1,2,main,write,encrypted,false,8388608,random,5,0.000,0.000,183555.487,8685952
1,3,branch,write,encrypted,false,8388608,random,1,0.000,0.000,62980.042,8685952
1,3,branch,write,encrypted,false,8388608,random,2,0.000,0.000,59125.531,8685952
1,3,branch,write,encrypted,false,8388608,random,3,0.000,0.000,59450.128,8685952
1,3,branch,write,encrypted,false,8388608,random,4,0.000,0.000,58721.701,8685952
1,3,branch,write,encrypted,false,8388608,random,5,0.000,0.000,74161.262,8685952
2,0,main,write,encrypted,false,8388608,random,1,0.000,0.000,63896.412,8685952
2,0,main,write,encrypted,false,8388608,random,2,0.000,0.000,61852.124,8685952
2,0,main,write,encrypted,false,8388608,random,3,0.000,0.000,58157.038,8685952
2,0,main,write,encrypted,false,8388608,random,4,0.000,0.000,61265.050,8685952
2,0,main,write,encrypted,false,8388608,random,5,0.000,0.000,77732.495,8685952
2,1,branch,write,encrypted,false,8388608,random,1,0.000,0.000,60018.091,8685952
2,1,branch,write,encrypted,false,8388608,random,2,0.000,0.000,57942.672,8685952
2,1,branch,write,encrypted,false,8388608,random,3,0.000,0.000,57450.890,8685952
2,1,branch,write,encrypted,false,8388608,random,4,0.000,0.000,74758.794,8685952
2,1,branch,write,encrypted,false,8388608,random,5,0.000,0.000,64601.238,8685952
2,2,branch,write,encrypted,false,8388608,random,1,0.000,0.000,61240.748,8685952
2,2,branch,write,encrypted,false,8388608,random,2,0.000,0.000,58457.064,8685952
2,2,branch,write,encrypted,false,8388608,random,3,0.000,0.000,57442.651,8685952
2,2,branch,write,encrypted,false,8388608,random,4,0.000,0.000,1016603.168,8685952
2,2,branch,write,encrypted,false,8388608,random,5,0.000,0.000,112779.930,8685952
2,3,main,write,encrypted,false,8388608,random,1,0.000,0.000,66076.429,8685952
2,3,main,write,encrypted,false,8388608,random,2,0.000,0.000,62131.148,8685952
2,3,main,write,encrypted,false,8388608,random,3,0.000,0.000,61683.387,8685952
2,3,main,write,encrypted,false,8388608,random,4,0.000,0.000,80049.235,8685952
2,3,main,write,encrypted,false,8388608,random,5,0.000,0.000,66349.286,8685952
3,0,branch,write,encrypted,false,8388608,random,1,0.000,0.000,61565.385,8685952
3,0,branch,write,encrypted,false,8388608,random,2,0.000,0.000,58031.972,8685952
3,0,branch,write,encrypted,false,8388608,random,3,0.000,0.000,74657.450,8685952
3,0,branch,write,encrypted,false,8388608,random,4,0.000,0.000,65580.598,8685952
3,0,branch,write,encrypted,false,8388608,random,5,0.000,0.000,57595.291,8685952
3,1,main,write,encrypted,false,8388608,random,1,0.000,0.000,63745.595,8685952
3,1,main,write,encrypted,false,8388608,random,2,0.000,0.000,1036851.566,8685952
3,1,main,write,encrypted,false,8388608,random,3,0.000,0.000,129502.645,8685952
3,1,main,write,encrypted,false,8388608,random,4,0.000,0.000,72763.104,8685952
3,1,main,write,encrypted,false,8388608,random,5,0.000,0.000,68397.072,8685952
3,2,main,write,encrypted,false,8388608,random,1,0.000,0.000,65624.618,8685952
3,2,main,write,encrypted,false,8388608,random,2,0.000,0.000,80306.909,8685952
3,2,main,write,encrypted,false,8388608,random,3,0.000,0.000,62852.862,8685952
3,2,main,write,encrypted,false,8388608,random,4,0.000,0.000,63300.542,8685952
3,2,main,write,encrypted,false,8388608,random,5,0.000,0.000,62687.908,8685952
3,3,branch,write,encrypted,false,8388608,random,1,0.000,0.000,77917.253,8685952
3,3,branch,write,encrypted,false,8388608,random,2,0.000,0.000,57902.027,8685952
3,3,branch,write,encrypted,false,8388608,random,3,0.000,0.000,57197.591,8685952
3,3,branch,write,encrypted,false,8388608,random,4,0.000,0.000,58718.656,8685952
3,3,branch,write,encrypted,false,8388608,random,5,0.000,0.000,57973.309,8685952
4,0,main,write,encrypted,false,8388608,random,1,0.000,0.000,80979.254,8685952
4,0,main,write,encrypted,false,8388608,random,2,0.000,0.000,66042.946,8685952
4,0,main,write,encrypted,false,8388608,random,3,0.000,0.000,61641.724,8685952
4,0,main,write,encrypted,false,8388608,random,4,0.000,0.000,62045.043,8685952
4,0,main,write,encrypted,false,8388608,random,5,0.000,0.000,62235.637,8685952
4,1,branch,write,encrypted,false,8388608,random,1,0.000,0.000,121312.209,8685952
4,1,branch,write,encrypted,false,8388608,random,2,0.000,0.000,71203.985,8685952
4,1,branch,write,encrypted,false,8388608,random,3,0.000,0.000,434816.592,8685952
4,1,branch,write,encrypted,false,8388608,random,4,0.000,0.000,77727.095,8685952
4,1,branch,write,encrypted,false,8388608,random,5,0.000,0.000,75882.263,8685952
4,2,branch,write,encrypted,false,8388608,random,1,0.000,0.000,61247.173,8685952
4,2,branch,write,encrypted,false,8388608,random,2,0.000,0.000,57307.061,8685952
4,2,branch,write,encrypted,false,8388608,random,3,0.000,0.000,57490.485,8685952
4,2,branch,write,encrypted,false,8388608,random,4,0.000,0.000,57946.916,8685952
4,2,branch,write,encrypted,false,8388608,random,5,0.000,0.000,75116.645,8685952
4,3,main,write,encrypted,false,8388608,random,1,0.000,0.000,64904.486,8685952
4,3,main,write,encrypted,false,8388608,random,2,0.000,0.000,61379.565,8685952
4,3,main,write,encrypted,false,8388608,random,3,0.000,0.000,57656.078,8685952
4,3,main,write,encrypted,false,8388608,random,4,0.000,0.000,79406.923,8685952
