pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,38435.244,326016
0,0,main,write,encrypted,true,8388608,pattern,1,0.000,0.000,33511.159,315776
0,0,main,write,plain,true,8388608,pattern,1,0.000,0.000,39590.029,315776
0,0,main,write,signed,false,8388608,pattern,1,0.000,0.000,67083.519,8692096
0,0,main,write,signed,true,8388608,pattern,1,0.000,0.000,41746.136,326016
0,0,main,write,plain,false,8388608,pattern,1,0.000,0.000,45738.769,8677760
0,0,main,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,63726.345,8700288
0,0,main,write,encrypted,false,8388608,pattern,1,0.000,0.000,62491.849,8685952
0,0,main,write,encrypted,true,8388608,pattern,2,0.000,0.000,34862.586,315776
0,0,main,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,41096.268,326016
0,0,main,write,plain,true,8388608,pattern,2,0.000,0.000,34211.578,315776
0,0,main,write,plain,false,8388608,pattern,2,0.000,0.000,52653.540,8677760
0,0,main,write,signed,false,8388608,pattern,2,0.000,0.000,55847.912,8692096
0,0,main,write,encrypted,false,8388608,pattern,2,0.000,0.000,77963.762,8685952
0,0,main,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,69812.455,8700288
0,0,main,write,signed,true,8388608,pattern,2,0.000,0.000,42351.395,326016
0,1,branch,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,119495.516,326016
0,1,branch,write,encrypted,true,8388608,pattern,1,0.000,0.000,176500.043,315776
0,1,branch,write,plain,true,8388608,pattern,1,0.000,0.000,94706.991,315776
0,1,branch,write,signed,false,8388608,pattern,1,0.000,0.000,55078.492,8692096
0,1,branch,write,signed,true,8388608,pattern,1,0.000,0.000,43308.448,326016
0,1,branch,write,plain,false,8388608,pattern,1,0.000,0.000,38184.650,8677760
0,1,branch,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,76326.971,8700288
0,1,branch,write,encrypted,false,8388608,pattern,1,0.000,0.000,62618.101,8685952
0,1,branch,write,encrypted,true,8388608,pattern,2,0.000,0.000,36354.946,315776
0,1,branch,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,41792.068,326016
0,1,branch,write,plain,true,8388608,pattern,2,0.000,0.000,37888.217,315776
0,1,branch,write,plain,false,8388608,pattern,2,0.000,0.000,49858.743,8677760
0,1,branch,write,signed,false,8388608,pattern,2,0.000,0.000,62447.169,8692096
0,1,branch,write,encrypted,false,8388608,pattern,2,0.000,0.000,58746.820,8685952
0,1,branch,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,61845.450,8700288
0,1,branch,write,signed,true,8388608,pattern,2,0.000,0.000,44134.608,326016
0,2,branch,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,43784.424,326016
0,2,branch,write,encrypted,true,8388608,pattern,1,0.000,0.000,38795.319,315776
0,2,branch,write,plain,true,8388608,pattern,1,0.000,0.000,40764.935,315776
0,2,branch,write,signed,false,8388608,pattern,1,0.000,0.000,61504.156,8692096
0,2,branch,write,signed,true,8388608,pattern,1,0.000,0.000,41974.090,326016
0,2,branch,write,plain,false,8388608,pattern,1,0.000,0.000,41083.328,8677760
0,2,branch,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,61011.750,8700288
0,2,branch,write,encrypted,false,8388608,pattern,1,0.000,0.000,59051.204,8685952
0,2,branch,write,encrypted,true,8388608,pattern,2,0.000,0.000,31944.538,315776
0,2,branch,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,37731.715,326016
0,2,branch,write,plain,true,8388608,pattern,2,0.000,0.000,40359.019,315776
0,2,branch,write,plain,false,8388608,pattern,2,0.000,0.000,49874.354,8677760
0,2,branch,write,signed,false,8388608,pattern,2,0.000,0.000,59253.546,8692096
0,2,branch,write,encrypted,false,8388608,pattern,2,0.000,0.000,57726.686,8685952
0,2,branch,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,78027.823,8700288
0,2,branch,write,signed,true,8388608,pattern,2,0.000,0.000,49420.438,326016
0,3,main,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,36559.520,326016
0,3,main,write,encrypted,true,8388608,pattern,1,0.000,0.000,33737.932,315776
0,3,main,write,plain,true,8388608,pattern,1,0.000,0.000,35905.000,315776
0,3,main,write,signed,false,8388608,pattern,1,0.000,0.000,62689.162,8692096
0,3,main,write,signed,true,8388608,pattern,1,0.000,0.000,41761.698,326016
0,3,main,write,plain,false,8388608,pattern,1,0.000,0.000,46483.580,8677760
0,3,main,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,65982.555,8700288
0,3,main,write,encrypted,false,8388608,pattern,1,0.000,0.000,63995.889,8685952
0,3,main,write,encrypted,true,8388608,pattern,2,0.000,0.000,33422.548,315776
