pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,write,plain,true,8388608,random,1,0.000,0.000,128281.146,8677760
0,0,main,write,plain,true,8388608,random,2,0.000,0.000,69351.239,8677760
0,0,main,write,plain,true,8388608,random,3,0.000,0.000,64409.744,8677760
0,0,main,write,plain,true,8388608,random,4,0.000,0.000,64047.857,8677760
0,0,main,write,plain,true,8388608,random,5,0.000,0.000,67018.729,8677760
0,1,branch,write,plain,true,8388608,random,1,0.000,0.000,65290.293,8677760
0,1,branch,write,plain,true,8388608,random,2,0.000,0.000,56565.896,8677760
0,1,branch,write,plain,true,8388608,random,3,0.000,0.000,61507.032,8677760
0,1,branch,write,plain,true,8388608,random,4,0.000,0.000,61004.171,8677760
0,1,branch,write,plain,true,8388608,random,5,0.000,0.000,77578.485,8677760
0,2,branch,write,plain,true,8388608,random,1,0.000,0.000,51077.099,8677760
0,2,branch,write,plain,true,8388608,random,2,0.000,0.000,51019.408,8677760
0,2,branch,write,plain,true,8388608,random,3,0.000,0.000,58222.892,8677760
0,2,branch,write,plain,true,8388608,random,4,0.000,0.000,60051.510,8677760
0,2,branch,write,plain,true,8388608,random,5,0.000,0.000,75685.814,8677760
0,3,main,write,plain,true,8388608,random,1,0.000,0.000,58862.285,8677760
0,3,main,write,plain,true,8388608,random,2,0.000,0.000,60348.036,8677760
0,3,main,write,plain,true,8388608,random,3,0.000,0.000,61686.005,8677760
0,3,main,write,plain,true,8388608,random,4,0.000,0.000,1041829.112,8677760
0,3,main,write,plain,true,8388608,random,5,0.000,0.000,127217.110,8677760
1,0,branch,write,plain,true,8388608,random,1,0.000,0.000,49521.435,8677760
1,0,branch,write,plain,true,8388608,random,2,0.000,0.000,50836.183,8677760
1,0,branch,write,plain,true,8388608,random,3,0.000,0.000,56842.671,8677760
1,0,branch,write,plain,true,8388608,random,4,0.000,0.000,71438.343,8677760
1,0,branch,write,plain,true,8388608,random,5,0.000,0.000,61797.066,8677760
1,1,main,write,plain,true,8388608,random,1,0.000,0.000,57104.166,8677760
1,1,main,write,plain,true,8388608,random,2,0.000,0.000,55985.792,8677760
1,1,main,write,plain,true,8388608,random,3,0.000,0.000,72358.601,8677760
1,1,main,write,plain,true,8388608,random,4,0.000,0.000,54792.077,8677760
1,1,main,write,plain,true,8388608,random,5,0.000,0.000,58862.983,8677760
1,2,main,write,plain,true,8388608,random,1,0.000,0.000,58859.123,8677760
1,2,main,write,plain,true,8388608,random,2,0.000,0.000,56118.995,8677760
1,2,main,write,plain,true,8388608,random,3,0.000,0.000,76679.193,8677760
1,2,main,write,plain,true,8388608,random,4,0.000,0.000,60330.895,8677760
1,2,main,write,plain,true,8388608,random,5,0.000,0.000,63841.299,8677760
1,3,branch,write,plain,true,8388608,random,1,0.000,0.000,55914.400,8677760
1,3,branch,write,plain,true,8388608,random,2,0.000,0.000,1321574.466,8677760
1,3,branch,write,plain,true,8388608,random,3,0.000,0.000,116938.298,8677760
1,3,branch,write,plain,true,8388608,random,4,0.000,0.000,61007.938,8677760
1,3,branch,write,plain,true,8388608,random,5,0.000,0.000,60738.712,8677760
2,0,main,write,plain,true,8388608,random,1,0.000,0.000,58630.507,8677760
2,0,main,write,plain,true,8388608,random,2,0.000,0.000,76005.396,8677760
2,0,main,write,plain,true,8388608,random,3,0.000,0.000,68168.959,8677760
2,0,main,write,plain,true,8388608,random,4,0.000,0.000,68891.305,8677760
2,0,main,write,plain,true,8388608,random,5,0.000,0.000,68293.862,8677760
2,1,branch,write,plain,true,8388608,random,1,0.000,0.000,71344.167,8677760
2,1,branch,write,plain,true,8388608,random,2,0.000,0.000,61331.344,8677760
2,1,branch,write,plain,true,8388608,random,3,0.000,0.000,51385.753,8677760
2,1,branch,write,plain,true,8388608,random,4,0.000,0.000,60786.223,8677760
2,1,branch,write,plain,true,8388608,random,5,0.000,0.000,60739.872,8677760
2,2,branch,write,plain,true,8388608,random,1,0.000,0.000,73115.084,8677760
2,2,branch,write,plain,true,8388608,random,2,0.000,0.000,57814.319,8677760
2,2,branch,write,plain,true,8388608,random,3,0.000,0.000,61575.748,8677760
2,2,branch,write,plain,true,8388608,random,4,0.000,0.000,61096.879,8677760
2,2,branch,write,plain,true,8388608,random,5,0.000,0.000,62538.749,8677760
2,3,main,write,plain,true,8388608,random,1,0.000,0.000,126842.415,8677760
2,3,main,write,plain,true,8388608,random,2,0.000,0.000,69643.610,8677760
2,3,main,write,plain,true,8388608,random,3,0.000,0.000,67774.951,8677760
2,3,main,write,plain,true,8388608,random,4,0.000,0.000,68268.320,8677760
2,3,main,write,plain,true,8388608,random,5,0.000,0.000,65649.935,8677760
3,0,branch,write,plain,true,8388608,random,1,0.000,0.000,61930.115,8677760
3,0,branch,write,plain,true,8388608,random,2,0.000,0.000,57782.847,8677760
3,0,branch,write,plain,true,8388608,random,3,0.000,0.000,61495.596,8677760
3,0,branch,write,plain,true,8388608,random,4,0.000,0.000,63377.086,8677760
3,0,branch,write,plain,true,8388608,random,5,0.000,0.000,80429.898,8677760
3,1,main,write,plain,true,8388608,random,1,0.000,0.000,59107.716,8677760
3,1,main,write,plain,true,8388608,random,2,0.000,0.000,56106.602,8677760
3,1,main,write,plain,true,8388608,random,3,0.000,0.000,60939.364,8677760
3,1,main,write,plain,true,8388608,random,4,0.000,0.000,79281.173,8677760
3,1,main,write,plain,true,8388608,random,5,0.000,0.000,72796.206,8677760
3,2,main,write,plain,true,8388608,random,1,0.000,0.000,59427.431,8677760
3,2,main,write,plain,true,8388608,random,2,0.000,0.000,56580.100,8677760
3,2,main,write,plain,true,8388608,random,3,0.000,0.000,61352.593,8677760
3,2,main,write,plain,true,8388608,random,4,0.000,0.000,1586501.511,8677760
3,2,main,write,plain,true,8388608,random,5,0.000,0.000,128925.295,8677760
3,3,branch,write,plain,true,8388608,random,1,0.000,0.000,379874.528,8677760
3,3,branch,write,plain,true,8388608,random,2,0.000,0.000,113525.278,8677760
3,3,branch,write,plain,true,8388608,random,3,0.000,0.000,62224.990,8677760
