pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,write,encrypted-signed,true,8388608,random,1,0.000,0.000,80481.608,8696192
0,0,main,write,encrypted,true,8388608,random,1,0.000,0.000,61971.249,8685952
0,0,main,write,plain,true,8388608,random,1,0.000,0.000,54099.500,8677760
0,0,main,write,signed,false,8388608,random,1,0.000,0.000,63961.853,8692096
0,0,main,write,signed,true,8388608,random,1,0.000,0.000,65933.726,8688000
0,0,main,write,plain,false,8388608,random,1,0.000,0.000,69760.837,8677760
0,0,main,write,encrypted-signed,false,8388608,random,1,0.000,0.000,71128.781,8700288
0,0,main,write,encrypted,false,8388608,random,1,0.000,0.000,59786.630,8685952
0,0,main,write,encrypted,true,8388608,random,2,0.000,0.000,59707.706,8685952
0,0,main,write,encrypted-signed,true,8388608,random,2,0.000,0.000,63684.933,8696192
0,0,main,write,plain,true,8388608,random,2,0.000,0.000,70839.840,8677760
0,0,main,write,plain,false,8388608,random,2,0.000,0.000,61011.807,8677760
0,0,main,write,signed,false,8388608,random,2,0.000,0.000,74195.856,8692096
0,0,main,write,encrypted,false,8388608,random,2,0.000,0.000,59401.906,8685952
0,0,main,write,encrypted-signed,false,8388608,random,2,0.000,0.000,64093.685,8700288
0,0,main,write,signed,true,8388608,random,2,0.000,0.000,60657.846,8688000
0,1,branch,write,encrypted-signed,true,8388608,random,1,0.000,0.000,60711.825,8696192
0,1,branch,write,encrypted,true,8388608,random,1,0.000,0.000,57248.094,8685952
0,1,branch,write,plain,true,8388608,random,1,0.000,0.000,52269.897,8677760
0,1,branch,write,signed,false,8388608,random,1,0.000,0.000,82312.729,8692096
0,1,branch,write,signed,true,8388608,random,1,0.000,0.000,61518.220,8688000
0,1,branch,write,plain,false,8388608,random,1,0.000,0.000,49307.012,8677760
0,1,branch,write,encrypted-signed,false,8388608,random,1,0.000,0.000,64629.037,8700288
0,1,branch,write,encrypted,false,8388608,random,1,0.000,0.000,56059.235,8685952
0,1,branch,write,encrypted,true,8388608,random,2,0.000,0.000,57986.736,8685952
0,1,branch,write,encrypted-signed,true,8388608,random,2,0.000,0.000,72144.075,8696192
0,1,branch,write,plain,true,8388608,random,2,0.000,0.000,56925.842,8677760
0,1,branch,write,plain,false,8388608,random,2,0.000,0.000,58679.199,8677760
0,1,branch,write,signed,false,8388608,random,2,0.000,0.000,72899.318,8692096
0,1,branch,write,encrypted,false,8388608,random,2,0.000,0.000,250735.140,8685952
0,1,branch,write,encrypted-signed,false,8388608,random,2,0.000,0.000,175614.079,8700288
0,1,branch,write,signed,true,8388608,random,2,0.000,0.000,81747.586,8688000
0,2,branch,write,encrypted-signed,true,8388608,random,1,0.000,0.000,60969.635,8696192
0,2,branch,write,encrypted,true,8388608,random,1,0.000,0.000,79358.116,8685952
0,2,branch,write,plain,true,8388608,random,1,0.000,0.000,50291.528,8677760
0,2,branch,write,signed,false,8388608,random,1,0.000,0.000,68573.546,8692096
0,2,branch,write,signed,true,8388608,random,1,0.000,0.000,62920.037,8688000
0,2,branch,write,plain,false,8388608,random,1,0.000,0.000,50092.231,8677760
0,2,branch,write,encrypted-signed,false,8388608,random,1,0.000,0.000,81470.382,8700288
0,2,branch,write,encrypted,false,8388608,random,1,0.000,0.000,61228.324,8685952
0,2,branch,write,encrypted,true,8388608,random,2,0.000,0.000,56856.845,8685952
0,2,branch,write,encrypted-signed,true,8388608,random,2,0.000,0.000,60338.725,8696192
0,2,branch,write,plain,true,8388608,random,2,0.000,0.000,50535.605,8677760
0,2,branch,write,plain,false,8388608,random,2,0.000,0.000,55305.826,8677760
0,2,branch,write,signed,false,8388608,random,2,0.000,0.000,88105.090,8692096
0,2,branch,write,encrypted,false,8388608,random,2,0.000,0.000,65248.158,8685952
0,2,branch,write,encrypted-signed,false,8388608,random,2,0.000,0.000,63822.313,8700288
0,2,branch,write,signed,true,8388608,random,2,0.000,0.000,63651.328,8688000
0,3,main,write,encrypted-signed,true,8388608,random,1,0.000,0.000,62762.726,8696192
0,3,main,write,encrypted,true,8388608,random,1,0.000,0.000,61847.128,8685952
0,3,main,write,plain,true,8388608,random,1,0.000,0.000,55830.688,8677760
0,3,main,write,signed,false,8388608,random,1,0.000,0.000,68218.728,8692096
0,3,main,write,signed,true,8388608,random,1,0.000,0.000,89191.329,8688000
