pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,padded,stream,encrypted-signed,false,8388608,pattern,1,970.228,18441.618,21430.413,8673664
0,0,padded,whole,plain,true,8388608,pattern,1,255.775,12157.413,12457.869,312704
0,0,padded,whole,signed,true,8388608,pattern,1,7847.934,7412.486,15302.311,322944
0,0,padded,stream-content,signed,false,8388608,pattern,1,15120.778,4900.920,20330.513,8673664
0,0,padded,stream-content,encrypted-signed,true,8388608,pattern,1,969.148,3074.796,4068.145,322944
0,0,padded,whole,encrypted-signed,true,8388608,pattern,1,931.857,7645.500,8617.148,322944
0,0,padded,stream-content,plain,true,8388608,pattern,1,237.804,3005.505,3268.060,312704
0,0,padded,stream,signed,true,8388608,pattern,1,7846.144,2947.445,10829.449,322944
0,0,padded,stream,plain,true,8388608,pattern,1,220.174,2992.905,3233.099,312704
0,0,padded,range,signed,true,8388608,pattern,1,7920.635,677.423,8612.738,322944
0,0,padded,whole,plain,false,8388608,pattern,1,181.504,18663.262,20848.783,8659328
0,0,padded,stream,signed,false,8388608,pattern,1,18283.586,4676.106,23226.757,8673664
0,0,padded,range,encrypted-signed,true,8388608,pattern,1,975.557,790.105,1778.402,322944
0,0,padded,stream-content,signed,true,8388608,pattern,1,7786.513,2908.763,10718.816,322944
0,0,padded,stream-content,encrypted,false,8388608,pattern,1,204.054,14474.636,16688.986,8659328
0,0,padded,range,encrypted,false,8388608,pattern,1,220.944,12791.955,14851.883,8659328
0,0,padded,stream-content,encrypted,true,8388608,pattern,1,253.775,4569.683,4848.019,312704
0,0,padded,stream,encrypted-signed,true,8388608,pattern,1,960.527,3889.182,4877.529,322944
0,0,padded,stream-content,encrypted-signed,false,8388608,pattern,1,929.567,16542.034,19497.618,8673664
0,0,padded,whole,signed,false,8388608,pattern,1,19794.183,12836.526,34621.605,8673664
0,0,padded,stream,encrypted,true,8388608,pattern,1,268.265,4086.685,4380.931,312704
0,0,padded,range,encrypted-signed,false,8388608,pattern,1,937.077,10638.575,13414.286,8673664
0,0,padded,stream-content,plain,false,8388608,pattern,1,213.274,14805.192,15351.212,8659328
0,0,padded,stream,plain,false,8388608,pattern,1,197.233,10098.556,10571.004,8659328
0,0,padded,whole,encrypted,false,8388608,pattern,1,212.963,20592.898,23349.458,8659328
