case,metric,padded_us,unpadded_us,paired_change_pct,low95_pct,high95_pct,pairs
encrypted-signed/false/range,open,929.207,926.746,-0.494,-0.828,0.701,15
encrypted-signed/false/range,read,10617.973,10730.176,0.116,-0.494,1.626,15
encrypted-signed/false/range,total,13335.123,13460.127,0.207,-0.729,1.471,15
encrypted-signed/false/stream,open,941.007,919.997,-0.645,-1.174,-0.381,15
encrypted-signed/false/stream,read,16171.717,16737.643,0.053,-0.516,1.061,15
encrypted-signed/false/stream,total,19111.249,19710.217,-0.008,-0.892,1.800,15
encrypted-signed/false/stream-content,open,931.927,928.007,-0.042,-0.650,0.836,15
encrypted-signed/false/stream-content,read,16208.637,16298.367,-0.322,-1.094,0.660,15
encrypted-signed/false/stream-content,total,19163.948,19212.523,0.193,-1.182,0.404,15
encrypted-signed/false/whole,open,938.617,928.747,-0.968,-1.763,0.470,15
encrypted-signed/false/whole,read,23153.904,22714.253,0.388,-0.994,1.027,15
encrypted-signed/false/whole,total,26614.157,26178.796,-0.071,-0.754,0.518,15
encrypted-signed/true/range,open,969.317,948.428,-2.159,-2.846,-1.757,15
encrypted-signed/true/range,read,792.854,800.074,-0.361,-3.892,0.377,15
encrypted-signed/true/range,total,1792.083,1774.942,-1.641,-3.249,-0.662,15
encrypted-signed/true/stream,open,972.697,953.347,-1.788,-2.888,0.132,15
encrypted-signed/true/stream,read,3831.260,3848.580,-0.907,-1.461,0.186,15
encrypted-signed/true/stream,total,4792.438,4829.749,-1.480,-1.596,-0.259,15
encrypted-signed/true/stream-content,open,969.608,950.157,-2.668,-3.253,-1.332,15
encrypted-signed/true/stream-content,read,3076.286,3089.887,0.878,-0.221,1.691,15
encrypted-signed/true/stream-content,total,4088.284,4065.124,0.064,-0.685,1.386,15
encrypted-signed/true/whole,open,956.877,942.507,-1.054,-1.866,0.939,15
encrypted-signed/true/whole,read,9803.798,9820.588,0.028,-0.425,1.648,15
encrypted-signed/true/whole,total,10784.777,10783.028,-0.221,-0.587,1.536,15
encrypted/false/range,open,220.864,213.784,-2.902,-6.152,1.178,15
encrypted/false/range,read,10537.912,10534.190,0.264,-0.161,1.460,15
