pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,range,encrypted,false,8388608,pattern,1,236.524,14565.798,18056.738,8659328
0,0,main,range,encrypted,false,8388608,pattern,2,237.894,14364.195,17842.144,8659328
0,0,main,range,encrypted,false,8388608,pattern,3,237.614,14734.270,18244.580,8659328
0,0,main,range,encrypted,false,8388608,pattern,4,241.274,14717.720,18212.729,8659328
0,0,main,range,encrypted,false,8388608,pattern,5,239.334,14504.017,18157.259,8659328
0,1,branch,range,encrypted,false,8388608,pattern,1,229.704,13158.303,15916.920,8659328
0,1,branch,range,encrypted,false,8388608,pattern,2,246.664,13779.565,16292.697,8659328
0,1,branch,range,encrypted,false,8388608,pattern,3,232.894,13593.881,15882.830,8659328
0,1,branch,range,encrypted,false,8388608,pattern,4,243.695,13439.618,15722.818,8659328
0,1,branch,range,encrypted,false,8388608,pattern,5,234.534,13034.581,15269.389,8659328
0,2,branch,range,encrypted,false,8388608,pattern,1,227.434,13973.787,16453.239,8659328
0,2,branch,range,encrypted,false,8388608,pattern,2,246.334,14124.701,16736.475,8659328
0,2,branch,range,encrypted,false,8388608,pattern,3,288.135,14936.194,17693.381,8659328
0,2,branch,range,encrypted,false,8388608,pattern,4,269.504,15967.912,18896.601,8659328
0,2,branch,range,encrypted,false,8388608,pattern,5,308.245,15379.532,18044.347,8659328
0,3,main,range,encrypted,false,8388608,pattern,1,347.996,18911.992,22565.904,8659328
0,3,main,range,encrypted,false,8388608,pattern,2,255.305,16422.309,21224.361,8659328
0,3,main,range,encrypted,false,8388608,pattern,3,355.666,19696.475,25450.283,8659328
0,3,main,range,encrypted,false,8388608,pattern,4,320.835,19540.853,24391.425,8659328
0,3,main,range,encrypted,false,8388608,pattern,5,364.156,18738.129,23626.432,8659328
1,0,branch,range,encrypted,false,8388608,pattern,1,272.054,15251.959,18029.236,8659328
1,0,branch,range,encrypted,false,8388608,pattern,2,341.606,15948.981,19260.057,8659328
1,0,branch,range,encrypted,false,8388608,pattern,3,302.975,14874.603,17174.482,8659328
1,0,branch,range,encrypted,false,8388608,pattern,4,347.856,18296.051,21894.842,8659328
1,0,branch,range,encrypted,false,8388608,pattern,5,393.327,18261.691,21957.404,8659328
1,1,main,range,encrypted,false,8388608,pattern,1,272.605,16438.699,20253.904,8659328
1,1,main,range,encrypted,false,8388608,pattern,2,316.456,17482.537,21717.080,8659328
1,1,main,range,encrypted,false,8388608,pattern,3,326.115,18854.741,23743.943,8659328
1,1,main,range,encrypted,false,8388608,pattern,4,289.154,17505.518,22459.551,8659328
1,1,main,range,encrypted,false,8388608,pattern,5,401.296,18097.358,22803.227,8659328
1,2,main,range,encrypted,false,8388608,pattern,1,248.594,19224.927,23537.630,8659328
1,2,main,range,encrypted,false,8388608,pattern,2,350.006,18701.608,22552.164,8659328
1,2,main,range,encrypted,false,8388608,pattern,3,297.925,18575.546,22990.141,8659328
1,2,main,range,encrypted,false,8388608,pattern,4,324.546,18694.957,23361.407,8659328
1,2,main,range,encrypted,false,8388608,pattern,5,308.936,18595.906,23694.423,8659328
1,3,branch,range,encrypted,false,8388608,pattern,1,346.976,18835.701,22571.554,8659328
1,3,branch,range,encrypted,false,8388608,pattern,2,378.776,31464.445,34653.639,8659328
1,3,branch,range,encrypted,false,8388608,pattern,3,304.765,17740.352,21011.177,8659328
1,3,branch,range,encrypted,false,8388608,pattern,4,275.445,18076.067,21522.386,8659328
1,3,branch,range,encrypted,false,8388608,pattern,5,334.466,18729.588,22149.406,8659328
2,0,main,range,encrypted,false,8388608,pattern,1,328.465,19262.138,24158.430,8659328
2,0,main,range,encrypted,false,8388608,pattern,2,348.416,20591.550,27248.253,8659328
2,0,main,range,encrypted,false,8388608,pattern,3,395.077,24290.603,29002.883,8659328
2,0,main,range,encrypted,false,8388608,pattern,4,280.355,19966.919,24919.034,8659328
2,0,main,range,encrypted,false,8388608,pattern,5,330.125,19292.198,24353.414,8659328
2,1,branch,range,encrypted,false,8388608,pattern,1,369.246,25619.735,28726.248,8659328
2,1,branch,range,encrypted,false,8388608,pattern,2,312.655,23255.446,26695.634,8659328
2,1,branch,range,encrypted,false,8388608,pattern,3,357.506,19722.976,23358.777,8659328
2,1,branch,range,encrypted,false,8388608,pattern,4,336.236,17789.383,21017.848,8659328
2,1,branch,range,encrypted,false,8388608,pattern,5,302.295,18106.098,21132.929,8659328
2,2,branch,range,encrypted,false,8388608,pattern,1,330.535,20950.656,24372.644,8659328
2,2,branch,range,encrypted,false,8388608,pattern,2,307.135,17470.807,20545.219,8659328
2,2,branch,range,encrypted,false,8388608,pattern,3,345.625,17160.662,20203.833,8659328
2,2,branch,range,encrypted,false,8388608,pattern,4,280.485,16398.379,19347.399,8659328
2,2,branch,range,encrypted,false,8388608,pattern,5,357.576,17616.990,20705.162,8659328
2,3,main,range,encrypted,false,8388608,pattern,1,400.967,19840.657,24554.188,8659328
2,3,main,range,encrypted,false,8388608,pattern,2,339.436,18705.648,23309.756,8659328
2,3,main,range,encrypted,false,8388608,pattern,3,288.745,18828.960,23355.007,8659328
2,3,main,range,encrypted,false,8388608,pattern,4,370.937,23075.302,27197.073,8659328
2,3,main,range,encrypted,false,8388608,pattern,5,285.445,19753.515,24198.901,8659328
3,0,branch,range,encrypted,false,8388608,pattern,1,333.495,17756.222,20824.654,8659328
3,0,branch,range,encrypted,false,8388608,pattern,2,335.716,17270.483,20621.640,8659328
3,0,branch,range,encrypted,false,8388608,pattern,3,335.895,18005.106,21694.498,8659328
3,0,branch,range,encrypted,false,8388608,pattern,4,329.895,17753.212,21064.548,8659328
3,0,branch,range,encrypted,false,8388608,pattern,5,352.546,17529.278,20653.681,8659328
3,1,main,range,encrypted,false,8388608,pattern,1,368.997,18865.060,23762.594,8659328
3,1,main,range,encrypted,false,8388608,pattern,2,342.946,18982.273,25459.873,8659328
3,1,main,range,encrypted,false,8388608,pattern,3,626.441,19014.863,24024.398,8659328
3,1,main,range,encrypted,false,8388608,pattern,4,330.695,19389.980,23897.416,8659328
3,1,main,range,encrypted,false,8388608,pattern,5,364.537,19402.729,24251.593,8659328
3,2,main,range,encrypted,false,8388608,pattern,1,494.198,18824.350,24063.329,8659328
3,2,main,range,encrypted,false,8388608,pattern,2,362.466,18625.207,22942.460,8659328
3,2,main,range,encrypted,false,8388608,pattern,3,376.707,19382.409,23884.446,8659328
3,2,main,range,encrypted,false,8388608,pattern,4,376.337,28608.956,33447.559,8659328
3,2,main,range,encrypted,false,8388608,pattern,5,347.356,19449.981,23496.709,8659328
3,3,branch,range,encrypted,false,8388608,pattern,1,258.995,17973.625,21496.356,8659328
3,3,branch,range,encrypted,false,8388608,pattern,2,361.336,17057.300,20417.847,8659328
3,3,branch,range,encrypted,false,8388608,pattern,3,334.926,16725.304,19665.905,8659328
3,3,branch,range,encrypted,false,8388608,pattern,4,323.525,17300.744,20486.788,8659328
3,3,branch,range,encrypted,false,8388608,pattern,5,307.135,15604.165,18128.548,8659328
4,0,main,range,encrypted,false,8388608,pattern,1,266.895,15396.351,18938.222,8659328
4,0,main,range,encrypted,false,8388608,pattern,2,255.464,14874.733,18392.342,8659328
4,0,main,range,encrypted,false,8388608,pattern,3,260.985,15541.794,19255.428,8659328
4,0,main,range,encrypted,false,8388608,pattern,4,296.635,15015.446,18597.397,8659328
4,0,main,range,encrypted,false,8388608,pattern,5,314.415,16183.655,20087.581,8659328
4,1,branch,range,encrypted,false,8388608,pattern,1,280.045,17475.667,20078.761,8659328
4,1,branch,range,encrypted,false,8388608,pattern,2,300.186,15061.855,17535.158,8659328
4,1,branch,range,encrypted,false,8388608,pattern,3,267.365,14214.962,16745.745,8659328
4,1,branch,range,encrypted,false,8388608,pattern,4,253.014,14124.911,16505.111,8659328
4,1,branch,range,encrypted,false,8388608,pattern,5,256.424,14519.997,16974.098,8659328
4,2,branch,range,encrypted,false,8388608,pattern,1,262.885,14507.776,17079.471,8659328
4,2,branch,range,encrypted,false,8388608,pattern,2,246.134,14834.842,17483.407,8659328
4,2,branch,range,encrypted,false,8388608,pattern,3,285.885,14060.339,16493.040,8659328
4,2,branch,range,encrypted,false,8388608,pattern,4,230.464,13796.684,16163.025,8659328
4,2,branch,range,encrypted,false,8388608,pattern,5,260.454,13812.655,16074.773,8659328
4,3,main,range,encrypted,false,8388608,pattern,1,239.594,15105.977,18623.557,8659328
4,3,main,range,encrypted,false,8388608,pattern,2,260.805,14514.676,18010.096,8659328
4,3,main,range,encrypted,false,8388608,pattern,3,248.685,14364.684,17873.424,8659328
4,3,main,range,encrypted,false,8388608,pattern,4,249.544,14545.137,17978.556,8659328
4,3,main,range,encrypted,false,8388608,pattern,5,250.255,14995.565,18499.015,8659328
5,0,branch,range,encrypted,false,8388608,pattern,1,234.114,13147.423,15285.590,8659328
5,0,branch,range,encrypted,false,8388608,pattern,2,235.864,13263.266,15370.602,8659328
5,0,branch,range,encrypted,false,8388608,pattern,3,249.854,13234.755,15600.085,8659328
5,0,branch,range,encrypted,false,8388608,pattern,4,243.844,13559.620,15810.909,8659328
5,0,branch,range,encrypted,false,8388608,pattern,5,247.055,14201.501,16634.963,8659328
5,1,main,range,encrypted,false,8388608,pattern,1,250.764,14599.568,18091.967,8659328
5,1,main,range,encrypted,false,8388608,pattern,2,245.574,14916.134,18541.225,8659328
5,1,main,range,encrypted,false,8388608,pattern,3,278.725,14836.122,18327.202,8659328
5,1,main,range,encrypted,false,8388608,pattern,4,244.384,14772.711,18284.821,8659328
5,1,main,range,encrypted,false,8388608,pattern,5,262.695,14447.585,17969.196,8659328
