pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,stream,encrypted-signed,false,8388608,pattern,1,1009.798,20230.110,24966.812,8673664
0,0,main,whole,plain,true,8388608,pattern,1,239.724,14010.412,14300.357,312704
0,0,main,whole,signed,true,8388608,pattern,1,7796.655,9272.760,17126.456,322944
0,0,main,stream-content,signed,false,8388608,pattern,1,14950.578,4829.433,21851.977,8673664
0,0,main,stream-content,encrypted-signed,true,8388608,pattern,1,975.747,3024.262,4034.340,322944
0,0,main,whole,encrypted-signed,true,8388608,pattern,1,924.046,9447.714,10423.840,322944
0,0,main,stream-content,plain,true,8388608,pattern,1,244.154,2902.311,3173.355,312704
0,0,main,stream,signed,true,8388608,pattern,1,7749.514,4827.243,12614.398,322944
0,0,main,stream,plain,true,8388608,pattern,1,218.134,4916.265,5166.460,312704
0,0,main,range,signed,true,8388608,pattern,1,7754.514,1149.950,8929.304,322944
0,0,main,whole,plain,false,8388608,pattern,1,180.243,20281.430,24390.981,8659328
0,0,main,stream,signed,false,8388608,pattern,1,19462.097,4650.990,26186.663,8673664
0,0,main,range,encrypted-signed,true,8388608,pattern,1,971.126,1262.902,2259.088,322944
0,0,main,stream-content,signed,true,8388608,pattern,1,7711.523,2908.980,10651.404,322944
0,0,main,stream-content,encrypted,false,8388608,pattern,1,198.594,15996.186,19914.985,8659328
0,0,main,range,encrypted,false,8388608,pattern,1,220.634,14048.033,17438.272,8659328
0,0,main,stream-content,encrypted,true,8388608,pattern,1,248.765,4489.917,4774.153,312704
0,0,main,stream,encrypted-signed,true,8388608,pattern,1,957.647,6604.134,7604.902,322944
0,0,main,stream-content,encrypted-signed,false,8388608,pattern,1,928.986,17320.299,21958.509,8673664
0,0,main,whole,signed,false,8388608,pattern,1,19411.635,14441.580,37422.327,8673664
0,0,main,stream,encrypted,true,8388608,pattern,1,261.014,6770.297,7070.632,312704
0,0,main,range,encrypted-signed,false,8388608,pattern,1,943.706,11513.949,15632.870,8673664
0,0,main,stream-content,plain,false,8388608,pattern,1,224.984,14876.547,17234.088,8659328
0,0,main,stream,plain,false,8388608,pattern,1,218.654,10241.397,12515.546,8659328
0,0,main,whole,encrypted,false,8388608,pattern,1,209.834,26349.245,31087.697,8659328
0,0,main,range,plain,true,8388608,pattern,1,256.594,2692.387,2974.411,312704
0,0,main,stream,encrypted,false,8388608,pattern,1,185.743,18678.573,22534.869,8659328
0,0,main,range,plain,false,8388608,pattern,1,214.924,9362.372,11128.362,8659328
0,0,main,range,encrypted,true,8388608,pattern,1,242.754,1259.752,1523.626,312704
0,0,main,whole,encrypted-signed,false,8388608,pattern,1,913.555,25774.096,31159.508,8673664
0,0,main,whole,encrypted,true,8388608,pattern,1,259.514,13982.562,14299.717,312704
0,0,main,range,signed,false,8388608,pattern,1,14979.819,1027.258,18061.132,8673664
0,0,main,whole,signed,true,8388608,pattern,2,7785.404,9225.790,17057.664,322944
0,0,main,stream,plain,false,8388608,pattern,2,217.334,9996.413,12267.662,8659328
0,0,main,whole,encrypted,true,8388608,pattern,2,228.914,9243.610,9513.414,312704
0,0,main,whole,encrypted,false,8388608,pattern,2,223.214,25813.676,30498.197,8659328
0,0,main,whole,encrypted-signed,false,8388608,pattern,2,961.066,30112.071,35605.235,8673664
0,0,main,whole,encrypted-signed,true,8388608,pattern,2,988.887,14495.191,15535.018,322944
0,0,main,stream,signed,false,8388608,pattern,2,15508.288,4663.381,22251.865,8673664
0,0,main,whole,signed,false,8388608,pattern,2,15098.480,14492.991,33162.763,8673664
0,0,main,range,plain,false,8388608,pattern,2,235.555,8062.059,9843.130,8659328
0,0,main,stream-content,encrypted,true,8388608,pattern,2,230.194,3064.133,3328.308,312704
0,0,main,stream,signed,true,8388608,pattern,2,7808.855,4860.414,12711.470,322944
0,0,main,range,encrypted-signed,false,8388608,pattern,2,928.596,9795.179,13923.260,8673664
0,0,main,stream,encrypted-signed,true,8388608,pattern,2,980.417,8059.069,9080.747,322944
0,0,main,range,encrypted,true,8388608,pattern,2,233.734,1214.021,1468.035,312704
0,0,main,stream,encrypted-signed,false,8388608,pattern,2,908.626,17277.559,21897.949,8673664
0,0,main,stream-content,signed,true,8388608,pattern,2,9267.020,2889.000,12197.020,322944
0,0,main,whole,plain,true,8388608,pattern,2,227.194,12496.046,12775.601,312704
0,0,main,range,encrypted,false,8388608,pattern,2,237.394,9646.056,13049.905,8659328
0,0,main,stream,encrypted,true,8388608,pattern,2,248.344,8034.529,8324.084,312704
0,0,main,stream,encrypted,false,8388608,pattern,2,215.884,17165.977,21103.545,8659328
0,0,main,range,signed,false,8388608,pattern,2,20486.324,1062.548,24410.432,8673664
0,0,main,stream-content,encrypted-signed,true,8388608,pattern,2,1384.724,4179.332,5623.337,322944
0,0,main,range,signed,true,8388608,pattern,2,9422.723,1569.257,11051.041,322944
0,0,main,stream-content,encrypted,false,8388608,pattern,2,270.884,18760.125,23738.400,8659328
0,0,main,whole,plain,false,8388608,pattern,2,218.933,24608.436,28736.126,8659328
0,0,main,stream-content,plain,false,8388608,pattern,2,233.164,14659.584,16963.403,8659328
0,0,main,stream-content,encrypted-signed,false,8388608,pattern,2,974.727,15929.165,20700.048,8673664
0,0,main,stream,plain,true,8388608,pattern,2,252.894,8126.570,8423.165,312704
0,0,main,stream-content,signed,false,8388608,pattern,2,16479.595,4831.393,23391.464,8673664
0,0,main,stream-content,plain,true,8388608,pattern,2,240.044,2987.032,3258.736,312704
0,0,main,range,plain,true,8388608,pattern,2,210.654,1185.170,1415.804,312704
0,0,main,range,encrypted-signed,true,8388608,pattern,2,926.596,1203.351,2154.027,322944
0,1,branch,stream,encrypted-signed,false,8388608,pattern,1,968.427,18114.333,21037.414,8673664
0,1,branch,whole,plain,true,8388608,pattern,1,229.114,11936.897,12207.381,312704
