case,metric,main_us,branch_us,paired_change_pct,low95_pct,high95_pct,pairs
encrypted-signed/false/range,open,951.376,980.366,2.633,1.599,4.373,15
encrypted-signed/false/range,read,11225.284,10601.652,-8.773,-12.128,-5.609,15
encrypted-signed/false/range,total,15306.244,13447.052,-13.608,-16.809,-12.789,15
encrypted-signed/false/stream,open,962.526,993.587,3.378,1.715,4.167,15
encrypted-signed/false/stream,read,19044.957,17156.414,-9.786,-10.600,-9.017,15
encrypted-signed/false/stream,total,24314.868,20318.759,-14.886,-16.501,-14.129,15
encrypted-signed/false/stream-content,open,948.266,977.157,2.288,0.605,5.390,15
encrypted-signed/false/stream-content,read,18153.691,16639.785,-9.333,-9.897,-8.725,15
encrypted-signed/false/stream-content,total,22892.723,19661.288,-14.399,-15.283,-14.071,15
encrypted-signed/false/whole,open,962.417,990.357,2.692,1.527,3.845,15
encrypted-signed/false/whole,read,29100.380,23941.991,-16.631,-19.623,-15.804,15
encrypted-signed/false/whole,total,34827.738,27590.556,-19.962,-22.890,-19.032,15
encrypted-signed/true/range,open,989.927,1010.377,2.568,1.920,3.550,15
encrypted-signed/true/range,read,1385.414,818.634,-20.020,-39.059,-16.900,15
encrypted-signed/true/range,total,2474.063,1894.072,-17.152,-21.751,-11.976,15
encrypted-signed/true/stream,open,986.277,1014.067,1.614,-0.377,3.309,15
encrypted-signed/true/stream,read,6649.314,3906.797,-37.370,-42.687,-30.558,15
encrypted-signed/true/stream,total,7618.561,4904.174,-30.815,-37.197,-26.570,15
encrypted-signed/true/stream-content,open,986.617,1012.067,2.132,0.458,4.164,15
encrypted-signed/true/stream-content,read,3153.764,3073.082,-2.145,-4.877,-0.021,15
encrypted-signed/true/stream-content,total,4205.062,4116.911,-1.762,-3.133,-0.694,15
encrypted-signed/true/whole,open,1002.577,1010.887,1.720,-0.412,3.086,15
encrypted-signed/true/whole,read,11992.376,10118.735,-15.143,-23.612,-12.389,15
encrypted-signed/true/whole,total,13017.854,11134.391,-14.344,-21.922,-11.404,15
encrypted/false/range,open,237.394,231.754,-2.433,-4.427,5.223,15
encrypted/false/range,read,11725.442,10706.394,-9.925,-12.006,-7.886,15
encrypted/false/range,total,15350.093,12801.810,-16.673,-17.881,-14.649,15
encrypted/false/stream,open,230.594,223.264,-4.771,-6.905,-1.962,15
encrypted/false/stream,read,17370.658,15812.323,-9.421,-10.108,-6.790,15
encrypted/false/stream,total,21500.081,18002.171,-15.219,-16.193,-12.605,15
encrypted/false/stream-content,open,232.174,223.513,-4.362,-11.147,-1.396,15
encrypted/false/stream-content,read,17515.462,15775.530,-8.884,-10.780,-7.142,15
encrypted/false/stream-content,total,21540.391,18188.752,-14.515,-16.422,-14.169,15
encrypted/false/whole,open,231.604,227.594,-4.208,-7.403,-0.950,15
encrypted/false/whole,read,29177.771,24357.629,-17.328,-19.059,-15.359,15
encrypted/false/whole,total,33832.571,27231.809,-21.045,-22.329,-18.640,15
encrypted/true/range,open,252.354,244.124,-4.757,-5.895,-0.693,15
encrypted/true/range,read,1294.262,792.734,-38.707,-39.319,-19.924,15
encrypted/true/range,total,1573.047,1055.558,-31.822,-34.775,-19.083,15
encrypted/true/stream,open,253.384,255.495,-2.114,-6.962,-0.168,15
encrypted/true/stream,read,6806.427,3966.518,-34.660,-39.473,-30.291,15
encrypted/true/stream,total,7070.632,4240.684,-33.544,-38.170,-29.269,15
encrypted/true/stream-content,open,257.214,247.295,-1.475,-4.524,1.194,15
encrypted/true/stream-content,read,3168.325,3114.043,-0.649,-2.372,0.385,15
encrypted/true/stream-content,total,3460.289,3395.179,-1.200,-2.627,0.177,15
encrypted/true/whole,open,264.224,252.125,-2.497,-3.709,1.145,15
encrypted/true/whole,read,13962.691,11694.912,-14.177,-18.130,-11.608,15
encrypted/true/whole,total,14267.556,11937.036,-14.015,-17.864,-11.872,15
plain/false/range,open,220.994,209.424,-3.620,-10.301,-1.134,15
plain/false/range,read,7953.467,8055.019,0.765,-1.543,2.599,15
plain/false/range,total,9717.486,8448.986,-13.415,-16.847,-12.136,15
plain/false/stream,open,207.754,208.264,-4.157,-7.373,0.145,15
plain/false/stream,read,11331.744,11554.138,0.234,-0.961,2.607,15
plain/false/stream,total,13691.396,12565.515,-11.382,-14.244,-10.435,15
plain/false/stream-content,open,222.933,211.944,-4.306,-8.273,-3.175,15
plain/false/stream-content,read,11954.625,12510.814,0.175,-1.015,6.421,15
plain/false/stream-content,total,14469.488,13250.667,-10.707,-13.143,-7.255,15
plain/false/whole,open,221.943,215.744,-4.866,-5.649,1.510,15
plain/false/whole,read,23556.625,21933.756,-8.428,-8.779,-5.428,15
plain/false/whole,total,27662.515,24278.506,-13.986,-14.645,-11.505,15
plain/true/range,open,243.284,234.374,-2.645,-6.021,-1.143,15
plain/true/range,read,1298.972,814.084,-19.766,-39.442,-17.118,15
plain/true/range,total,1554.917,1080.088,-18.509,-31.458,-16.005,15
plain/true/stream,open,242.354,237.564,-3.852,-6.252,-1.101,15
plain/true/stream,read,5917.542,3559.022,-35.777,-39.328,-27.992,15
plain/true/stream,total,6178.056,3860.186,-33.962,-38.319,-27.250,15
plain/true/stream-content,open,233.824,234.314,-0.463,-3.366,0.593,15
plain/true/stream-content,read,3144.064,3102.803,-2.060,-5.207,-0.224,15
plain/true/stream-content,total,3404.819,3354.388,-2.300,-5.479,-0.577,15
plain/true/whole,open,241.304,232.764,-5.100,-8.703,-1.105,15
plain/true/whole,read,12440.314,9094.486,-19.485,-24.440,-14.313,15
plain/true/whole,total,12701.729,9398.861,-18.992,-23.987,-14.164,15
signed/false/range,open,16880.919,16478.994,0.169,0.017,1.626,15
signed/false/range,read,1036.388,1036.017,0.280,-0.931,0.601,15
signed/false/range,total,20421.681,18091.890,-8.091,-8.491,-5.909,15
signed/false/stream,open,18907.366,18198.474,-0.388,-4.073,0.615,15
signed/false/stream,read,4696.571,4711.771,-0.882,-1.655,0.778,15
signed/false/stream,total,25875.813,23289.249,-7.756,-10.516,-6.719,15
signed/false/stream-content,open,17003.391,17992.589,-0.158,-2.649,3.305,15
signed/false/stream-content,read,4908.064,4918.124,-0.001,-2.637,1.635,15
signed/false/stream-content,total,24232.345,23105.427,-7.262,-9.179,-4.719,15
signed/false/whole,open,17857.796,18056.581,0.804,0.477,2.865,15
signed/false/whole,read,14601.971,12803.050,-12.904,-13.436,-11.952,15
signed/false/whole,total,36421.947,33126.017,-9.251,-9.536,-7.462,15
signed/true/range,open,9176.819,8158.401,-0.064,-0.899,0.567,15
signed/true/range,read,1157.410,677.521,-41.763,-42.346,-41.184,15
signed/true/range,total,10342.499,8854.852,-4.874,-5.495,-3.888,15
signed/true/stream,open,8026.207,7908.017,-0.043,-0.331,0.744,15
signed/true/stream,read,5236.280,3338.797,-40.198,-41.544,-38.611,15
signed/true/stream,total,13464.301,11308.334,-16.111,-17.612,-15.222,15
signed/true/stream-content,open,7941.836,7964.758,0.340,-0.434,0.951,15
signed/true/stream-content,read,2957.331,2949.720,-0.390,-2.017,1.269,15
signed/true/stream-content,total,10971.379,10991.478,-0.027,-0.458,1.270,15
signed/true/whole,open,7947.297,7940.277,-0.826,-1.982,1.448,15
signed/true/whole,read,10250.615,8321.033,-17.043,-20.595,-14.408,15
signed/true/whole,total,18510.447,16293.470,-9.903,-11.972,-8.813,15
