pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,stream-content,encrypted-signed,false,8388608,pattern,1,1006.207,19280.338,23569.621,8673664
0,0,main,stream-content,encrypted-signed,false,8388608,pattern,2,978.067,18749.429,22973.261,8673664
0,0,main,stream-content,encrypted-signed,false,8388608,pattern,3,984.006,18622.357,22899.839,8673664
0,0,main,stream-content,encrypted-signed,false,8388608,pattern,4,989.857,18809.591,23002.772,8673664
0,0,main,stream-content,encrypted-signed,false,8388608,pattern,5,957.456,18398.714,22565.394,8673664
0,1,branch,stream-content,encrypted-signed,false,8388608,pattern,1,972.837,16683.954,19128.946,8673664
0,1,branch,stream-content,encrypted-signed,false,8388608,pattern,2,1018.127,16552.902,19158.836,8673664
0,1,branch,stream-content,encrypted-signed,false,8388608,pattern,3,1040.517,17034.750,19651.244,8673664
0,1,branch,stream-content,encrypted-signed,false,8388608,pattern,4,988.067,17160.702,19787.547,8673664
0,1,branch,stream-content,encrypted-signed,false,8388608,pattern,5,985.427,16711.254,19178.867,8673664
0,2,branch,stream-content,encrypted-signed,false,8388608,pattern,1,981.237,16623.073,19082.955,8673664
0,2,branch,stream-content,encrypted-signed,false,8388608,pattern,2,976.886,16754.866,19362.799,8673664
0,2,branch,stream-content,encrypted-signed,false,8388608,pattern,3,981.927,16929.118,19463.672,8673664
0,2,branch,stream-content,encrypted-signed,false,8388608,pattern,4,980.086,16964.159,19546.383,8673664
0,2,branch,stream-content,encrypted-signed,false,8388608,pattern,5,1025.708,17276.224,19920.250,8673664
0,3,main,stream-content,encrypted-signed,false,8388608,pattern,1,965.526,18760.400,22968.841,8673664
0,3,main,stream-content,encrypted-signed,false,8388608,pattern,2,952.886,18372.023,22533.214,8673664
0,3,main,stream-content,encrypted-signed,false,8388608,pattern,3,942.176,18266.581,22446.752,8673664
0,3,main,stream-content,encrypted-signed,false,8388608,pattern,4,963.036,18684.498,22859.129,8673664
0,3,main,stream-content,encrypted-signed,false,8388608,pattern,5,955.096,18375.173,22762.957,8673664
1,0,branch,stream-content,encrypted-signed,false,8388608,pattern,1,994.427,17288.554,19937.320,8673664
1,0,branch,stream-content,encrypted-signed,false,8388608,pattern,2,984.326,17638.321,20328.586,8673664
1,0,branch,stream-content,encrypted-signed,false,8388608,pattern,3,1010.217,18823.301,21784.821,8673664
1,0,branch,stream-content,encrypted-signed,false,8388608,pattern,4,1032.927,19566.324,22628.715,8673664
1,0,branch,stream-content,encrypted-signed,false,8388608,pattern,5,1495.676,20230.084,23449.450,8673664
1,1,main,stream-content,encrypted-signed,false,8388608,pattern,1,972.926,19270.158,23615.622,8673664
1,1,main,stream-content,encrypted-signed,false,8388608,pattern,2,983.187,19276.248,23544.041,8673664
1,1,main,stream-content,encrypted-signed,false,8388608,pattern,3,988.546,19526.193,23895.596,8673664
1,1,main,stream-content,encrypted-signed,false,8388608,pattern,4,966.547,19370.190,23577.082,8673664
1,1,main,stream-content,encrypted-signed,false,8388608,pattern,5,956.346,18842.621,23164.274,8673664
1,2,main,stream-content,encrypted-signed,false,8388608,pattern,1,996.787,19719.986,24087.490,8673664
1,2,main,stream-content,encrypted-signed,false,8388608,pattern,2,1002.077,19826.028,24155.691,8673664
1,2,main,stream-content,encrypted-signed,false,8388608,pattern,3,987.837,19687.616,24135.192,8673664
1,2,main,stream-content,encrypted-signed,false,8388608,pattern,4,1082.148,19952.050,24451.636,8673664
1,2,main,stream-content,encrypted-signed,false,8388608,pattern,5,983.947,19399.580,23686.454,8673664
