pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,stream,encrypted-signed,false,128,pattern,1,893.035,33.601,938.466,284032
0,0,main,whole,plain,true,128,pattern,1,181.763,14.150,203.783,269696
0,0,main,whole,signed,true,128,pattern,1,1273.673,1.470,1288.753,279936
0,0,main,stream-content,signed,false,128,pattern,1,1335.264,19.260,1371.094,284032
0,0,main,stream-content,encrypted-signed,true,128,pattern,1,1050.288,37.271,1102.429,279936
0,0,main,whole,encrypted-signed,true,128,pattern,1,1251.552,24.570,1294.832,279936
0,0,main,stream-content,plain,true,128,pattern,1,264.024,36.151,309.445,269696
0,0,main,stream,signed,true,128,pattern,1,1368.323,35.001,1420.374,279936
0,0,main,stream,plain,true,128,pattern,1,214.694,38.170,262.574,269696
0,0,main,range,signed,true,128,pattern,1,1719.320,3.850,1741.830,279936
0,0,main,whole,plain,false,128,pattern,1,217.844,17.160,245.194,269696
0,0,main,stream,signed,false,128,pattern,1,1848.222,35.910,1907.203,284032
0,0,main,range,encrypted-signed,true,128,pattern,1,1067.649,23.211,1111.500,279936
0,0,main,stream-content,signed,true,128,pattern,1,1626.968,20.310,1664.559,279936
0,0,main,stream-content,encrypted,false,128,pattern,1,195.394,35.280,239.234,269696
0,0,main,range,encrypted,false,128,pattern,1,173.973,18.330,200.323,269696
0,0,main,stream-content,encrypted,true,128,pattern,1,195.883,33.531,237.624,269696
0,0,main,stream,encrypted-signed,true,128,pattern,1,994.018,39.100,1048.539,279936
0,0,main,stream-content,encrypted-signed,false,128,pattern,1,1058.228,44.641,1118.289,284032
0,0,main,whole,signed,false,128,pattern,1,1402.004,2.430,1419.395,284032
0,0,main,stream,encrypted,true,128,pattern,1,213.314,43.621,266.555,269696
0,0,main,range,encrypted-signed,false,128,pattern,1,937.437,20.850,973.207,284032
0,0,main,stream-content,plain,false,128,pattern,1,161.112,30.841,199.953,269696
0,0,main,stream,plain,false,128,pattern,1,177.324,35.120,221.424,269696
0,0,main,whole,encrypted,false,128,pattern,1,176.413,17.000,201.363,269696
0,0,main,range,plain,true,128,pattern,1,184.723,14.300,207.063,269696
0,0,main,stream,encrypted,false,128,pattern,1,171.283,33.761,213.224,269696
0,0,main,range,plain,false,128,pattern,1,156.152,19.931,184.383,269696
0,0,main,range,encrypted,true,128,pattern,1,189.003,16.551,213.614,269696
0,0,main,whole,encrypted-signed,false,128,pattern,1,900.356,17.470,930.187,284032
0,0,main,whole,encrypted,true,128,pattern,1,188.073,16.260,212.314,269696
0,0,main,range,signed,false,128,pattern,1,1234.741,1.661,1249.242,284032
0,0,main,whole,signed,true,128,pattern,2,1261.392,1.380,1275.162,279936
0,0,main,stream,plain,false,128,pattern,2,160.633,31.020,199.653,269696
