case,metric,main_us,branch_us,paired_change_pct,low95_pct,high95_pct,pairs
encrypted-signed/false/range,open,881.505,906.896,2.977,2.379,3.416,25
encrypted-signed/false/range,read,16.860,16.420,-2.722,-3.671,-1.425,25
encrypted-signed/false/range,total,910.616,932.317,2.441,2.070,2.969,25
encrypted-signed/false/stream,open,883.885,909.476,2.974,2.709,3.578,25
encrypted-signed/false/stream,read,33.040,32.561,-1.433,-1.988,-1.117,25
encrypted-signed/false/stream,total,930.136,951.637,2.450,1.990,3.162,25
encrypted-signed/false/stream-content,open,882.415,907.406,2.812,2.489,3.243,25
encrypted-signed/false/stream-content,read,33.281,32.840,-1.465,-1.919,-1.173,25
encrypted-signed/false/stream-content,total,929.006,950.097,2.314,1.856,2.527,25
encrypted-signed/false/whole,open,881.126,909.696,2.864,2.652,3.459,25
encrypted-signed/false/whole,read,16.830,16.320,-2.757,-3.619,-2.340,25
encrypted-signed/false/whole,total,910.236,935.467,2.463,2.134,2.880,25
encrypted-signed/true/range,open,897.696,921.776,2.587,1.557,3.074,25
encrypted-signed/true/range,read,16.341,15.860,-3.021,-3.872,-2.688,25
encrypted-signed/true/range,total,926.356,947.077,2.144,1.084,2.665,25
encrypted-signed/true/stream,open,897.076,920.376,2.663,2.317,3.014,25
encrypted-signed/true/stream,read,32.470,31.980,-1.392,-1.843,-1.107,25
encrypted-signed/true/stream,total,943.646,962.077,2.291,1.815,2.556,25
encrypted-signed/true/stream-content,open,898.756,923.096,2.794,2.185,3.266,25
encrypted-signed/true/stream-content,read,32.791,32.261,-1.480,-2.080,-1.128,25
encrypted-signed/true/stream-content,total,944.567,964.807,2.152,1.711,2.670,25
encrypted-signed/true/whole,open,897.046,922.346,2.548,2.287,3.155,25
encrypted-signed/true/whole,read,16.330,15.760,-3.837,-4.249,-2.701,25
encrypted-signed/true/whole,total,925.806,946.917,2.077,1.730,2.533,25
encrypted/false/range,open,168.733,163.173,-3.961,-4.382,-2.374,25
encrypted/false/range,read,16.540,16.050,-2.492,-3.459,-2.238,25
encrypted/false/range,total,193.564,187.663,-3.456,-4.308,-2.490,25
encrypted/false/stream,open,168.353,162.793,-3.203,-3.930,-2.306,25
encrypted/false/stream,read,32.731,32.320,-1.399,-1.858,-1.110,25
encrypted/false/stream,total,209.834,204.073,-2.801,-3.498,-1.445,25
encrypted/false/stream-content,open,168.903,163.633,-2.540,-3.355,-1.313,25
encrypted/false/stream-content,read,32.991,32.501,-1.299,-1.975,-0.969,25
encrypted/false/stream-content,total,210.504,205.324,-1.853,-2.922,-1.412,25
encrypted/false/whole,open,168.073,162.253,-3.605,-4.236,-2.810,25
encrypted/false/whole,read,16.460,15.960,-2.943,-3.341,-2.503,25
encrypted/false/whole,total,193.313,186.843,-3.074,-3.751,-2.552,25
encrypted/true/range,open,183.503,177.863,-3.189,-3.393,-2.133,25
encrypted/true/range,read,15.990,15.480,-3.146,-3.649,-2.459,25
encrypted/true/range,total,207.923,201.903,-3.063,-3.624,-2.271,25
encrypted/true/stream,open,183.504,178.273,-3.143,-3.728,-1.840,25
