pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,padded,range,encrypted,true,8388608,pattern,1,214.403,2626.346,2855.270,312704
0,0,padded,range,encrypted,true,8388608,pattern,2,239.604,3162.486,3433.260,312704
0,0,padded,range,encrypted,true,8388608,pattern,3,282.825,2975.852,3287.048,312704
0,0,padded,range,encrypted,true,8388608,pattern,4,235.585,2609.385,2858.090,312704
0,0,padded,range,encrypted,true,8388608,pattern,5,191.153,2623.896,2827.059,312704
0,1,unpadded,range,encrypted,true,8388608,pattern,1,249.864,2613.696,2877.140,45459
0,1,unpadded,range,encrypted,true,8388608,pattern,2,210.924,2586.375,2811.449,45459
0,1,unpadded,range,encrypted,true,8388608,pattern,3,188.103,2604.216,2806.229,45459
0,1,unpadded,range,encrypted,true,8388608,pattern,4,191.834,2593.825,2805.819,45459
0,1,unpadded,range,encrypted,true,8388608,pattern,5,191.513,2608.306,2813.949,45459
0,2,unpadded,range,encrypted,true,8388608,pattern,1,191.784,2614.145,2818.960,45459
0,2,unpadded,range,encrypted,true,8388608,pattern,2,200.134,2587.025,2814.749,45459
0,2,unpadded,range,encrypted,true,8388608,pattern,3,195.243,2534.925,2742.608,45459
0,2,unpadded,range,encrypted,true,8388608,pattern,4,237.475,2562.464,2811.660,45459
0,2,unpadded,range,encrypted,true,8388608,pattern,5,189.233,2552.255,2753.128,45459
0,3,padded,range,encrypted,true,8388608,pattern,1,196.483,2581.935,2798.189,312704
0,3,padded,range,encrypted,true,8388608,pattern,2,201.843,2513.614,2727.217,312704
0,3,padded,range,encrypted,true,8388608,pattern,3,233.514,2570.175,2817.359,312704
0,3,padded,range,encrypted,true,8388608,pattern,4,189.033,2567.015,2767.818,312704
0,3,padded,range,encrypted,true,8388608,pattern,5,182.813,2541.594,2736.288,312704
1,0,unpadded,range,encrypted,true,8388608,pattern,1,196.724,2601.685,2812.060,45459
1,0,unpadded,range,encrypted,true,8388608,pattern,2,249.415,2569.274,2833.960,45459
1,0,unpadded,range,encrypted,true,8388608,pattern,3,231.744,2536.235,2779.779,45459
1,0,unpadded,range,encrypted,true,8388608,pattern,4,186.454,2564.084,2762.499,45459
1,0,unpadded,range,encrypted,true,8388608,pattern,5,185.683,2543.585,2740.768,45459
1,1,padded,range,encrypted,true,8388608,pattern,1,233.884,2548.794,2795.169,312704
1,1,padded,range,encrypted,true,8388608,pattern,2,190.094,2572.435,2776.129,312704
1,1,padded,range,encrypted,true,8388608,pattern,3,186.194,2564.424,2762.069,312704
1,1,padded,range,encrypted,true,8388608,pattern,4,187.483,2511.094,2719.698,312704
1,1,padded,range,encrypted,true,8388608,pattern,5,221.744,2508.004,2744.818,312704
