pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,padded,stream,encrypted-signed,false,128,pattern,1,846.346,30.900,885.657,284032
0,0,padded,whole,plain,true,128,pattern,1,157.683,12.110,177.253,269696
0,0,padded,whole,signed,true,128,pattern,1,1238.692,1.360,1248.753,279936
0,0,padded,stream-content,signed,false,128,pattern,1,1181.012,17.690,1207.142,284032
0,0,padded,stream-content,encrypted-signed,true,128,pattern,1,864.755,30.951,904.346,279936
0,0,padded,whole,encrypted-signed,true,128,pattern,1,869.396,14.320,892.146,279936
0,0,padded,stream-content,plain,true,128,pattern,1,154.153,28.561,190.354,269696
0,0,padded,stream,signed,true,128,pattern,1,1212.133,17.650,1238.353,279936
0,0,padded,stream,plain,true,128,pattern,1,154.382,28.571,190.673,269696
0,0,padded,range,signed,true,128,pattern,1,1219.593,1.490,1229.753,279936
0,0,padded,whole,plain,false,128,pattern,1,138.703,12.260,158.373,269696
0,0,padded,stream,signed,false,128,pattern,1,1196.582,17.610,1222.762,284032
0,0,padded,range,encrypted-signed,true,128,pattern,1,869.656,14.830,892.996,279936
0,0,padded,stream-content,signed,true,128,pattern,1,1214.173,17.750,1240.533,279936
0,0,padded,stream-content,encrypted,false,128,pattern,1,161.093,31.500,200.353,269696
0,0,padded,range,encrypted,false,128,pattern,1,158.473,15.070,181.343,269696
0,0,padded,stream-content,encrypted,true,128,pattern,1,167.173,30.631,205.684,269696
0,0,padded,stream,encrypted-signed,true,128,pattern,1,879.227,30.740,919.087,279936
0,0,padded,stream-content,encrypted-signed,false,128,pattern,1,877.326,31.120,917.166,284032
0,0,padded,whole,signed,false,128,pattern,1,1189.472,1.370,1199.262,284032
0,0,padded,stream,encrypted,true,128,pattern,1,167.923,30.801,206.584,269696
0,0,padded,range,encrypted-signed,false,128,pattern,1,857.645,14.911,880.906,284032
0,0,padded,stream-content,plain,false,128,pattern,1,136.993,28.810,173.363,269696
0,0,padded,stream,plain,false,128,pattern,1,135.372,28.461,171.383,269696
0,0,padded,whole,encrypted,false,128,pattern,1,158.523,14.920,181.203,269696
0,0,padded,range,plain,true,128,pattern,1,152.772,12.091,172.323,269696
0,0,padded,stream,encrypted,false,128,pattern,1,153.683,31.191,192.524,269696
0,0,padded,range,plain,false,128,pattern,1,137.393,12.750,157.643,269696
0,0,padded,range,encrypted,true,128,pattern,1,165.653,14.251,187.694,269696
0,0,padded,whole,encrypted-signed,false,128,pattern,1,851.366,17.170,878.656,284032
0,0,padded,whole,encrypted,true,128,pattern,1,166.443,22.080,196.343,269696
0,0,padded,range,signed,false,128,pattern,1,1185.812,1.420,1195.682,284032
0,0,padded,whole,signed,true,128,pattern,2,1200.992,1.310,1210.902,279936
0,0,padded,stream,plain,false,128,pattern,2,136.432,28.411,172.263,269696
0,0,padded,whole,encrypted,true,128,pattern,2,170.813,14.261,192.734,269696
0,0,padded,whole,encrypted,false,128,pattern,2,161.613,14.940,184.184,269696
0,0,padded,whole,encrypted-signed,false,128,pattern,2,844.376,14.820,867.486,284032
0,0,padded,whole,encrypted-signed,true,128,pattern,2,865.216,14.320,887.937,279936
0,0,padded,stream,signed,false,128,pattern,2,1197.312,17.470,1223.423,284032
0,0,padded,whole,signed,false,128,pattern,2,1180.312,1.340,1190.042,284032
0,0,padded,range,plain,false,128,pattern,2,136.723,12.370,156.563,269696
0,0,padded,stream-content,encrypted,true,128,pattern,2,166.373,30.701,204.774,269696
0,0,padded,stream,signed,true,128,pattern,2,1214.103,17.510,1240.393,279936
0,0,padded,range,encrypted-signed,false,128,pattern,2,848.765,14.971,872.036,284032
0,0,padded,stream,encrypted-signed,true,128,pattern,2,867.726,30.731,907.077,279936
0,0,padded,range,encrypted,true,128,pattern,2,167.633,14.521,196.814,269696
0,0,padded,stream,encrypted-signed,false,128,pattern,2,847.986,30.920,887.147,284032
0,0,padded,stream-content,signed,true,128,pattern,2,1214.712,17.631,1241.073,279936
0,0,padded,whole,plain,true,128,pattern,2,152.833,12.370,172.704,269696
0,0,padded,range,encrypted,false,128,pattern,2,153.373,14.890,175.723,269696
0,0,padded,stream,encrypted,true,128,pattern,2,164.943,35.741,208.664,269696
0,0,padded,stream,encrypted,false,128,pattern,2,153.072,31.061,199.953,269696
0,0,padded,range,signed,false,128,pattern,2,1195.172,1.420,1205.112,284032
0,0,padded,stream-content,encrypted-signed,true,128,pattern,2,867.256,31.161,906.927,279936
0,0,padded,range,signed,true,128,pattern,2,1209.563,1.420,1219.553,279936
0,0,padded,stream-content,encrypted,false,128,pattern,2,155.183,31.420,194.224,269696
0,0,padded,whole,plain,false,128,pattern,2,138.542,12.251,158.153,269696
0,0,padded,stream-content,plain,false,128,pattern,2,134.323,28.240,169.863,269696
0,0,padded,stream-content,encrypted-signed,false,128,pattern,2,851.055,31.071,890.526,284032
0,0,padded,stream,plain,true,128,pattern,2,160.973,28.461,197.054,269696
0,0,padded,stream-content,signed,false,128,pattern,2,1187.032,17.661,1229.393,284032
0,0,padded,stream-content,plain,true,128,pattern,2,168.483,35.381,213.464,269696
0,0,padded,range,plain,true,128,pattern,2,208.334,18.640,237.664,269696
0,0,padded,range,encrypted-signed,true,128,pattern,2,889.896,17.260,918.227,279936
0,0,padded,whole,signed,false,128,pattern,3,1220.983,1.410,1231.253,284032
0,0,padded,stream,plain,false,128,pattern,3,137.943,28.910,174.243,269696
0,0,padded,stream-content,plain,true,128,pattern,3,152.772,28.561,188.803,269696
0,0,padded,stream,encrypted-signed,false,128,pattern,3,872.266,30.951,911.817,284032
0,0,padded,range,plain,false,128,pattern,3,137.123,12.580,157.093,269696
0,0,padded,stream-content,signed,false,128,pattern,3,1182.682,17.830,1208.982,284032
0,0,padded,stream,encrypted,false,128,pattern,3,155.333,31.341,194.464,269696
0,0,padded,stream-content,encrypted-signed,true,128,pattern,3,871.256,30.791,910.597,279936
0,0,padded,range,plain,true,128,pattern,3,162.733,12.491,182.904,269696
0,0,padded,range,encrypted,true,128,pattern,3,170.303,14.300,192.204,269696
0,0,padded,whole,plain,true,128,pattern,3,151.583,11.920,170.923,269696
0,0,padded,whole,encrypted-signed,false,128,pattern,3,860.646,14.831,883.887,284032
0,0,padded,range,encrypted-signed,false,128,pattern,3,851.776,15.030,875.096,284032
0,0,padded,stream,encrypted-signed,true,128,pattern,3,861.336,30.570,900.306,279936
0,0,padded,stream-content,encrypted-signed,false,128,pattern,3,861.375,31.171,901.016,284032
0,0,padded,whole,encrypted,false,128,pattern,3,154.382,14.771,176.733,269696
0,0,padded,stream-content,encrypted,false,128,pattern,3,152.603,31.191,191.644,269696
0,0,padded,stream,signed,false,128,pattern,3,1184.522,17.520,1210.562,284032
0,0,padded,stream-content,plain,false,128,pattern,3,137.892,28.901,174.263,269696
0,0,padded,whole,plain,false,128,pattern,3,142.663,12.250,162.393,269696
0,0,padded,whole,signed,true,128,pattern,3,1213.922,1.320,1223.972,279936
0,0,padded,range,encrypted-signed,true,128,pattern,3,869.266,14.571,892.267,279936
0,0,padded,stream,signed,true,128,pattern,3,1213.263,17.510,1239.513,279936
0,0,padded,stream-content,signed,true,128,pattern,3,1203.213,17.970,1229.763,279936
0,0,padded,stream,plain,true,128,pattern,3,153.852,33.231,194.903,269696
0,0,padded,stream-content,encrypted,true,128,pattern,3,168.454,30.710,206.994,269696
0,0,padded,range,signed,false,128,pattern,3,1182.771,1.410,1192.672,284032
0,0,padded,whole,encrypted,true,128,pattern,3,165.713,14.270,187.573,269696
0,0,padded,stream,encrypted,true,128,pattern,3,166.603,30.280,204.643,269696
0,0,padded,range,signed,true,128,pattern,3,1202.372,1.390,1212.282,279936
0,0,padded,range,encrypted,false,128,pattern,3,153.582,14.791,175.793,269696
0,0,padded,whole,encrypted-signed,true,128,pattern,3,858.966,14.250,881.566,279936
0,0,padded,stream,encrypted-signed,true,128,pattern,4,852.586,30.370,891.466,279936
0,0,padded,stream-content,plain,false,128,pattern,4,135.602,28.401,171.243,269696
0,0,padded,stream,plain,false,128,pattern,4,133.572,28.311,169.203,269696
0,0,padded,range,signed,false,128,pattern,4,1173.832,1.470,1183.722,284032
0,0,padded,stream,plain,true,128,pattern,4,151.692,28.111,187.363,269696
0,0,padded,stream-content,plain,true,128,pattern,4,154.043,28.141,189.754,269696
0,0,padded,range,encrypted,true,128,pattern,4,164.173,14.211,185.974,269696
0,0,padded,whole,encrypted,false,128,pattern,4,151.483,14.600,173.493,269696
0,0,padded,stream-content,signed,true,128,pattern,4,1200.412,17.470,1226.502,279936
0,0,padded,whole,encrypted-signed,false,128,pattern,4,840.326,14.550,863.056,284032
0,0,padded,whole,signed,true,128,pattern,4,1203.172,1.320,1212.972,279936
0,0,padded,stream-content,encrypted,true,128,pattern,4,171.914,30.750,210.474,269696
0,0,padded,stream-content,encrypted,false,128,pattern,4,152.842,31.161,191.683,269696
0,0,padded,whole,signed,false,128,pattern,4,1176.662,1.350,1186.362,284032
0,0,padded,range,plain,true,128,pattern,4,152.542,12.081,172.003,269696
0,0,padded,stream,signed,false,128,pattern,4,1176.742,17.380,1202.442,284032
0,0,padded,stream,encrypted,false,128,pattern,4,159.043,31.170,198.013,269696
0,0,padded,stream-content,encrypted-signed,false,128,pattern,4,851.935,31.281,891.596,284032
0,0,padded,stream,encrypted-signed,false,128,pattern,4,840.816,30.860,879.947,284032
0,0,padded,range,encrypted-signed,true,128,pattern,4,861.816,14.500,884.686,279936
0,0,padded,stream,signed,true,128,pattern,4,1245.953,17.560,1273.173,279936
0,0,padded,whole,plain,false,128,pattern,4,139.372,12.530,159.243,269696
0,0,padded,whole,encrypted,true,128,pattern,4,167.073,14.390,189.103,269696
0,0,padded,range,plain,false,128,pattern,4,138.712,13.640,160.713,269696
0,0,padded,stream-content,encrypted-signed,true,128,pattern,4,866.376,31.100,906.047,279936
0,0,padded,whole,encrypted-signed,true,128,pattern,4,924.167,14.600,947.648,279936
0,0,padded,range,encrypted-signed,false,128,pattern,4,852.746,14.610,875.566,284032
0,0,padded,range,signed,true,128,pattern,4,1203.623,1.340,1213.583,279936
0,0,padded,range,encrypted,false,128,pattern,4,155.123,15.020,177.903,269696
0,0,padded,stream-content,signed,false,128,pattern,4,1183.562,17.700,1209.872,284032
0,0,padded,stream,encrypted,true,128,pattern,4,167.163,30.441,205.454,269696
0,0,padded,whole,plain,true,128,pattern,4,151.873,11.990,171.354,269696
0,0,padded,range,encrypted-signed,false,128,pattern,5,870.866,14.930,894.466,284032
0,0,padded,stream-content,signed,true,128,pattern,5,1204.022,19.720,1232.493,279936
0,0,padded,stream,encrypted-signed,true,128,pattern,5,860.566,30.660,899.686,279936
0,0,padded,stream-content,signed,false,128,pattern,5,1188.632,17.560,1214.732,284032
0,0,padded,stream-content,encrypted,true,128,pattern,5,173.353,30.620,211.983,269696
0,0,padded,whole,encrypted,true,128,pattern,5,163.563,14.150,185.363,269696
0,0,padded,stream-content,encrypted-signed,false,128,pattern,5,848.595,30.981,887.986,284032
0,0,padded,stream,encrypted,true,128,pattern,5,165.723,30.461,203.924,269696
0,0,padded,whole,signed,true,128,pattern,5,1209.193,1.350,1219.603,279936
0,0,padded,range,encrypted-signed,true,128,pattern,5,857.546,14.370,880.327,279936
0,0,padded,stream,encrypted-signed,false,128,pattern,5,856.286,31.100,895.716,284032
0,0,padded,whole,encrypted-signed,false,128,pattern,5,854.176,14.900,877.326,284032
0,0,padded,stream,encrypted,false,128,pattern,5,154.063,31.001,192.894,269696
0,0,padded,stream,signed,true,128,pattern,5,1204.442,17.391,1230.563,279936
0,0,padded,whole,plain,false,128,pattern,5,192.104,12.590,212.524,269696
0,0,padded,range,plain,false,128,pattern,5,135.993,12.120,155.453,269696
0,0,padded,stream,plain,true,128,pattern,5,152.072,28.301,188.023,269696
0,0,padded,stream,signed,false,128,pattern,5,1197.102,17.501,1223.243,284032
0,0,padded,whole,signed,false,128,pattern,5,1189.372,1.360,1199.112,284032
0,0,padded,range,encrypted,true,128,pattern,5,178.753,14.730,201.414,269696
0,0,padded,range,encrypted,false,128,pattern,5,154.633,14.990,177.333,269696
0,0,padded,whole,plain,true,128,pattern,5,152.943,12.081,172.474,269696
0,0,padded,whole,encrypted,false,128,pattern,5,159.583,14.800,181.923,269696
0,0,padded,range,signed,true,128,pattern,5,1214.132,1.370,1223.972,279936
0,0,padded,stream,plain,false,128,pattern,5,138.162,28.701,174.463,269696
0,0,padded,stream-content,plain,false,128,pattern,5,134.973,28.820,171.153,269696
0,0,padded,whole,encrypted-signed,true,128,pattern,5,871.566,14.460,894.416,279936
0,0,padded,range,signed,false,128,pattern,5,1191.102,1.390,1200.912,284032
0,0,padded,stream-content,encrypted-signed,true,128,pattern,5,868.936,30.941,908.507,279936
0,0,padded,stream-content,plain,true,128,pattern,5,153.023,28.221,188.994,269696
0,0,padded,stream-content,encrypted,false,128,pattern,5,159.473,30.970,198.104,269696
0,0,padded,range,plain,true,128,pattern,5,160.963,12.320,180.983,269696
0,1,unpadded,stream,encrypted-signed,false,128,pattern,1,841.895,29.921,880.706,17375
0,1,unpadded,whole,plain,true,128,pattern,1,153.662,12.231,173.583,2683
0,1,unpadded,whole,signed,true,128,pattern,1,1190.722,1.370,1200.672,13500
0,1,unpadded,stream-content,signed,false,128,pattern,1,1179.322,17.751,1205.683,17583
0,1,unpadded,stream-content,encrypted-signed,true,128,pattern,1,856.486,30.520,895.487,13287
0,1,unpadded,whole,encrypted-signed,true,128,pattern,1,856.336,14.170,878.736,13287
0,1,unpadded,stream-content,plain,true,128,pattern,1,145.082,28.131,180.773,2683
0,1,unpadded,stream,signed,true,128,pattern,1,1210.012,17.641,1236.523,13500
0,1,unpadded,stream,plain,true,128,pattern,1,145.833,28.061,181.584,2683
0,1,unpadded,range,signed,true,128,pattern,1,1206.852,1.560,1217.092,13500
0,1,unpadded,whole,plain,false,128,pattern,1,129.022,11.690,148.113,2773
0,1,unpadded,stream,signed,false,128,pattern,1,1185.722,17.560,1211.932,17583
0,1,unpadded,range,encrypted-signed,true,128,pattern,1,876.566,14.210,899.176,13287
0,1,unpadded,stream-content,signed,true,128,pattern,1,1197.632,19.890,1226.692,13500
0,1,unpadded,stream-content,encrypted,false,128,pattern,1,140.623,29.811,178.004,2629
0,1,unpadded,range,encrypted,false,128,pattern,1,143.493,13.650,164.773,2629
0,1,unpadded,stream-content,encrypted,true,128,pattern,1,157.703,30.021,195.454,2539
0,1,unpadded,stream,encrypted-signed,true,128,pattern,1,857.806,30.351,896.547,13287
0,1,unpadded,stream-content,encrypted-signed,false,128,pattern,1,842.246,30.450,880.887,17375
0,1,unpadded,whole,signed,false,128,pattern,1,1178.432,1.400,1188.402,17583
0,1,unpadded,stream,encrypted,true,128,pattern,1,158.823,30.021,196.644,2539
0,1,unpadded,range,encrypted-signed,false,128,pattern,1,845.046,14.390,867.566,17375
0,1,unpadded,stream-content,plain,false,128,pattern,1,128.503,28.020,163.893,2773
0,1,unpadded,stream,plain,false,128,pattern,1,132.152,27.711,167.483,2773
0,1,unpadded,whole,encrypted,false,128,pattern,1,146.453,13.730,167.873,2629
0,1,unpadded,range,plain,true,128,pattern,1,145.052,12.021,164.583,2683
0,1,unpadded,stream,encrypted,false,128,pattern,1,138.723,29.720,176.013,2629
0,1,unpadded,range,plain,false,128,pattern,1,126.792,11.650,145.812,2773
0,1,unpadded,range,encrypted,true,128,pattern,1,158.733,13.540,179.763,2539
0,1,unpadded,whole,encrypted-signed,false,128,pattern,1,837.986,14.030,860.156,17375
0,1,unpadded,whole,encrypted,true,128,pattern,1,161.123,13.481,182.144,2539
0,1,unpadded,range,signed,false,128,pattern,1,1181.032,1.390,1190.972,17583
0,1,unpadded,whole,signed,true,128,pattern,2,1194.893,1.380,1204.723,13500
0,1,unpadded,stream,plain,false,128,pattern,2,127.722,28.171,163.383,2773
0,1,unpadded,whole,encrypted,true,128,pattern,2,155.493,13.560,176.574,2539
0,1,unpadded,whole,encrypted,false,128,pattern,2,138.522,13.401,162.433,2629
0,1,unpadded,whole,encrypted-signed,false,128,pattern,2,835.006,13.980,857.156,17375
0,1,unpadded,whole,encrypted-signed,true,128,pattern,2,863.946,14.161,886.377,13287
0,1,unpadded,stream,signed,false,128,pattern,2,1181.652,17.420,1207.702,17583
0,1,unpadded,whole,signed,false,128,pattern,2,1186.072,1.390,1196.012,17583
0,1,unpadded,range,plain,false,128,pattern,2,128.452,11.681,147.373,2773
0,1,unpadded,stream-content,encrypted,true,128,pattern,2,157.353,30.481,195.554,2539
0,1,unpadded,stream,signed,true,128,pattern,2,1189.242,17.270,1214.972,13500
0,1,unpadded,range,encrypted-signed,false,128,pattern,2,829.465,13.840,851.495,17375
0,1,unpadded,stream,encrypted-signed,true,128,pattern,2,853.956,29.690,891.916,13287
0,1,unpadded,range,encrypted,true,128,pattern,2,154.912,13.751,176.083,2539
0,1,unpadded,stream,encrypted-signed,false,128,pattern,2,834.756,29.940,872.956,17375
0,1,unpadded,stream-content,signed,true,128,pattern,2,1194.202,17.930,1221.042,13500
0,1,unpadded,whole,plain,true,128,pattern,2,146.552,11.710,165.843,2683
0,1,unpadded,range,encrypted,false,128,pattern,2,144.953,13.920,166.543,2629
0,1,unpadded,stream,encrypted,true,128,pattern,2,156.983,30.031,194.754,2539
0,1,unpadded,stream,encrypted,false,128,pattern,2,139.493,29.960,177.104,2629
0,1,unpadded,range,signed,false,128,pattern,2,1186.122,1.490,1196.072,17583
0,1,unpadded,stream-content,encrypted-signed,true,128,pattern,2,892.087,33.570,934.097,13287
0,1,unpadded,range,signed,true,128,pattern,2,1199.032,1.390,1208.962,13500
0,1,unpadded,stream-content,encrypted,false,128,pattern,2,145.133,29.951,182.824,2629
0,1,unpadded,whole,plain,false,128,pattern,2,127.133,11.440,145.923,2773
0,1,unpadded,stream-content,plain,false,128,pattern,2,126.263,28.220,161.773,2773
0,1,unpadded,stream-content,encrypted-signed,false,128,pattern,2,846.365,30.201,884.826,17375
0,1,unpadded,stream,plain,true,128,pattern,2,145.643,27.940,181.353,2683
0,1,unpadded,stream-content,signed,false,128,pattern,2,1179.722,17.630,1205.732,17583
0,1,unpadded,stream-content,plain,true,128,pattern,2,149.383,28.291,185.314,2683
0,1,unpadded,range,plain,true,128,pattern,2,141.893,11.650,160.893,2683
0,1,unpadded,range,encrypted-signed,true,128,pattern,2,852.796,13.720,874.797,13287
0,1,unpadded,whole,signed,false,128,pattern,3,1164.761,1.350,1174.512,17583
0,1,unpadded,stream,plain,false,128,pattern,3,126.242,27.801,161.483,2773
0,1,unpadded,stream-content,plain,true,128,pattern,3,142.383,27.830,177.623,2683
0,1,unpadded,stream,encrypted-signed,false,128,pattern,3,830.575,29.831,868.826,17375
0,1,unpadded,range,plain,false,128,pattern,3,126.553,11.540,145.343,2773
0,1,unpadded,stream-content,signed,false,128,pattern,3,1178.002,17.650,1204.062,17583
0,1,unpadded,stream,encrypted,false,128,pattern,3,143.252,29.721,180.613,2629
0,1,unpadded,stream-content,encrypted-signed,true,128,pattern,3,854.086,29.971,892.437,13287
0,1,unpadded,range,plain,true,128,pattern,3,142.623,11.540,161.503,2683
0,1,unpadded,range,encrypted,true,128,pattern,3,153.943,13.711,175.114,2539
0,1,unpadded,whole,plain,true,128,pattern,3,141.493,11.450,160.193,2683
0,1,unpadded,whole,encrypted-signed,false,128,pattern,3,840.236,13.960,862.456,17375
0,1,unpadded,range,encrypted-signed,false,128,pattern,3,843.045,14.090,865.135,17375
0,1,unpadded,stream,encrypted-signed,true,128,pattern,3,854.166,30.350,892.756,13287
0,1,unpadded,stream-content,encrypted-signed,false,128,pattern,3,839.775,30.461,878.416,17375
0,1,unpadded,whole,encrypted,false,128,pattern,3,139.563,13.770,161.003,2629
0,1,unpadded,stream-content,encrypted,false,128,pattern,3,138.523,29.971,176.014,2629
0,1,unpadded,stream,signed,false,128,pattern,3,1183.362,17.470,1209.432,17583
0,1,unpadded,stream-content,plain,false,128,pattern,3,128.242,28.120,163.793,2773
0,1,unpadded,whole,plain,false,128,pattern,3,131.602,11.691,150.793,2773
0,1,unpadded,whole,signed,true,128,pattern,3,1192.892,1.320,1202.702,13500
0,1,unpadded,range,encrypted-signed,true,128,pattern,3,852.875,14.161,875.246,13287
0,1,unpadded,stream,signed,true,128,pattern,3,1186.132,17.270,1212.072,13500
0,1,unpadded,stream-content,signed,true,128,pattern,3,1176.552,17.620,1202.792,13500
0,1,unpadded,stream,plain,true,128,pattern,3,143.303,27.731,178.554,2683
0,1,unpadded,stream-content,encrypted,true,128,pattern,3,158.923,29.890,196.654,2539
0,1,unpadded,range,signed,false,128,pattern,3,1186.092,1.460,1196.192,17583
0,1,unpadded,whole,encrypted,true,128,pattern,3,159.193,13.761,180.784,2539
0,1,unpadded,stream,encrypted,true,128,pattern,3,156.823,30.131,194.724,2539
0,1,unpadded,range,signed,true,128,pattern,3,1200.862,1.470,1210.952,13500
0,1,unpadded,range,encrypted,false,128,pattern,3,142.073,13.880,163.573,2629
0,1,unpadded,whole,encrypted-signed,true,128,pattern,3,872.006,14.201,894.657,13287
0,1,unpadded,stream,encrypted-signed,true,128,pattern,4,862.556,30.530,909.647,13287
0,1,unpadded,stream-content,plain,false,128,pattern,4,130.513,28.660,166.693,2773
0,1,unpadded,stream,plain,false,128,pattern,4,128.422,28.130,163.943,2773
0,1,unpadded,range,signed,false,128,pattern,4,1198.312,1.500,1208.402,17583
0,1,unpadded,stream,plain,true,128,pattern,4,149.672,27.881,185.153,2683
0,1,unpadded,stream-content,plain,true,128,pattern,4,143.243,28.211,183.964,2683
0,1,unpadded,range,encrypted,true,128,pattern,4,156.113,13.820,177.543,2539
0,1,unpadded,whole,encrypted,false,128,pattern,4,139.072,13.590,160.233,2629
0,1,unpadded,stream-content,signed,true,128,pattern,4,1198.812,17.710,1225.212,13500
0,1,unpadded,whole,encrypted-signed,false,128,pattern,4,847.425,14.431,870.106,17375
0,1,unpadded,whole,signed,true,128,pattern,4,1208.822,1.320,1218.603,13500
0,1,unpadded,stream-content,encrypted,true,128,pattern,4,157.673,30.160,195.634,2539
0,1,unpadded,stream-content,encrypted,false,128,pattern,4,144.233,29.790,181.583,2629
0,1,unpadded,whole,signed,false,128,pattern,4,1196.042,1.440,1206.152,17583
0,1,unpadded,range,plain,true,128,pattern,4,145.033,11.670,164.163,2683
0,1,unpadded,stream,signed,false,128,pattern,4,1171.741,17.250,1197.542,17583
0,1,unpadded,stream,encrypted,false,128,pattern,4,138.882,29.391,175.833,2629
0,1,unpadded,stream-content,encrypted-signed,false,128,pattern,4,843.455,30.571,882.506,17375
0,1,unpadded,stream,encrypted-signed,false,128,pattern,4,825.975,29.951,864.006,17375
0,1,unpadded,range,encrypted-signed,true,128,pattern,4,843.825,14.110,866.276,13287
