case,metric,padded_us,unpadded_us,paired_change_pct,low95_pct,high95_pct,pairs
encrypted-signed/false/range,open,865.376,855.095,-1.297,-1.608,-0.898,25
encrypted-signed/false/range,read,16.300,15.110,-7.159,-7.735,-6.610,25
encrypted-signed/false/range,total,890.167,879.176,-1.326,-1.615,-0.779,25
encrypted-signed/false/stream,open,867.346,855.286,-0.995,-1.564,-0.858,25
encrypted-signed/false/stream,read,32.381,31.201,-3.336,-3.888,-3.148,25
encrypted-signed/false/stream,total,908.487,895.066,-1.089,-1.651,-0.862,25
encrypted-signed/false/stream-content,open,866.906,855.785,-1.153,-1.842,-0.654,25
encrypted-signed/false/stream-content,read,32.611,31.451,-3.389,-3.992,-2.942,25
encrypted-signed/false/stream-content,total,908.416,896.456,-1.218,-1.718,-0.759,25
encrypted-signed/false/whole,open,865.746,854.306,-1.303,-1.625,-0.753,25
encrypted-signed/false/whole,read,16.191,15.031,-6.980,-7.452,-6.341,25
encrypted-signed/false/whole,total,890.696,878.687,-1.273,-1.415,-0.843,25
encrypted-signed/true/range,open,878.456,872.726,-0.581,-1.090,-0.263,25
encrypted-signed/true/range,read,15.550,15.100,-3.107,-3.364,-2.393,25
encrypted-signed/true/range,total,902.657,896.557,-0.623,-1.131,-0.285,25
encrypted-signed/true/stream,open,878.276,873.196,-0.500,-0.803,-0.216,25
encrypted-signed/true/stream,read,31.671,31.211,-1.206,-1.655,-0.727,25
encrypted-signed/true/stream,total,918.707,913.137,-0.492,-0.675,-0.304,25
encrypted-signed/true/stream-content,open,876.626,873.876,-0.417,-1.002,0.382,25
encrypted-signed/true/stream-content,read,31.890,31.491,-1.379,-1.903,-1.062,25
encrypted-signed/true/stream-content,total,917.517,914.577,-0.441,-1.040,0.230,25
encrypted-signed/true/whole,open,877.476,872.286,-0.476,-0.913,-0.032,25
encrypted-signed/true/whole,read,15.481,14.980,-3.050,-3.751,-2.613,25
encrypted-signed/true/whole,total,901.567,895.846,-0.492,-0.986,-0.064,25
encrypted/false/range,open,162.833,151.123,-7.202,-8.569,-6.344,25
encrypted/false/range,read,15.700,14.601,-6.466,-8.552,-4.637,25
encrypted/false/range,total,186.663,173.753,-7.261,-8.300,-5.935,25
encrypted/false/stream,open,162.643,150.813,-7.698,-8.347,-6.210,25
encrypted/false/stream,read,31.761,30.801,-2.976,-3.996,-1.997,25
encrypted/false/stream,total,202.574,189.763,-6.390,-7.163,-5.466,25
encrypted/false/stream-content,open,162.883,151.442,-7.078,-8.029,-6.123,25
