pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,36545.758,322944
0,0,main,write,encrypted,true,8388608,pattern,1,0.000,0.000,38477.738,312704
0,0,main,write,plain,true,8388608,pattern,1,0.000,0.000,36634.408,312704
0,0,main,write,signed,false,8388608,pattern,1,0.000,0.000,127239.908,8673664
0,0,main,write,signed,true,8388608,pattern,1,0.000,0.000,40113.100,322944
0,0,main,write,plain,false,8388608,pattern,1,0.000,0.000,108676.327,8659328
0,0,main,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,121741.580,8673664
0,0,main,write,encrypted,false,8388608,pattern,1,0.000,0.000,118507.100,8659328
0,0,main,write,encrypted,true,8388608,pattern,2,0.000,0.000,32530.508,312704
0,0,main,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,34706.069,322944
0,0,main,write,plain,true,8388608,pattern,2,0.000,0.000,32774.388,312704
0,0,main,write,plain,false,8388608,pattern,2,0.000,0.000,111101.198,8659328
0,0,main,write,signed,false,8388608,pattern,2,0.000,0.000,119404.990,8673664
0,0,main,write,encrypted,false,8388608,pattern,2,0.000,0.000,118682.820,8659328
0,0,main,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,121069.844,8673664
0,0,main,write,signed,true,8388608,pattern,2,0.000,0.000,41951.151,322944
0,1,branch,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,34244.280,322944
0,1,branch,write,encrypted,true,8388608,pattern,1,0.000,0.000,33137.049,312704
0,1,branch,write,plain,true,8388608,pattern,1,0.000,0.000,33302.339,312704
0,1,branch,write,signed,false,8388608,pattern,1,0.000,0.000,84496.215,8673664
0,1,branch,write,signed,true,8388608,pattern,1,0.000,0.000,42486.702,322944
0,1,branch,write,plain,false,8388608,pattern,1,0.000,0.000,68426.321,8659328
0,1,branch,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,83391.755,8673664
0,1,branch,write,encrypted,false,8388608,pattern,1,0.000,0.000,81162.005,8659328
0,1,branch,write,encrypted,true,8388608,pattern,2,0.000,0.000,31932.030,312704
0,1,branch,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,36292.191,322944
0,1,branch,write,plain,true,8388608,pattern,2,0.000,0.000,31802.740,312704
0,1,branch,write,plain,false,8388608,pattern,2,0.000,0.000,69936.681,8659328
0,1,branch,write,signed,false,8388608,pattern,2,0.000,0.000,83140.225,8673664
0,1,branch,write,encrypted,false,8388608,pattern,2,0.000,0.000,96047.959,8659328
0,1,branch,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,82576.165,8673664
0,1,branch,write,signed,true,8388608,pattern,2,0.000,0.000,39575.922,322944
0,2,branch,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,35185.372,322944
0,2,branch,write,encrypted,true,8388608,pattern,1,0.000,0.000,31635.280,312704
0,2,branch,write,plain,true,8388608,pattern,1,0.000,0.000,31171.130,312704
