pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,write,plain,true,8388608,pattern,1,0.000,0.000,33343.778,312704
0,0,main,write,plain,true,8388608,pattern,2,0.000,0.000,31583.029,312704
0,0,main,write,plain,true,8388608,pattern,3,0.000,0.000,35727.492,312704
0,0,main,write,plain,true,8388608,pattern,4,0.000,0.000,33646.841,312704
0,0,main,write,plain,true,8388608,pattern,5,0.000,0.000,34768.397,312704
0,1,branch,write,plain,true,8388608,pattern,1,0.000,0.000,34866.848,312704
0,1,branch,write,plain,true,8388608,pattern,2,0.000,0.000,34441.205,312704
0,1,branch,write,plain,true,8388608,pattern,3,0.000,0.000,31959.521,312704
0,1,branch,write,plain,true,8388608,pattern,4,0.000,0.000,32595.475,312704
0,1,branch,write,plain,true,8388608,pattern,5,0.000,0.000,33216.248,312704
0,2,branch,write,plain,true,8388608,pattern,1,0.000,0.000,32687.405,312704
0,2,branch,write,plain,true,8388608,pattern,2,0.000,0.000,32496.414,312704
0,2,branch,write,plain,true,8388608,pattern,3,0.000,0.000,32013.701,312704
0,2,branch,write,plain,true,8388608,pattern,4,0.000,0.000,31363.067,312704
0,2,branch,write,plain,true,8388608,pattern,5,0.000,0.000,36067.724,312704
0,3,main,write,plain,true,8388608,pattern,1,0.000,0.000,33474.230,312704
0,3,main,write,plain,true,8388608,pattern,2,0.000,0.000,38544.138,312704
0,3,main,write,plain,true,8388608,pattern,3,0.000,0.000,38391.577,312704
0,3,main,write,plain,true,8388608,pattern,4,0.000,0.000,36643.648,312704
0,3,main,write,plain,true,8388608,pattern,5,0.000,0.000,38740.090,312704
1,0,branch,write,plain,true,8388608,pattern,1,0.000,0.000,32078.052,312704
1,0,branch,write,plain,true,8388608,pattern,2,0.000,0.000,32313.073,312704
1,0,branch,write,plain,true,8388608,pattern,3,0.000,0.000,32358.484,312704
1,0,branch,write,plain,true,8388608,pattern,4,0.000,0.000,35117.049,312704
1,0,branch,write,plain,true,8388608,pattern,5,0.000,0.000,136742.696,312704
1,1,main,write,plain,true,8388608,pattern,1,0.000,0.000,86747.092,312704
1,1,main,write,plain,true,8388608,pattern,2,0.000,0.000,48154.393,312704
1,1,main,write,plain,true,8388608,pattern,3,0.000,0.000,46449.753,312704
1,1,main,write,plain,true,8388608,pattern,4,0.000,0.000,33658.511,312704
1,1,main,write,plain,true,8388608,pattern,5,0.000,0.000,37182.112,312704
1,2,main,write,plain,true,8388608,pattern,1,0.000,0.000,33705.431,312704
1,2,main,write,plain,true,8388608,pattern,2,0.000,0.000,33550.071,312704
1,2,main,write,plain,true,8388608,pattern,3,0.000,0.000,36607.398,312704
1,2,main,write,plain,true,8388608,pattern,4,0.000,0.000,38465.709,312704
1,2,main,write,plain,true,8388608,pattern,5,0.000,0.000,37506.374,312704
1,3,branch,write,plain,true,8388608,pattern,1,0.000,0.000,33514.960,312704
1,3,branch,write,plain,true,8388608,pattern,2,0.000,0.000,34064.074,312704
1,3,branch,write,plain,true,8388608,pattern,3,0.000,0.000,33405.600,312704
1,3,branch,write,plain,true,8388608,pattern,4,0.000,0.000,37010.081,312704
1,3,branch,write,plain,true,8388608,pattern,5,0.000,0.000,37977.926,312704
2,0,main,write,plain,true,8388608,pattern,1,0.000,0.000,34556.367,312704
2,0,main,write,plain,true,8388608,pattern,2,0.000,0.000,32752.416,312704
