pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,write,encrypted-signed,true,8388608,random,1,0.000,0.000,125254.207,8669568
0,0,main,write,encrypted,true,8388608,random,1,0.000,0.000,120319.124,8659328
0,0,main,write,plain,true,8388608,random,1,0.000,0.000,120874.476,8659328
0,0,main,write,signed,false,8388608,random,1,0.000,0.000,145854.811,8673664
0,0,main,write,signed,true,8388608,random,1,0.000,0.000,129022.357,8669568
0,0,main,write,plain,false,8388608,random,1,0.000,0.000,117885.108,8659328
0,0,main,write,encrypted-signed,false,8388608,random,1,0.000,0.000,121059.897,8673664
0,0,main,write,encrypted,false,8388608,random,1,0.000,0.000,121882.171,8659328
0,0,main,write,encrypted,true,8388608,random,2,0.000,0.000,121204.879,8659328
0,0,main,write,encrypted-signed,true,8388608,random,2,0.000,0.000,139419.497,8669568
0,0,main,write,plain,true,8388608,random,2,0.000,0.000,119067.854,8659328
0,0,main,write,plain,false,8388608,random,2,0.000,0.000,117614.860,8659328
0,0,main,write,signed,false,8388608,random,2,0.000,0.000,128762.130,8673664
0,0,main,write,encrypted,false,8388608,random,2,0.000,0.000,118634.583,8659328
0,0,main,write,encrypted-signed,false,8388608,random,2,0.000,0.000,1119063.245,8673664
0,0,main,write,signed,true,8388608,random,2,0.000,0.000,202517.202,8669568
0,1,branch,write,encrypted-signed,true,8388608,random,1,0.000,0.000,81085.869,8669568
0,1,branch,write,encrypted,true,8388608,random,1,0.000,0.000,97751.884,8659328
0,1,branch,write,plain,true,8388608,random,1,0.000,0.000,80893.018,8659328
0,1,branch,write,signed,false,8388608,random,1,0.000,0.000,91779.059,8673664
0,1,branch,write,signed,true,8388608,random,1,0.000,0.000,90659.257,8669568
0,1,branch,write,plain,false,8388608,random,1,0.000,0.000,82121.953,8659328
0,1,branch,write,encrypted-signed,false,8388608,random,1,0.000,0.000,80217.258,8673664
0,1,branch,write,encrypted,false,8388608,random,1,0.000,0.000,98094.957,8659328
0,1,branch,write,encrypted,true,8388608,random,2,0.000,0.000,82271.534,8659328
0,1,branch,write,encrypted-signed,true,8388608,random,2,0.000,0.000,83069.146,8669568
0,1,branch,write,plain,true,8388608,random,2,0.000,0.000,80454.459,8659328
0,1,branch,write,plain,false,8388608,random,2,0.000,0.000,79314.846,8659328
0,1,branch,write,signed,false,8388608,random,2,0.000,0.000,109049.249,8673664
0,1,branch,write,encrypted,false,8388608,random,2,0.000,0.000,79622.818,8659328
0,1,branch,write,encrypted-signed,false,8388608,random,2,0.000,0.000,82830.537,8673664
0,1,branch,write,signed,true,8388608,random,2,0.000,0.000,89442.775,8669568
0,2,branch,write,encrypted-signed,true,8388608,random,1,0.000,0.000,82275.057,8669568
0,2,branch,write,encrypted,true,8388608,random,1,0.000,0.000,77539.834,8659328
0,2,branch,write,plain,true,8388608,random,1,0.000,0.000,80755.095,8659328
0,2,branch,write,signed,false,8388608,random,1,0.000,0.000,89318.808,8673664
0,2,branch,write,signed,true,8388608,random,1,0.000,0.000,114702.718,8669568
0,2,branch,write,plain,false,8388608,random,1,0.000,0.000,73510.144,8659328
0,2,branch,write,encrypted-signed,false,8388608,random,1,0.000,0.000,82583.000,8673664
0,2,branch,write,encrypted,false,8388608,random,1,0.000,0.000,78494.559,8659328
0,2,branch,write,encrypted,true,8388608,random,2,0.000,0.000,78490.108,8659328
0,2,branch,write,encrypted-signed,true,8388608,random,2,0.000,0.000,99200.346,8669568
0,2,branch,write,plain,true,8388608,random,2,0.000,0.000,81693.628,8659328
0,2,branch,write,plain,false,8388608,random,2,0.000,0.000,77792.648,8659328
0,2,branch,write,signed,false,8388608,random,2,0.000,0.000,85467.620,8673664
0,2,branch,write,encrypted,false,8388608,random,2,0.000,0.000,80970.277,8659328
0,2,branch,write,encrypted-signed,false,8388608,random,2,0.000,0.000,100190.891,8673664
0,2,branch,write,signed,true,8388608,random,2,0.000,0.000,1093384.564,8669568
0,3,main,write,encrypted-signed,true,8388608,random,1,0.000,0.000,123614.341,8669568
0,3,main,write,encrypted,true,8388608,random,1,0.000,0.000,122191.220,8659328
0,3,main,write,plain,true,8388608,random,1,0.000,0.000,134550.635,8659328
0,3,main,write,signed,false,8388608,random,1,0.000,0.000,125981.060,8673664
0,3,main,write,signed,true,8388608,random,1,0.000,0.000,143025.140,8669568
0,3,main,write,plain,false,8388608,random,1,0.000,0.000,117447.746,8659328
0,3,main,write,encrypted-signed,false,8388608,random,1,0.000,0.000,129015.539,8673664
0,3,main,write,encrypted,false,8388608,random,1,0.000,0.000,134267.056,8659328
0,3,main,write,encrypted,true,8388608,random,2,0.000,0.000,161539.066,8659328
0,3,main,write,encrypted-signed,true,8388608,random,2,0.000,0.000,145389.209,8669568
0,3,main,write,plain,true,8388608,random,2,0.000,0.000,196867.097,8659328
0,3,main,write,plain,false,8388608,random,2,0.000,0.000,271428.362,8659328
0,3,main,write,signed,false,8388608,random,2,0.000,0.000,146785.596,8673664
0,3,main,write,encrypted,false,8388608,random,2,0.000,0.000,1107231.689,8659328
0,3,main,write,encrypted-signed,false,8388608,random,2,0.000,0.000,168279.772,8673664
0,3,main,write,signed,true,8388608,random,2,0.000,0.000,135160.375,8669568
1,0,branch,write,encrypted,true,8388608,random,1,0.000,0.000,114991.858,8659328
1,0,branch,write,plain,false,8388608,random,1,0.000,0.000,102630.984,8659328
1,0,branch,write,signed,false,8388608,random,1,0.000,0.000,111675.021,8673664
1,0,branch,write,encrypted-signed,true,8388608,random,1,0.000,0.000,83795.278,8669568
1,0,branch,write,encrypted-signed,false,8388608,random,1,0.000,0.000,105023.411,8673664
1,0,branch,write,encrypted,false,8388608,random,1,0.000,0.000,90445.638,8659328
1,0,branch,write,signed,true,8388608,random,1,0.000,0.000,128289.590,8669568
1,0,branch,write,plain,true,8388608,random,1,0.000,0.000,82340.854,8659328
1,0,branch,write,encrypted-signed,false,8388608,random,2,0.000,0.000,84084.729,8673664
