files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
4,1048576,false,plain,Interactive,stream,1.119,9.171,8.199,0.041,1.074,0.144,8.221,4194750,4201792,pattern
4,1048576,false,plain,Interactive,random,1.058,9.042,8.546,0.038,1.017,0.138,8.078,4194750,4201792,pattern
4,1048576,false,plain,Interactive,range,0.107,8.812,82.652,0.036,0.069,0.144,7.817,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,stream,1.067,9.697,9.086,0.038,1.026,0.148,8.457,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,random,1.047,8.828,8.432,0.039,1.007,0.132,7.914,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,range,0.106,9.468,89.461,0.036,0.069,0.163,8.369,4194750,4201792,pattern
4,1048576,true,plain,Interactive,stream,0.928,0.971,1.046,0.036,0.890,0.101,0.851,56150,11584,pattern
4,1048576,true,plain,Interactive,random,0.945,1.282,1.356,0.037,0.907,0.131,1.116,56150,11584,pattern
4,1048576,true,plain,Interactive,range,1.899,0.880,0.463,0.056,1.832,0.105,0.750,56150,11584,pattern
4,1048576,true,plain,ReadMostly,stream,1.415,1.802,1.273,0.052,1.360,0.153,1.393,56150,11584,pattern
4,1048576,true,plain,ReadMostly,random,1.382,1.682,1.217,0.052,1.326,0.181,1.302,56150,11584,pattern
4,1048576,true,plain,ReadMostly,range,1.294,1.081,0.836,0.035,1.258,0.100,0.861,56150,11584,pattern
