files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
4,1048576,false,plain,Interactive,stream,0.992,9.579,9.654,0.037,0.953,0.098,7.806,4194750,4201792,pattern
4,1048576,false,plain,Interactive,random,0.982,9.567,9.739,0.037,0.944,0.109,7.749,4194750,4201792,pattern
4,1048576,false,plain,Interactive,range,0.107,9.123,85.289,0.037,0.069,0.090,7.381,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,stream,0.982,11.102,11.306,0.037,0.944,0.118,8.200,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,random,0.992,9.542,9.617,0.037,0.954,0.112,7.742,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,range,0.106,9.159,86.289,0.037,0.068,0.092,7.413,4194750,4201792,pattern
4,1048576,true,plain,Interactive,stream,0.903,1.653,1.830,0.037,0.864,0.084,1.554,56150,35136,pattern
4,1048576,true,plain,Interactive,random,0.907,2.725,3.004,0.037,0.867,0.091,2.617,56150,35136,pattern
4,1048576,true,plain,Interactive,range,1.324,2.529,1.909,0.037,1.284,0.087,2.425,56150,35136,pattern
4,1048576,true,plain,ReadMostly,stream,0.925,2.951,3.191,0.037,0.885,0.107,1.766,56150,35136,pattern
4,1048576,true,plain,ReadMostly,random,0.908,3.883,4.278,0.037,0.869,0.099,2.734,56150,35136,pattern
4,1048576,true,plain,ReadMostly,range,1.317,3.626,2.752,0.036,1.280,0.086,2.506,56150,35136,pattern
