files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
512,4096,false,plain,Interactive,stream,6.995,3.897,0.557,3.423,3.516,0.538,3.180,2151446,2215232,pattern
512,4096,false,plain,Interactive,random,6.990,3.836,0.549,3.399,3.585,0.530,3.148,2151446,2215232,pattern
512,4096,false,plain,ReadMostly,stream,6.862,3.997,0.582,3.412,3.418,0.522,3.248,2151446,2215232,pattern
512,4096,false,plain,ReadMostly,random,6.964,3.763,0.540,3.402,3.535,0.511,3.090,2151446,2215232,pattern
512,4096,false,encrypted,Interactive,stream,6.925,6.369,0.920,3.375,3.465,0.559,5.630,2151446,2215232,pattern
512,4096,false,encrypted,Interactive,random,7.233,6.588,0.911,3.484,3.709,0.568,5.809,2151446,2215232,pattern
512,4096,false,encrypted,ReadMostly,stream,6.880,6.972,1.013,3.379,3.469,0.571,6.030,2151446,2215232,pattern
512,4096,false,encrypted,ReadMostly,random,7.084,6.657,0.940,3.432,3.617,0.569,5.880,2151446,2215232,pattern
512,4096,false,signed,Interactive,stream,6.897,8.131,1.179,3.416,3.443,6.068,1.783,2151446,2229568,pattern
512,4096,false,signed,Interactive,random,7.240,8.052,1.112,3.429,3.794,5.947,1.855,2151446,2229568,pattern
512,4096,false,signed,ReadMostly,stream,6.976,8.418,1.207,3.436,3.498,6.013,2.068,2151446,2229568,pattern
512,4096,false,signed,ReadMostly,random,7.122,7.935,1.114,3.415,3.693,5.931,1.837,2151446,2229568,pattern
512,4096,false,encrypted-signed,Interactive,stream,6.860,7.719,1.125,3.376,3.449,1.343,6.116,2151446,2229568,pattern
512,4096,false,encrypted-signed,Interactive,random,7.306,7.432,1.017,3.489,3.783,1.322,5.913,2151446,2229568,pattern
512,4096,false,encrypted-signed,ReadMostly,stream,6.850,7.729,1.128,3.402,3.426,1.323,6.107,2151446,2229568,pattern
512,4096,false,encrypted-signed,ReadMostly,random,7.133,7.238,1.015,3.407,3.701,1.309,5.746,2151446,2229568,pattern
4,1048576,false,plain,Interactive,stream,1.071,9.306,8.688,0.038,1.031,0.153,8.282,4194750,4201792,pattern
4,1048576,false,plain,Interactive,random,1.370,9.169,6.694,0.050,1.301,0.166,8.195,4194750,4201792,pattern
4,1048576,false,plain,Interactive,range,0.108,8.514,78.539,0.036,0.071,0.136,7.627,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,stream,1.005,9.788,9.742,0.036,0.967,0.145,8.620,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,random,1.006,8.850,8.795,0.036,0.969,0.133,7.959,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,range,0.107,8.489,79.236,0.036,0.070,0.134,7.633,4194750,4201792,pattern
4,1048576,false,encrypted,Interactive,stream,1.101,12.734,11.571,0.039,1.060,0.174,11.355,4194750,4201792,pattern
4,1048576,false,encrypted,Interactive,random,1.029,13.046,12.674,0.038,0.990,0.187,11.605,4194750,4201792,pattern
4,1048576,false,encrypted,Interactive,range,0.109,11.621,106.473,0.036,0.072,0.145,10.383,4194750,4201792,pattern
4,1048576,false,encrypted,ReadMostly,stream,1.088,12.628,11.602,0.038,1.050,0.148,11.071,4194750,4201792,pattern
4,1048576,false,encrypted,ReadMostly,random,1.000,11.987,11.992,0.037,0.962,0.148,10.731,4194750,4201792,pattern
4,1048576,false,encrypted,ReadMostly,range,0.108,11.685,108.296,0.036,0.071,0.144,10.391,4194750,4201792,pattern
4,1048576,false,signed,Interactive,stream,1.004,14.261,14.204,0.036,0.966,11.055,2.428,4194750,4216128,pattern
4,1048576,false,signed,Interactive,random,0.994,14.132,14.224,0.036,0.956,11.012,2.348,4194750,4216128,pattern
