phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,encrypted,true,8388608,pattern,0,537.446,7501.056,8068.182,273792
stream,plain,true,8388608,pattern,0,343.804,6461.522,6831.366,273792
whole,encrypted-signed,false,8388608,pattern,0,1165.675,31314.527,33003.139,8673664
stream,signed,true,8388608,pattern,0,6947.448,2115.917,9095.835,284032
stream,encrypted,false,8388608,pattern,0,348.754,14978.860,17212.348,8659328
whole,encrypted-signed,true,8388608,pattern,0,1167.655,11397.395,12603.790,284032
whole,signed,true,8388608,pattern,0,6791.306,6387.751,13212.917,284032
range,encrypted,true,8388608,pattern,0,223.003,451.856,685.359,273792
whole,plain,false,8388608,pattern,0,308.594,18584.646,20750.753,8659328
range,encrypted,false,8388608,pattern,0,220.553,11250.173,13204.828,8659328
range,encrypted-signed,true,8388608,pattern,0,1019.493,2203.798,3239.262,284032
whole,signed,false,8388608,pattern,0,18802.729,12892.823,33790.779,8673664
range,encrypted-signed,false,8388608,pattern,0,1332.967,14369.762,17586.783,8673664
range,plain,false,8388608,pattern,0,221.593,9873.715,10353.551,8659328
range,signed,false,8388608,pattern,0,15629.618,1044.124,16960.565,8673664
stream,encrypted-signed,true,8388608,pattern,0,993.672,2196.588,3218.431,284032
stream,signed,false,8388608,pattern,0,15323.675,4706.080,20286.818,8673664
whole,encrypted,false,8388608,pattern,0,208.443,20519.091,23096.714,8659328
whole,plain,true,8388608,pattern,0,233.823,11314.914,11585.428,273792
range,plain,true,8388608,pattern,0,214.113,444.706,668.859,273792
stream,plain,false,8388608,pattern,0,158.552,10018.437,10453.983,8659328
stream,encrypted-signed,false,8388608,pattern,0,945.892,13372.630,16188.446,8673664
range,signed,true,8388608,pattern,0,8501.348,361.484,8879.012,284032
whole,encrypted,true,8388608,pattern,0,186.442,9448.870,9677.982,273792
range,signed,true,8388608,pattern,1,6736.316,345.864,7095.600,284032
range,encrypted-signed,true,8388608,pattern,1,938.862,370.185,1319.137,284032
stream,plain,false,8388608,pattern,1,150.632,10054.258,10481.284,8659328
stream,plain,true,8388608,pattern,1,200.983,2140.047,2364.500,273792
range,signed,false,8388608,pattern,1,15037.691,1019.833,16315.407,8673664
range,plain,true,8388608,pattern,1,197.073,410.645,618.458,273792
range,encrypted,false,8388608,pattern,1,161.783,7772.858,9686.714,8659328
whole,encrypted,true,8388608,pattern,1,228.283,11168.062,11431.375,273792
stream,encrypted,true,8388608,pattern,1,222.803,2055.376,2306.199,273792
whole,encrypted-signed,true,8388608,pattern,1,978.762,6501.733,7518.355,284032
whole,plain,false,8388608,pattern,1,190.682,17585.594,19627.589,8659328
whole,signed,true,8388608,pattern,1,7102.200,9335.029,16476.079,284032
range,encrypted,true,8388608,pattern,1,227.003,447.955,685.998,273792
whole,encrypted-signed,false,8388608,pattern,1,922.621,21420.482,24844.465,8673664
stream,signed,true,8388608,pattern,1,8691.120,2787.255,11508.236,284032
range,plain,false,8388608,pattern,1,198.143,6967.588,7395.054,8659328
stream,signed,false,8388608,pattern,1,15275.664,4649.109,20183.346,8673664
stream,encrypted-signed,true,8388608,pattern,1,1001.373,2099.376,3126.720,284032
whole,signed,false,8388608,pattern,1,14996.061,12710.861,29638.576,8673664
whole,plain,true,8388608,pattern,1,231.963,10065.548,10336.951,273792
stream,encrypted-signed,false,8388608,pattern,1,974.482,13615.973,16538.940,8673664
stream,encrypted,false,8388608,pattern,1,194.772,18223.122,20404.539,8659328
whole,encrypted,false,8388608,pattern,1,202.723,24788.185,27441.459,8659328
range,encrypted-signed,false,8388608,pattern,1,991.852,12590.600,15328.864,8673664
range,plain,false,8388608,pattern,2,201.833,9405.439,9803.035,8659328
range,encrypted,true,8388608,pattern,2,211.043,446.375,668.268,273792
