phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,encrypted,true,8388608,pattern,0,548.737,7800.389,8372.696,312704
stream,plain,true,8388608,pattern,0,317.864,6681.704,7026.099,312704
whole,encrypted-signed,false,8388608,pattern,0,1156.525,31309.386,32986.008,8673664
stream,signed,true,8388608,pattern,0,8015.301,3094.609,11134.051,322944
stream,encrypted,false,8388608,pattern,0,306.524,14878.079,17120.187,8659328
whole,encrypted-signed,true,8388608,pattern,0,1092.043,12113.534,13244.417,322944
whole,signed,true,8388608,pattern,0,7912.570,7422.505,15370.725,322944
range,encrypted,true,8388608,pattern,0,235.123,797.850,1043.823,312704
whole,plain,false,8388608,pattern,0,311.314,19415.196,21755.736,8659328
range,encrypted,false,8388608,pattern,0,229.213,11695.799,13835.116,8659328
range,encrypted-signed,true,8388608,pattern,0,1037.943,2323.229,3379.952,322944
whole,signed,false,8388608,pattern,0,19455.726,13001.855,34669.629,8673664
range,encrypted-signed,false,8388608,pattern,0,1427.878,12511.238,16010.163,8673664
range,plain,false,8388608,pattern,0,195.023,9885.765,10402.182,8659328
range,signed,false,8388608,pattern,0,16318.776,1042.614,17738.904,8673664
stream,encrypted-signed,true,8388608,pattern,0,1007.053,3331.372,4366.485,322944
stream,signed,false,8388608,pattern,0,15579.887,4981.553,21123.237,8673664
whole,encrypted,false,8388608,pattern,0,254.824,20772.973,23417.157,8659328
whole,plain,true,8388608,pattern,0,231.383,12083.443,12351.586,312704
range,plain,true,8388608,pattern,0,211.223,778.780,1000.613,312704
stream,plain,false,8388608,pattern,0,147.752,9978.536,10393.122,8659328
stream,encrypted-signed,false,8388608,pattern,0,967.552,14319.182,17307.849,8673664
range,signed,true,8388608,pattern,0,9398.339,675.119,10098.178,322944
whole,encrypted,true,8388608,pattern,0,197.773,10911.608,11146.912,312704
range,signed,true,8388608,pattern,1,7919.581,683.878,8617.699,322944
range,encrypted-signed,true,8388608,pattern,1,940.042,713.159,1664.321,322944
stream,plain,false,8388608,pattern,1,155.722,10233.880,10691.655,8659328
stream,plain,true,8388608,pattern,1,202.073,3095.969,3319.312,312704
range,signed,false,8388608,pattern,1,15110.501,1042.933,16422.198,8673664
range,plain,true,8388608,pattern,1,197.543,781.590,991.443,312704
range,encrypted,false,8388608,pattern,1,170.902,8347.256,10303.620,8659328
whole,encrypted,true,8388608,pattern,1,224.673,12350.986,12629.200,312704
stream,encrypted,true,8388608,pattern,1,244.483,3370.013,3650.706,312704
whole,encrypted-signed,true,8388608,pattern,1,1007.313,7925.130,8977.794,322944
whole,plain,false,8388608,pattern,1,200.573,19133.363,21357.661,8659328
whole,signed,true,8388608,pattern,1,7964.731,10908.918,18923.680,322944
range,encrypted,true,8388608,pattern,1,235.293,839.461,1087.464,312704
whole,encrypted-signed,false,8388608,pattern,1,953.343,21517.722,25084.058,8673664
stream,signed,true,8388608,pattern,1,9570.571,4005.981,13619.783,322944
range,plain,false,8388608,pattern,1,192.723,7394.073,7787.849,8659328
stream,signed,false,8388608,pattern,1,15389.846,4786.560,20704.463,8673664
stream,encrypted-signed,true,8388608,pattern,1,1053.213,3486.564,4584.538,322944
whole,signed,false,8388608,pattern,1,17143.477,13026.745,32066.076,8673664
whole,plain,true,8388608,pattern,1,240.263,10800.737,11086.620,312704
stream,encrypted-signed,false,8388608,pattern,1,1004.653,14576.974,17523.922,8673664
stream,encrypted,false,8388608,pattern,1,211.212,18230.061,20330.157,8659328
whole,encrypted,false,8388608,pattern,1,203.153,25192.649,27880.693,8659328
range,encrypted-signed,false,8388608,pattern,1,1015.783,13169.567,16079.304,8673664
range,plain,false,8388608,pattern,2,192.502,9618.322,10094.238,8659328
range,encrypted,true,8388608,pattern,2,229.683,825.961,1069.524,312704
whole,encrypted-signed,true,8388608,pattern,2,970.352,7939.471,8951.004,322944
whole,signed,false,8388608,pattern,2,16188.676,12760.011,30878.272,8673664
whole,encrypted,true,8388608,pattern,2,246.164,10890.758,11177.372,312704
stream,encrypted-signed,false,8388608,pattern,2,997.852,14114.709,17046.606,8673664
