phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
write,encrypted-signed,false,8388608,pattern,0,0.000,0.000,137853.069,8673664
write,plain,true,8388608,pattern,0,0.000,0.000,37119.963,273792
write,encrypted,false,8388608,pattern,0,0.000,0.000,133334.853,8659328
write,plain,false,8388608,pattern,0,0.000,0.000,110380.498,8659328
write,signed,false,8388608,pattern,0,0.000,0.000,122876.963,8673664
write,signed,true,8388608,pattern,0,0.000,0.000,40339.253,284032
write,encrypted-signed,true,8388608,pattern,0,0.000,0.000,40726.238,284032
write,encrypted,true,8388608,pattern,0,0.000,0.000,31369.711,273792
write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,32650.388,284032
write,signed,false,8388608,pattern,1,0.000,0.000,133239.433,8673664
write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,123866.555,8673664
write,plain,true,8388608,pattern,1,0.000,0.000,31001.167,273792
write,encrypted,false,8388608,pattern,1,0.000,0.000,124433.532,8659328
write,signed,true,8388608,pattern,1,0.000,0.000,39221.899,284032
write,plain,false,8388608,pattern,1,0.000,0.000,113624.248,8659328
write,encrypted,true,8388608,pattern,1,0.000,0.000,33145.654,273792
write,signed,false,8388608,pattern,2,0.000,0.000,122709.762,8673664
write,plain,false,8388608,pattern,2,0.000,0.000,108728.347,8659328
write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,123776.794,8673664
write,plain,true,8388608,pattern,2,0.000,0.000,32760.489,273792
write,encrypted,true,8388608,pattern,2,0.000,0.000,33800.762,273792
write,encrypted,false,8388608,pattern,2,0.000,0.000,127946.457,8659328
write,signed,true,8388608,pattern,2,0.000,0.000,45407.566,284032
write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,36834.320,284032
