phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,encrypted,true,8388608,random,0,601.558,24460.313,26195.506,8659328
stream,plain,true,8388608,random,0,422.726,16199.310,18252.398,8659328
whole,encrypted-signed,false,8388608,random,0,1402.899,29350.159,33241.022,8673664
stream,signed,true,8388608,random,0,23001.402,5065.089,29538.621,8669568
stream,encrypted,false,8388608,random,0,419.946,24184.559,26471.660,8659328
whole,encrypted-signed,true,8388608,random,0,1796.335,28283.584,32573.273,8669568
whole,signed,true,8388608,random,0,21611.844,14318.965,36599.098,8669568
range,encrypted,true,8388608,random,0,285.614,10162.868,12448.429,8659328
whole,plain,false,8388608,random,0,361.655,25764.640,28093.892,8659328
range,encrypted,false,8388608,random,0,266.244,12798.064,15020.815,8659328
range,encrypted-signed,true,8388608,random,0,1145.306,14127.162,17218.884,8669568
whole,signed,false,8388608,random,0,22694.149,13759.877,38402.242,8673664
range,encrypted-signed,false,8388608,random,0,1076.924,12556.631,15570.351,8673664
range,plain,false,8388608,random,0,253.993,10180.218,10806.116,8659328
range,signed,false,8388608,random,0,17277.054,1074.345,18915.817,8673664
stream,encrypted-signed,true,8388608,random,0,1159.756,16108.929,19354.933,8669568
stream,signed,false,8388608,random,0,22803.239,5075.490,28374.365,8673664
whole,encrypted,false,8388608,random,0,271.273,24658.525,27574.444,8659328
whole,plain,true,8388608,random,0,285.504,24594.764,26925.456,8659328
range,plain,true,8388608,random,0,327.664,8804.610,9556.580,8659328
stream,plain,false,8388608,random,0,270.894,12099.355,12942.616,8659328
stream,encrypted-signed,false,8388608,random,0,1072.834,15529.611,18615.143,8673664
range,signed,true,8388608,random,0,21661.374,1085.525,23384.958,8669568
whole,encrypted,true,8388608,random,0,335.625,24551.553,27430.613,8659328
stream,encrypted,true,8388608,random,0,767.580,24820.138,26573.101,8659328
stream,plain,true,8388608,random,0,388.685,15676.403,17738.411,8659328
whole,encrypted-signed,false,8388608,random,0,1277.248,27820.528,31480.848,8673664
stream,signed,true,8388608,random,0,23224.116,5014.248,29832.175,8669568
stream,encrypted,false,8388608,random,0,353.755,21676.794,23637.131,8659328
whole,encrypted-signed,true,8388608,random,0,1598.492,32659.124,37210.387,8669568
whole,signed,true,8388608,random,0,23334.647,17836.403,41907.440,8669568
range,encrypted,true,8388608,random,0,366.745,11740.800,14707.500,8659328
whole,plain,false,8388608,random,0,441.306,31649.980,34427.878,8659328
range,encrypted,false,8388608,random,0,294.554,15203.847,18076.506,8659328
range,encrypted-signed,true,8388608,random,0,1648.723,16820.409,20865.874,8669568
whole,signed,false,8388608,random,0,24699.605,14672.139,41592.815,8673664
range,encrypted-signed,false,8388608,random,0,1082.574,13298.141,16819.008,8673664
range,plain,false,8388608,random,0,276.634,11390.675,12065.484,8659328
range,signed,false,8388608,random,0,18776.796,1092.054,20639.631,8673664
stream,encrypted-signed,true,8388608,random,0,1604.372,18880.157,22460.236,8669568
stream,signed,false,8388608,random,0,21282.930,4983.117,26739.584,8673664
whole,encrypted,false,8388608,random,0,264.344,23296.266,26076.425,8659328
whole,plain,true,8388608,random,0,297.734,24666.406,26911.666,8659328
range,plain,true,8388608,random,0,318.124,8958.612,9636.181,8659328
stream,plain,false,8388608,random,0,226.873,11930.992,12640.862,8659328
stream,encrypted-signed,false,8388608,random,0,1101.135,16120.939,19398.104,8673664
range,signed,true,8388608,random,0,21280.570,1094.224,23090.634,8669568
whole,encrypted,true,8388608,random,0,373.955,22881.001,25662.709,8659328
stream,encrypted,true,8388608,random,0,719.070,26832.685,28762.612,8659328
stream,plain,true,8388608,random,0,451.596,16771.939,18881.547,8659328
whole,encrypted-signed,false,8388608,random,0,1320.328,35139.219,40175.167,8673664
stream,signed,true,8388608,random,0,27055.869,5248.771,33912.702,8669568
stream,encrypted,false,8388608,random,0,459.476,25045.751,27534.745,8659328
whole,encrypted-signed,true,8388608,random,0,1358.189,35127.708,39444.828,8669568
whole,signed,true,8388608,random,0,22981.613,19550.077,43335.301,8669568
range,encrypted,true,8388608,random,0,491.097,12868.066,16109.030,8659328
whole,plain,false,8388608,random,0,471.887,33941.112,37109.416,8659328
range,encrypted,false,8388608,random,0,351.414,16759.799,19752.269,8659328
range,encrypted-signed,true,8388608,random,0,1652.363,16527.485,20167.975,8669568
whole,signed,false,8388608,random,0,23383.139,15307.199,40736.716,8673664
range,encrypted-signed,false,8388608,random,0,1116.475,13763.398,17129.583,8673664
range,plain,false,8388608,random,0,281.643,10350.151,11032.660,8659328
range,signed,false,8388608,random,0,18851.047,1122.905,20801.914,8673664
stream,encrypted-signed,true,8388608,random,0,1780.885,19425.464,23862.025,8669568
stream,signed,false,8388608,random,0,25169.243,5693.548,31640.991,8673664
whole,encrypted,false,8388608,random,0,337.015,31448.609,35339.042,8659328
whole,plain,true,8388608,random,0,417.326,31359.327,34313.878,8659328
range,plain,true,8388608,random,0,345.874,10071.637,10904.738,8659328
stream,plain,false,8388608,random,0,305.714,13480.863,14555.568,8659328
stream,encrypted-signed,false,8388608,random,0,1727.603,18866.497,23347.018,8673664
range,signed,true,8388608,random,0,24737.147,1126.176,26726.534,8669568
whole,encrypted,true,8388608,random,0,406.436,30167.181,33745.840,8659328
stream,encrypted,true,8388608,random,0,621.609,24527.574,26533.562,8659328
stream,plain,true,8388608,random,0,509.127,16559.515,19135.111,8659328
whole,encrypted-signed,false,8388608,random,0,1607.772,32379.652,36965.624,8673664
stream,signed,true,8388608,random,0,24649.406,5159.170,31795.693,8669568
stream,encrypted,false,8388608,random,0,460.067,21617.624,23766.524,8659328
whole,encrypted-signed,true,8388608,random,0,1247.997,26755.275,30841.020,8669568
whole,signed,true,8388608,random,0,23265.867,18152.647,42142.024,8669568
range,encrypted,true,8388608,random,0,327.344,11565.058,14215.393,8659328
whole,plain,false,8388608,random,0,425.236,29657.944,32289.180,8659328
range,encrypted,false,8388608,random,0,307.595,14064.941,16631.267,8659328
range,encrypted-signed,true,8388608,random,0,1116.165,13763.117,17013.182,8669568
whole,signed,false,8388608,random,0,22895.742,17847.443,43363.611,8673664
range,encrypted-signed,false,8388608,random,0,1600.192,14900.793,18951.699,8673664
range,plain,false,8388608,random,0,295.284,11493.497,12188.276,8659328
range,signed,false,8388608,random,0,18185.038,1088.124,19743.259,8673664
stream,encrypted-signed,true,8388608,random,0,1074.275,14834.162,18049.676,8669568
stream,signed,false,8388608,random,0,21132.738,4917.147,26609.602,8673664
whole,encrypted,false,8388608,random,0,323.744,25576.449,28544.489,8659328
whole,plain,true,8388608,random,0,288.584,25459.407,28115.294,8659328
range,plain,true,8388608,random,0,272.104,9710.652,10540.344,8659328
stream,plain,false,8388608,random,0,319.595,12812.894,13910.880,8659328
stream,encrypted-signed,false,8388608,random,0,1581.552,18745.436,23109.026,8673664
range,signed,true,8388608,random,0,23294.888,1078.724,24825.268,8669568
whole,encrypted,true,8388608,random,0,270.194,22891.032,25753.571,8659328
stream,encrypted,true,8388608,random,0,641.799,23912.097,25472.228,8659328
stream,plain,true,8388608,random,0,368.405,15523.202,17597.010,8659328
whole,encrypted-signed,false,8388608,random,0,1267.597,26769.815,30459.666,8673664
stream,signed,true,8388608,random,0,21190.699,4758.955,27228.262,8669568
stream,encrypted,false,8388608,random,0,306.414,19390.965,21062.718,8659328
whole,encrypted-signed,true,8388608,random,0,1155.656,23964.737,27584.577,8669568
whole,signed,true,8388608,random,0,20005.783,13896.820,34500.211,8669568
range,encrypted,true,8388608,random,0,304.934,9906.335,12613.502,8659328
whole,plain,false,8388608,random,0,449.496,26098.397,28619.681,8659328
range,encrypted,false,8388608,random,0,258.704,12094.705,14078.813,8659328
range,encrypted-signed,true,8388608,random,0,1088.355,13289.471,16132.100,8669568
whole,signed,false,8388608,random,0,22051.341,12930.756,36787.762,8673664
range,encrypted-signed,false,8388608,random,0,1046.475,11490.107,14384.357,8673664
range,plain,false,8388608,random,0,286.094,9744.453,10309.451,8659328
range,signed,false,8388608,random,0,15988.658,1117.226,17772.253,8673664
stream,encrypted-signed,true,8388608,random,0,1101.355,15083.556,18147.218,8669568
stream,signed,false,8388608,random,0,20604.052,4856.186,25774.412,8673664
whole,encrypted,false,8388608,random,0,254.543,22261.864,25196.084,8659328
whole,plain,true,8388608,random,0,324.985,24713.697,27063.100,8659328
range,plain,true,8388608,random,0,321.415,8498.106,9131.425,8659328
stream,plain,false,8388608,random,0,229.313,11297.285,11918.143,8659328
stream,encrypted-signed,false,8388608,random,0,1039.624,15470.182,18647.555,8673664
range,signed,true,8388608,random,0,21197.790,1066.974,22572.149,8669568
whole,encrypted,true,8388608,random,0,235.153,21907.639,24679.127,8659328
stream,encrypted,true,8388608,random,0,604.018,22452.477,23896.527,8659328
stream,plain,true,8388608,random,0,363.805,14264.855,15895.577,8659328
whole,encrypted-signed,false,8388608,random,0,1183.836,25623.900,29103.187,8673664
stream,signed,true,8388608,random,0,20960.897,4767.745,26893.098,8669568
stream,encrypted,false,8388608,random,0,365.355,18987.380,20625.562,8659328
whole,encrypted-signed,true,8388608,random,0,1131.896,23763.414,27111.381,8669568
whole,signed,true,8388608,random,0,20137.965,13274.982,33905.783,8669568
range,encrypted,true,8388608,random,0,274.664,8652.928,10619.175,8659328
whole,plain,false,8388608,random,0,380.185,23964.908,26061.146,8659328
range,encrypted,false,8388608,random,0,234.694,11377.285,13242.601,8659328
range,encrypted-signed,true,8388608,random,0,1024.944,12559.381,15198.127,8669568
whole,signed,false,8388608,random,0,20919.755,12623.713,35249.431,8673664
range,encrypted-signed,false,8388608,random,0,1014.413,11253.594,13851.879,8673664
range,plain,false,8388608,random,0,213.633,9170.345,9563.211,8659328
range,signed,false,8388608,random,0,15245.938,1038.444,16490.375,8673664
stream,encrypted-signed,true,8388608,random,0,977.913,14798.532,17815.363,8669568
stream,signed,false,8388608,random,0,19742.210,4781.495,24794.939,8673664
whole,encrypted,false,8388608,random,0,220.293,20698.163,23218.068,8659328
whole,plain,true,8388608,random,0,260.953,23100.536,25117.853,8659328
range,plain,true,8388608,random,0,247.904,8136.381,8575.358,8659328
stream,plain,false,8388608,random,0,178.992,10405.962,10874.648,8659328
stream,encrypted-signed,false,8388608,random,0,991.843,14142.623,16957.781,8673664
range,signed,true,8388608,random,0,19715.429,1048.864,20982.206,8669568
whole,encrypted,true,8388608,random,0,216.633,21401.023,24022.619,8659328
stream,encrypted,true,8388608,random,0,599.168,23129.267,24772.699,8659328
stream,plain,true,8388608,random,0,385.265,14872.203,16637.537,8659328
whole,encrypted-signed,false,8388608,random,0,1232.287,27552.857,31325.459,8673664
stream,signed,true,8388608,random,0,22064.822,4932.278,28557.041,8669568
stream,encrypted,false,8388608,random,0,471.086,20795.575,22879.843,8659328
whole,encrypted-signed,true,8388608,random,0,1279.538,26049.646,29728.017,8669568
whole,signed,true,8388608,random,0,21307.512,13730.198,35670.518,8669568
range,encrypted,true,8388608,random,0,428.085,10552.275,12765.414,8659328
whole,plain,false,8388608,random,0,393.745,25300.446,27874.171,8659328
range,encrypted,false,8388608,random,0,337.775,12963.347,15148.248,8659328
range,encrypted-signed,true,8388608,random,0,1218.537,16021.709,19070.761,8669568
whole,signed,false,8388608,random,0,21784.748,13890.240,37620.875,8673664
range,encrypted-signed,false,8388608,random,0,1186.276,13277.921,16288.202,8673664
range,plain,false,8388608,random,0,358.955,10459.373,11130.862,8659328
range,signed,false,8388608,random,0,16773.790,1061.694,18356.942,8673664
stream,encrypted-signed,true,8388608,random,0,1195.296,15841.707,18922.809,8669568
stream,signed,false,8388608,random,0,20919.377,5050.809,26557.824,8673664
whole,encrypted,false,8388608,random,0,463.606,24205.282,27048.660,8659328
whole,plain,true,8388608,random,0,457.166,24946.341,27698.469,8659328
range,plain,true,8388608,random,0,365.605,8703.439,9393.749,8659328
stream,plain,false,8388608,random,0,339.274,12239.018,13003.648,8659328
stream,encrypted-signed,false,8388608,random,0,1162.366,16169.761,19220.493,8673664
range,signed,true,8388608,random,0,21491.034,1066.165,23006.705,8669568
whole,encrypted,true,8388608,random,0,400.175,22856.253,25553.049,8659328
stream,encrypted,true,8388608,random,0,666.469,24288.713,26297.430,8659328
stream,plain,true,8388608,random,0,387.685,15313.810,17339.828,8659328
whole,encrypted-signed,false,8388608,random,0,1255.897,28671.172,32802.009,8673664
stream,signed,true,8388608,random,0,21615.536,4808.106,27898.892,8669568
stream,encrypted,false,8388608,random,0,388.066,20226.367,22186.604,8659328
whole,encrypted-signed,true,8388608,random,0,1558.672,26174.208,30489.858,8669568
whole,signed,true,8388608,random,0,21442.264,13709.847,35614.748,8669568
range,encrypted,true,8388608,random,0,273.314,9800.074,12088.235,8659328
whole,plain,false,8388608,random,0,368.855,25178.624,27532.887,8659328
range,encrypted,false,8388608,random,0,247.723,11785.072,14031.812,8659328
range,encrypted-signed,true,8388608,random,0,1034.105,14421.467,17380.168,8669568
whole,signed,false,8388608,random,0,21305.981,12826.146,36117.254,8673664
range,encrypted-signed,false,8388608,random,0,1009.953,11593.479,14502.128,8673664
range,plain,false,8388608,random,0,215.823,9737.264,10179.190,8659328
range,signed,false,8388608,random,0,15384.961,1040.604,16692.078,8673664
stream,encrypted-signed,true,8388608,random,0,988.393,14524.629,17522.830,8669568
stream,signed,false,8388608,random,0,20441.710,4831.846,25572.650,8673664
whole,encrypted,false,8388608,random,0,229.143,21870.540,24998.942,8659328
whole,plain,true,8388608,random,0,262.663,23922.288,26354.491,8659328
range,plain,true,8388608,random,0,289.604,8581.028,9200.796,8659328
stream,plain,false,8388608,random,0,231.803,11863.203,12545.382,8659328
stream,encrypted-signed,false,8388608,random,0,1010.744,15276.089,18570.615,8673664
range,signed,true,8388608,random,0,20915.946,1050.435,22260.315,8669568
whole,encrypted,true,8388608,random,0,226.323,22481.768,25999.126,8659328
stream,encrypted,true,8388608,random,0,670.409,24912.313,26548.305,8659328
stream,plain,true,8388608,random,0,401.565,15059.867,16880.552,8659328
whole,encrypted-signed,false,8388608,random,0,1199.076,27708.661,31282.190,8673664
stream,signed,true,8388608,random,0,21680.118,4684.465,27659.211,8669568
stream,encrypted,false,8388608,random,0,360.465,20595.093,22378.388,8659328
whole,encrypted-signed,true,8388608,random,0,1146.906,25550.571,29283.973,8669568
whole,signed,true,8388608,random,0,21461.805,14131.144,36065.156,8669568
range,encrypted,true,8388608,random,0,285.864,9226.107,11265.855,8659328
whole,plain,false,8388608,random,0,373.936,26299.371,28612.264,8659328
range,encrypted,false,8388608,random,0,243.274,13284.492,15444.383,8659328
