phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,encrypted,true,8388608,random,0,863.711,33581.486,37937.165,8659328
stream,plain,true,8388608,random,0,549.018,18450.970,23200.375,8659328
whole,encrypted-signed,false,8388608,random,0,1915.966,44980.591,51731.283,8673664
stream,signed,true,8388608,random,0,26785.794,5746.258,35276.239,8669568
stream,encrypted,false,8388608,random,0,580.458,23015.772,28491.047,8659328
whole,encrypted-signed,true,8388608,random,0,1911.186,43541.051,51166.815,8669568
whole,signed,true,8388608,random,0,26271.427,20475.638,52070.147,8669568
range,encrypted,true,8388608,random,0,441.486,20328.036,25015.610,8659328
whole,plain,false,8388608,random,0,510.257,36797.650,42809.352,8659328
range,encrypted,false,8388608,random,0,392.235,20243.875,24720.055,8659328
range,encrypted-signed,true,8388608,random,0,1672.043,19113.410,24913.519,8669568
whole,signed,false,8388608,random,0,27787.287,20390.657,52959.969,8673664
range,encrypted-signed,false,8388608,random,0,1683.973,17854.402,23756.822,8673664
range,plain,false,8388608,random,0,477.106,12390.029,14927.682,8659328
range,signed,false,8388608,random,0,20648.801,1129.495,24573.054,8673664
stream,encrypted-signed,true,8388608,random,0,2222.320,23030.933,30125.569,8669568
stream,signed,false,8388608,random,0,25649.528,5927.811,34437.637,8673664
whole,encrypted,false,8388608,random,0,399.425,36368.854,42538.608,8659328
whole,plain,true,8388608,random,0,373.765,32720.445,38260.060,8659328
range,plain,true,8388608,random,0,368.055,12409.018,14970.493,8659328
stream,plain,false,8388608,random,0,326.134,13438.133,16679.136,8659328
stream,encrypted-signed,false,8388608,random,0,1598.641,21902.148,28480.716,8673664
range,signed,true,8388608,random,0,24208.578,1108.266,28183.873,8669568
whole,encrypted,true,8388608,random,0,414.126,36179.891,42381.866,8659328
stream,encrypted,true,8388608,random,0,646.169,27228.010,30647.587,8659328
stream,plain,true,8388608,random,0,390.976,14848.092,18506.882,8659328
whole,encrypted-signed,false,8388608,random,0,1193.607,32895.997,37907.376,8673664
stream,signed,true,8388608,random,0,21597.733,4863.987,28618.119,8669568
stream,encrypted,false,8388608,random,0,385.625,17790.333,22015.350,8659328
whole,encrypted-signed,true,8388608,random,0,1178.536,32434.361,38333.342,8669568
whole,signed,true,8388608,random,0,21026.096,15171.177,40272.628,8669568
range,encrypted,true,8388608,random,0,316.785,15917.406,19527.886,8659328
whole,plain,false,8388608,random,0,373.995,28284.764,32721.855,8659328
range,encrypted,false,8388608,random,0,249.393,16212.791,19715.058,8659328
