case,round,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,0,816.124,33396.551,37804.737,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,1,294.165,22124.419,25852.513,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,2,220.704,20657.354,25193.131,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,3,283.185,24024.221,28739.282,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,4,294.125,24113.933,27893.028,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,5,275.305,20071.093,23852.508,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,6,237.124,22206.310,26830.329,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,7,313.115,23452.771,27130.044,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,8,242.885,19425.912,23022.394,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,9,236.814,19625.506,23222.507,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,10,242.994,19321.041,22869.181,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,11,269.864,20504.271,25061.239,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,12,311.816,20720.964,24389.778,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,13,293.025,21325.735,25162.001,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,14,303.135,22959.713,26736.647,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,15,313.125,20144.875,23821.687,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,16,318.466,20216.246,23983.120,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,17,381.357,21241.093,24998.578,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,18,333.295,20442.190,24297.276,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,19,318.266,20109.554,23882.589,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,20,274.065,19885.540,23488.592,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,21,262.935,19542.534,23218.537,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,22,313.735,19542.435,23142.626,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,23,245.144,19298.980,22826.791,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,24,269.925,19408.142,23017.324,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,25,269.775,19978.992,24306.716,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,26,272.904,21631.111,25899.363,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,27,262.285,19339.201,22885.322,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,28,251.584,19449.223,23081.665,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,29,261.595,19405.392,22930.732,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,30,249.684,19165.648,22844.181,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,31,261.315,19537.904,23132.746,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,32,271.184,19270.870,22893.881,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,33,287.685,19490.623,23609.444,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,34,298.905,19516.904,23191.067,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,35,257.564,19940.371,23521.752,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,36,263.854,19617.576,23234.987,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,37,300.535,20404.469,24203.304,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,38,334.766,19715.458,23344.440,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,39,267.605,19327.730,22828.331,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,40,258.925,19420.232,23278.799,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,41,286.705,19911.121,23666.625,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,42,306.325,19725.157,23304.858,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,43,259.584,19650.686,23214.777,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,44,246.634,19663.496,23348.259,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,45,275.335,22144.529,26550.115,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,46,317.156,22792.970,27334.738,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,47,299.816,22253.250,26685.727,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,48,305.565,22064.467,26554.334,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,49,308.026,21996.516,25865.883,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,50,253.324,19761.778,23316.988,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,51,261.874,20521.031,24404.357,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,52,217.524,20150.904,24517.389,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,53,315.395,22249.351,26500.723,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,54,295.845,21339.485,25652.469,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,55,239.964,19897.061,23520.543,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,56,258.395,19615.705,23191.647,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,57,303.795,21313.674,25184.060,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,58,289.015,19778.598,23527.022,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,59,240.564,21937.845,26638.586,8659328
encrypted/false/stream,0,main,stream,encrypted,false,8388608,random,60,293.085,22481.325,26868.500,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,0,570.390,23931.599,25540.736,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,1,228.844,17564.360,19420.442,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,2,230.554,16826.188,18635.319,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,3,220.784,16929.419,18784.481,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,4,222.393,16851.348,18682.949,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,5,230.224,17247.815,19162.628,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,6,228.214,17837.785,19736.978,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,7,249.234,17440.198,19377.371,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,8,230.494,17400.227,19659.786,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,9,324.026,17627.781,19706.057,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,10,269.104,17633.192,19537.304,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,11,284.245,17454.858,19367.291,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,12,294.985,17635.252,19959.742,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,13,330.486,17853.775,19782.988,8659328
encrypted/false/stream,1,branch,stream,encrypted,false,8388608,random,14,234.204,17569.420,19710.427,8659328
