case,metric,main_us,branch_us,paired_change_pct,low95_pct,high95_pct,pairs
encrypted-signed/false/range,open,1065.106,1124.827,3.608,-0.345,11.699,7
encrypted-signed/false/range,read,14104.735,12457.251,-10.648,-18.066,-0.795,7
encrypted-signed/false/range,total,17283.938,14725.786,-13.895,-18.358,-6.211,7
encrypted-signed/false/stream,open,1031.745,1045.316,1.514,-7.318,5.898,7
encrypted-signed/false/stream,read,148523.585,133914.171,-11.501,-17.306,-9.836,7
encrypted-signed/false/stream,total,172377.921,145434.905,-16.900,-20.766,-15.602,7
encrypted-signed/false/stream-content,open,1061.226,1080.567,3.524,-11.346,7.671,7
encrypted-signed/false/stream-content,read,150867.197,136741.908,-12.352,-17.218,-8.220,7
encrypted-signed/false/stream-content,total,174957.185,148917.304,-17.696,-22.610,-13.936,7
encrypted-signed/false/whole,open,1065.106,1060.656,1.962,-17.072,5.166,7
encrypted-signed/false/whole,read,236798.156,201683.142,-12.991,-19.402,-11.288,7
encrypted-signed/false/whole,total,260542.639,214003.848,-17.132,-22.654,-14.758,7
encrypted-signed/true/range,open,1035.206,1102.057,3.290,1.029,15.151,7
encrypted-signed/true/range,read,1814.828,1550.924,-14.564,-30.312,-13.034,7
encrypted-signed/true/range,total,3060.547,2778.153,-12.908,-20.339,-9.526,7
encrypted-signed/true/stream,open,1106.697,1150.258,-0.791,-3.038,13.991,7
encrypted-signed/true/stream,read,46874.957,29479.479,-35.022,-35.841,-30.219,7
encrypted-signed/true/stream,total,48054.325,30719.178,-34.171,-34.925,-29.695,7
encrypted-signed/true/stream-content,open,1127.497,1148.948,2.053,-16.235,4.704,7
encrypted-signed/true/stream-content,read,26865.761,26953.893,-0.142,-17.574,1.127,7
encrypted-signed/true/stream-content,total,28207.422,28244.292,-0.699,-18.542,0.925,7
encrypted-signed/true/whole,open,1050.376,1081.967,5.374,2.287,11.366,7
encrypted-signed/true/whole,read,112457.007,98203.625,-11.510,-16.574,-3.097,7
encrypted-signed/true/whole,total,113696.056,99862.501,-11.425,-16.433,-2.970,7
encrypted/false/range,open,330.475,279.555,-5.380,-10.811,0.946,7
encrypted/false/range,read,13506.576,12325.750,-6.999,-10.709,-6.372,7
encrypted/false/range,total,15975.746,14306.251,-12.390,-20.394,-6.114,7
encrypted/false/stream,open,247.523,247.834,1.943,-5.241,6.521,7
encrypted/false/stream,read,146936.781,131845.624,-10.702,-21.294,-4.433,7
encrypted/false/stream,total,170290.742,142826.462,-16.390,-24.438,-11.365,7
encrypted/false/stream-content,open,286.254,248.734,-2.143,-7.401,4.651,7
encrypted/false/stream-content,read,148853.089,136888.554,-13.045,-17.975,-5.491,7
encrypted/false/stream-content,total,173281.821,149515.269,-18.359,-20.554,-11.970,7
encrypted/false/whole,open,296.085,293.465,-0.885,-13.316,0.642,7
encrypted/false/whole,read,233663.155,208262.658,-12.071,-17.316,-9.293,7
encrypted/false/whole,total,256985.438,220062.929,-15.598,-21.102,-12.570,7
encrypted/true/range,open,363.686,350.936,-1.429,-13.200,9.996,7
encrypted/true/range,read,1898.919,1291.820,-10.079,-31.103,-7.088,7
encrypted/true/range,total,2322.685,1673.276,-11.931,-29.886,-7.942,7
encrypted/true/stream,open,368.886,341.985,-9.135,-15.528,-1.728,7
