pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,stream,encrypted,false,8388608,random,1,224.183,18920.196,22419.472,8659328
0,0,main,stream,encrypted,false,8388608,random,2,223.953,18513.290,21959.845,8659328
0,0,main,stream,encrypted,false,8388608,random,3,215.743,18353.027,21769.011,8659328
0,0,main,stream,encrypted,false,8388608,random,4,223.654,18254.055,21672.280,8659328
0,0,main,stream,encrypted,false,8388608,random,5,213.594,18478.338,22036.956,8659328
0,1,branch,stream,encrypted,false,8388608,random,1,214.473,17468.902,19240.991,8659328
0,1,branch,stream,encrypted,false,8388608,random,2,227.824,16737.441,18590.611,8659328
0,1,branch,stream,encrypted,false,8388608,random,3,231.223,16899.854,18827.004,8659328
0,1,branch,stream,encrypted,false,8388608,random,4,221.273,17485.333,19461.954,8659328
0,1,branch,stream,encrypted,false,8388608,random,5,234.524,17104.506,18803.854,8659328
0,2,branch,stream,encrypted,false,8388608,random,1,219.134,17230.948,19031.758,8659328
0,2,branch,stream,encrypted,false,8388608,random,2,232.883,16621.359,18411.947,8659328
0,2,branch,stream,encrypted,false,8388608,random,3,210.233,16516.747,18226.175,8659328
0,2,branch,stream,encrypted,false,8388608,random,4,205.794,16583.328,18315.426,8659328
0,2,branch,stream,encrypted,false,8388608,random,5,208.843,16531.298,18389.497,8659328
0,3,main,stream,encrypted,false,8388608,random,1,224.583,19117.779,22543.324,8659328
0,3,main,stream,encrypted,false,8388608,random,2,217.933,18148.834,21670.410,8659328
0,3,main,stream,encrypted,false,8388608,random,3,216.673,18375.307,21818.843,8659328
0,3,main,stream,encrypted,false,8388608,random,4,214.854,18612.391,22115.538,8659328
0,3,main,stream,encrypted,false,8388608,random,5,231.223,18889.966,22431.052,8659328
1,0,branch,stream,encrypted,false,8388608,random,1,223.003,17281.910,19047.578,8659328
1,0,branch,stream,encrypted,false,8388608,random,2,217.414,16586.698,18352.387,8659328
1,0,branch,stream,encrypted,false,8388608,random,3,210.393,16878.363,18604.741,8659328
1,0,branch,stream,encrypted,false,8388608,random,4,224.594,16698.530,18497.729,8659328
1,0,branch,stream,encrypted,false,8388608,random,5,209.284,16593.928,18242.265,8659328
1,1,main,stream,encrypted,false,8388608,random,1,227.644,19347.673,22863.550,8659328
1,1,main,stream,encrypted,false,8388608,random,2,231.263,18906.536,22539.364,8659328
1,1,main,stream,encrypted,false,8388608,random,3,229.413,18790.444,22276.250,8659328
1,1,main,stream,encrypted,false,8388608,random,4,241.814,18539.149,21978.435,8659328
1,1,main,stream,encrypted,false,8388608,random,5,226.984,18499.599,21974.595,8659328
1,2,main,stream,encrypted,false,8388608,random,1,220.963,19021.628,22445.333,8659328
1,2,main,stream,encrypted,false,8388608,random,2,224.074,18352.307,21810.043,8659328
1,2,main,stream,encrypted,false,8388608,random,3,226.443,18403.878,21850.813,8659328
1,2,main,stream,encrypted,false,8388608,random,4,213.553,18101.393,21516.177,8659328
1,2,main,stream,encrypted,false,8388608,random,5,209.013,18168.784,21583.309,8659328
1,3,branch,stream,encrypted,false,8388608,random,1,216.083,17468.423,19291.582,8659328
1,3,branch,stream,encrypted,false,8388608,random,2,225.434,16846.882,18738.754,8659328
1,3,branch,stream,encrypted,false,8388608,random,3,204.323,16944.104,18952.307,8659328
1,3,branch,stream,encrypted,false,8388608,random,4,226.404,17033.025,18926.726,8659328
1,3,branch,stream,encrypted,false,8388608,random,5,218.923,16658.700,18429.038,8659328
2,0,main,stream,encrypted,false,8388608,random,1,219.403,19084.429,22557.004,8659328
2,0,main,stream,encrypted,false,8388608,random,2,222.494,18692.022,22208.259,8659328
2,0,main,stream,encrypted,false,8388608,random,3,232.244,19528.905,23075.613,8659328
2,0,main,stream,encrypted,false,8388608,random,4,234.814,19048.978,22656.597,8659328
2,0,main,stream,encrypted,false,8388608,random,5,233.683,18680.872,22168.628,8659328
2,1,branch,stream,encrypted,false,8388608,random,1,208.973,17159.567,18976.436,8659328
2,1,branch,stream,encrypted,false,8388608,random,2,215.604,16834.452,18587.471,8659328
2,1,branch,stream,encrypted,false,8388608,random,3,210.724,16643.309,18438.728,8659328
2,1,branch,stream,encrypted,false,8388608,random,4,219.064,16655.799,18415.678,8659328
2,1,branch,stream,encrypted,false,8388608,random,5,213.594,16682.839,18416.728,8659328
2,2,branch,stream,encrypted,false,8388608,random,1,221.314,17342.280,19130.570,8659328
2,2,branch,stream,encrypted,false,8388608,random,2,220.634,16597.598,18453.249,8659328
2,2,branch,stream,encrypted,false,8388608,random,3,217.374,16681.350,18449.719,8659328
2,2,branch,stream,encrypted,false,8388608,random,4,218.764,16686.130,18765.154,8659328
2,2,branch,stream,encrypted,false,8388608,random,5,220.114,17028.195,18850.465,8659328
2,3,main,stream,encrypted,false,8388608,random,1,233.344,19295.202,22807.769,8659328
2,3,main,stream,encrypted,false,8388608,random,2,251.384,18481.119,21949.625,8659328
2,3,main,stream,encrypted,false,8388608,random,3,222.233,18743.413,22291.700,8659328
2,3,main,stream,encrypted,false,8388608,random,4,251.414,19102.289,22661.156,8659328
2,3,main,stream,encrypted,false,8388608,random,5,235.164,19151.369,22665.716,8659328
3,0,branch,stream,encrypted,false,8388608,random,1,228.523,17280.680,19107.968,8659328
3,0,branch,stream,encrypted,false,8388608,random,2,221.184,16683.489,18490.399,8659328
3,0,branch,stream,encrypted,false,8388608,random,3,213.533,16576.938,18339.596,8659328
3,0,branch,stream,encrypted,false,8388608,random,4,222.473,16626.599,18406.427,8659328
3,0,branch,stream,encrypted,false,8388608,random,5,216.624,16949.433,18943.896,8659328
3,1,main,stream,encrypted,false,8388608,random,1,231.134,19300.771,22777.888,8659328
3,1,main,stream,encrypted,false,8388608,random,2,233.633,18588.241,22089.747,8659328
3,1,main,stream,encrypted,false,8388608,random,3,225.234,18419.168,21852.414,8659328
3,1,main,stream,encrypted,false,8388608,random,4,229.744,18374.077,21818.173,8659328
3,1,main,stream,encrypted,false,8388608,random,5,226.793,18654.362,22141.428,8659328
3,2,main,stream,encrypted,false,8388608,random,1,223.913,19205.591,22645.836,8659328
3,2,main,stream,encrypted,false,8388608,random,2,217.254,18791.604,22263.000,8659328
3,2,main,stream,encrypted,false,8388608,random,3,222.793,18832.885,23020.592,8659328
