pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,range,plain,false,8388608,random,1,202.114,9817.438,12641.424,8659328
0,0,main,range,plain,false,8388608,random,2,199.493,9486.652,12268.767,8659328
0,0,main,range,plain,false,8388608,random,3,191.943,9302.470,12027.594,8659328
0,0,main,range,plain,false,8388608,random,4,184.993,9382.081,12119.185,8659328
0,0,main,range,plain,false,8388608,random,5,191.143,9256.029,12035.993,8659328
0,1,branch,range,plain,false,8388608,random,1,204.513,9521.233,10970.826,8659328
0,1,branch,range,plain,false,8388608,random,2,185.183,9320.150,10693.662,8659328
0,1,branch,range,plain,false,8388608,random,3,181.443,9696.736,11176.330,8659328
0,1,branch,range,plain,false,8388608,random,4,189.273,9446.923,10934.196,8659328
0,1,branch,range,plain,false,8388608,random,5,191.203,9547.374,11047.928,8659328
0,2,branch,range,plain,false,8388608,random,1,187.133,9496.573,10968.636,8659328
0,2,branch,range,plain,false,8388608,random,2,185.283,9673.906,11168.070,8659328
0,2,branch,range,plain,false,8388608,random,3,191.613,9445.992,10849.504,8659328
0,2,branch,range,plain,false,8388608,random,4,179.193,9894.799,11914.552,8659328
0,2,branch,range,plain,false,8388608,random,5,215.774,9945.170,11486.045,8659328
0,3,main,range,plain,false,8388608,random,1,195.203,9755.507,12647.103,8659328
0,3,main,range,plain,false,8388608,random,2,196.093,9423.172,12203.237,8659328
0,3,main,range,plain,false,8388608,random,3,202.594,9487.092,12256.878,8659328
0,3,main,range,plain,false,8388608,random,4,188.333,9372.891,12167.056,8659328
0,3,main,range,plain,false,8388608,random,5,190.123,9315.240,12105.885,8659328
1,0,branch,range,plain,false,8388608,random,1,176.933,9427.281,10830.974,8659328
1,0,branch,range,plain,false,8388608,random,2,183.433,9292.209,10671.102,8659328
1,0,branch,range,plain,false,8388608,random,3,212.474,9593.284,11046.938,8659328
1,0,branch,range,plain,false,8388608,random,4,188.963,9322.060,10697.872,8659328
1,0,branch,range,plain,false,8388608,random,5,173.962,9428.432,10869.585,8659328
1,1,main,range,plain,false,8388608,random,1,206.823,9730.627,12634.273,8659328
1,1,main,range,plain,false,8388608,random,2,218.854,9736.756,12637.774,8659328
1,1,main,range,plain,false,8388608,random,3,212.043,9872.529,12799.175,8659328
1,1,main,range,plain,false,8388608,random,4,216.604,9641.595,12594.363,8659328
1,1,main,range,plain,false,8388608,random,5,229.354,10021.231,12878.377,8659328
1,2,main,range,plain,false,8388608,random,1,182.903,9279.069,11995.903,8659328
1,2,main,range,plain,false,8388608,random,2,176.333,9351.731,12178.496,8659328
1,2,main,range,plain,false,8388608,random,3,200.123,9733.347,12622.233,8659328
1,2,main,range,plain,false,8388608,random,4,214.514,9714.546,12589.123,8659328
1,2,main,range,plain,false,8388608,random,5,209.903,9621.795,12482.820,8659328
1,3,branch,range,plain,false,8388608,random,1,186.403,9776.018,11316.352,8659328
1,3,branch,range,plain,false,8388608,random,2,202.993,9803.298,11596.057,8659328
1,3,branch,range,plain,false,8388608,random,3,242.743,10134.874,11617.847,8659328
1,3,branch,range,plain,false,8388608,random,4,198.753,9348.901,10747.913,8659328
1,3,branch,range,plain,false,8388608,random,5,176.553,9598.654,11013.957,8659328
2,0,main,range,plain,false,8388608,random,1,198.063,9418.961,12171.795,8659328
2,0,main,range,plain,false,8388608,random,2,193.223,9381.521,12128.435,8659328
2,0,main,range,plain,false,8388608,random,3,187.323,9606.354,12392.809,8659328
2,0,main,range,plain,false,8388608,random,4,190.383,9528.743,12288.998,8659328
2,0,main,range,plain,false,8388608,random,5,190.843,9637.816,12456.911,8659328
2,1,branch,range,plain,false,8388608,random,1,207.793,9758.907,11619.077,8659328
2,1,branch,range,plain,false,8388608,random,2,214.744,9902.529,11545.416,8659328
2,1,branch,range,plain,false,8388608,random,3,212.353,9918.660,11495.355,8659328
2,1,branch,range,plain,false,8388608,random,4,203.063,9944.020,11727.999,8659328
2,1,branch,range,plain,false,8388608,random,5,224.073,10220.125,11875.451,8659328
2,2,branch,range,plain,false,8388608,random,1,193.353,9440.012,10834.794,8659328
2,2,branch,range,plain,false,8388608,random,2,177.683,9416.121,10869.285,8659328
2,2,branch,range,plain,false,8388608,random,3,194.964,9443.382,10991.087,8659328
2,2,branch,range,plain,false,8388608,random,4,201.573,9715.647,11403.824,8659328
2,2,branch,range,plain,false,8388608,random,5,236.634,9857.079,11536.256,8659328
2,3,main,range,plain,false,8388608,random,1,216.474,9964.020,12965.399,8659328
2,3,main,range,plain,false,8388608,random,2,216.963,9774.558,12803.396,8659328
2,3,main,range,plain,false,8388608,random,3,216.293,10137.853,13069.410,8659328
2,3,main,range,plain,false,8388608,random,4,230.734,10114.032,13140.371,8659328
2,3,main,range,plain,false,8388608,random,5,250.464,10239.655,13219.203,8659328
3,0,branch,range,plain,false,8388608,random,1,215.914,10115.353,11743.729,8659328
3,0,branch,range,plain,false,8388608,random,2,231.104,9841.788,11411.874,8659328
3,0,branch,range,plain,false,8388608,random,3,198.663,9638.145,11198.830,8659328
3,0,branch,range,plain,false,8388608,random,4,196.563,9765.608,11280.132,8659328
