pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,range,signed,false,8388608,random,1,18902.805,1095.238,23239.405,8673664
0,0,main,range,signed,false,8388608,random,2,20196.885,1045.137,24515.545,8673664
0,0,main,range,signed,false,8388608,random,3,20234.886,1040.107,24515.345,8673664
0,0,main,range,signed,false,8388608,random,4,20350.368,1052.707,24753.239,8673664
0,0,main,range,signed,false,8388608,random,5,20767.975,1048.587,25232.317,8673664
0,1,branch,range,signed,false,8388608,random,1,18956.816,1044.037,21610.479,8673664
0,1,branch,range,signed,false,8388608,random,2,20286.487,1049.397,23132.323,8673664
0,1,branch,range,signed,false,8388608,random,3,20205.016,1040.147,22645.465,8673664
0,1,branch,range,signed,false,8388608,random,4,20247.116,1038.367,22935.350,8673664
0,1,branch,range,signed,false,8388608,random,5,20394.329,1051.567,23069.002,8673664
0,2,branch,range,signed,false,8388608,random,1,19504.065,1037.616,22212.648,8673664
0,2,branch,range,signed,false,8388608,random,2,20200.916,1045.657,22842.539,8673664
0,2,branch,range,signed,false,8388608,random,3,20296.278,1044.897,22921.500,8673664
0,2,branch,range,signed,false,8388608,random,4,20291.457,1041.937,22796.788,8673664
0,2,branch,range,signed,false,8388608,random,5,20225.246,1045.777,22879.889,8673664
0,3,main,range,signed,false,8388608,random,1,18828.554,1041.317,23162.574,8673664
0,3,main,range,signed,false,8388608,random,2,20140.235,1038.197,24508.615,8673664
0,3,main,range,signed,false,8388608,random,3,20262.697,1043.537,24576.027,8673664
0,3,main,range,signed,false,8388608,random,4,20227.597,1040.607,24523.636,8673664
0,3,main,range,signed,false,8388608,random,5,20320.268,1045.367,24606.237,8673664
1,0,branch,range,signed,false,8388608,random,1,18887.645,1045.587,21535.798,8673664
1,0,branch,range,signed,false,8388608,random,2,20649.783,1039.907,23462.349,8673664
1,0,branch,range,signed,false,8388608,random,3,20746.744,1049.667,23489.768,8673664
1,0,branch,range,signed,false,8388608,random,4,20679.514,1046.197,23461.629,8673664
1,0,branch,range,signed,false,8388608,random,5,20747.614,1037.417,23410.207,8673664
1,1,main,range,signed,false,8388608,random,1,20024.033,1065.617,25284.778,8673664
1,1,main,range,signed,false,8388608,random,2,21393.905,1043.547,25692.994,8673664
1,1,main,range,signed,false,8388608,random,3,20254.257,1043.497,24601.707,8673664
1,1,main,range,signed,false,8388608,random,4,20208.376,1043.626,24504.275,8673664
1,1,main,range,signed,false,8388608,random,5,20334.758,1047.517,24658.737,8673664
1,2,main,range,signed,false,8388608,random,1,19109.948,1046.667,23404.087,8673664
1,2,main,range,signed,false,8388608,random,2,20260.977,1040.227,24554.616,8673664
1,2,main,range,signed,false,8388608,random,3,20446.590,1046.827,24751.389,8673664
1,2,main,range,signed,false,8388608,random,4,20233.826,1050.687,24752.249,8673664
1,2,main,range,signed,false,8388608,random,5,20986.749,1044.646,25350.819,8673664
1,3,branch,range,signed,false,8388608,random,1,18951.756,1115.928,21666.300,8673664
1,3,branch,range,signed,false,8388608,random,2,20231.056,1035.877,22877.169,8673664
1,3,branch,range,signed,false,8388608,random,3,20632.073,1047.167,23301.756,8673664
1,3,branch,range,signed,false,8388608,random,4,20230.446,1044.747,22972.651,8673664
1,3,branch,range,signed,false,8388608,random,5,20465.200,1043.087,23139.904,8673664
2,0,main,range,signed,false,8388608,random,1,18999.606,1073.138,23352.197,8673664
2,0,main,range,signed,false,8388608,random,2,20326.398,1050.307,24639.308,8673664
2,0,main,range,signed,false,8388608,random,3,20249.586,1042.967,24551.276,8673664
2,0,main,range,signed,false,8388608,random,4,20230.627,1044.097,24515.406,8673664
2,0,main,range,signed,false,8388608,random,5,20229.626,1045.377,24523.905,8673664
2,1,branch,range,signed,false,8388608,random,1,18909.525,1041.887,21538.697,8673664
2,1,branch,range,signed,false,8388608,random,2,20244.956,1042.737,22727.237,8673664
2,1,branch,range,signed,false,8388608,random,3,20266.347,1038.047,22925.090,8673664
2,1,branch,range,signed,false,8388608,random,4,20173.995,1034.587,22824.478,8673664
2,1,branch,range,signed,false,8388608,random,5,20178.455,1036.317,22765.177,8673664
2,2,branch,range,signed,false,8388608,random,1,18864.935,1044.267,21507.177,8673664
2,2,branch,range,signed,false,8388608,random,2,20335.848,1036.917,22935.560,8673664
2,2,branch,range,signed,false,8388608,random,3,20268.867,1046.847,22928.750,8673664
2,2,branch,range,signed,false,8388608,random,4,20378.449,1087.257,23078.553,8673664
2,2,branch,range,signed,false,8388608,random,5,20239.057,1037.666,22877.699,8673664
2,3,main,range,signed,false,8388608,random,1,19139.199,1044.747,23516.490,8673664
2,3,main,range,signed,false,8388608,random,2,20270.597,1041.397,24577.737,8673664
2,3,main,range,signed,false,8388608,random,3,20082.424,1046.106,24364.433,8673664
2,3,main,range,signed,false,8388608,random,4,19841.340,1036.877,24099.139,8673664
2,3,main,range,signed,false,8388608,random,5,20374.928,1049.927,24687.598,8673664
3,0,branch,range,signed,false,8388608,random,1,18595.899,1038.817,21160.591,8673664
3,0,branch,range,signed,false,8388608,random,2,20099.814,1041.357,22706.846,8673664
3,0,branch,range,signed,false,8388608,random,3,20225.356,1048.837,22862.868,8673664
3,0,branch,range,signed,false,8388608,random,4,20211.606,1040.567,22842.458,8673664
3,0,branch,range,signed,false,8388608,random,5,20183.556,1052.317,22782.138,8673664
3,1,main,range,signed,false,8388608,random,1,18922.865,1037.797,23214.525,8673664
3,1,main,range,signed,false,8388608,random,2,19974.542,1056.928,24288.152,8673664
3,1,main,range,signed,false,8388608,random,3,20250.996,1049.447,24553.406,8673664
3,1,main,range,signed,false,8388608,random,4,20219.077,1044.966,24505.906,8673664
3,1,main,range,signed,false,8388608,random,5,20017.783,1046.727,24247.372,8673664
3,2,main,range,signed,false,8388608,random,1,18859.214,1047.847,23168.103,8673664
3,2,main,range,signed,false,8388608,random,2,20259.017,1042.587,24533.646,8673664
3,2,main,range,signed,false,8388608,random,3,20185.306,1053.017,24464.215,8673664
3,2,main,range,signed,false,8388608,random,4,20078.084,1054.627,24388.883,8673664
3,2,main,range,signed,false,8388608,random,5,20201.206,1030.576,24463.394,8673664
3,3,branch,range,signed,false,8388608,random,1,18752.943,1035.776,21328.174,8673664
3,3,branch,range,signed,false,8388608,random,2,20003.273,1035.806,22566.624,8673664
3,3,branch,range,signed,false,8388608,random,3,20034.534,1035.736,22565.944,8673664
3,3,branch,range,signed,false,8388608,random,4,19999.803,1036.486,22564.764,8673664
3,3,branch,range,signed,false,8388608,random,5,20036.613,1039.237,22588.854,8673664
4,0,main,range,signed,false,8388608,random,1,19078.918,1091.037,23438.888,8673664
4,0,main,range,signed,false,8388608,random,2,20421.729,1042.737,24754.309,8673664
4,0,main,range,signed,false,8388608,random,3,20575.321,1046.457,24966.232,8673664
4,0,main,range,signed,false,8388608,random,4,20743.525,1044.476,25214.407,8673664
4,0,main,range,signed,false,8388608,random,5,21214.313,1051.437,25626.804,8673664
4,1,branch,range,signed,false,8388608,random,1,18624.681,1040.726,21187.052,8673664
4,1,branch,range,signed,false,8388608,random,2,20101.144,1044.177,22675.665,8673664
4,1,branch,range,signed,false,8388608,random,3,19921.721,1042.217,22446.672,8673664
4,1,branch,range,signed,false,8388608,random,4,19998.342,1040.657,22618.194,8673664
4,1,branch,range,signed,false,8388608,random,5,20472.710,1034.867,23035.622,8673664
4,2,branch,range,signed,false,8388608,random,1,18331.866,1043.897,21041.529,8673664
4,2,branch,range,signed,false,8388608,random,2,20038.583,1048.957,22583.474,8673664
4,2,branch,range,signed,false,8388608,random,3,20172.616,1043.656,22819.188,8673664
4,2,branch,range,signed,false,8388608,random,4,20452.140,1044.487,23338.986,8673664
4,2,branch,range,signed,false,8388608,random,5,20709.264,1039.987,23431.278,8673664
4,3,main,range,signed,false,8388608,random,1,19349.012,1083.827,23920.286,8673664
4,3,main,range,signed,false,8388608,random,2,20344.628,1048.977,24632.387,8673664
4,3,main,range,signed,false,8388608,random,3,20227.346,1049.317,24723.258,8673664
4,3,main,range,signed,false,8388608,random,4,20841.426,1055.377,25152.936,8673664
4,3,main,range,signed,false,8388608,random,5,19974.192,1035.067,24199.671,8673664
5,0,branch,range,signed,false,8388608,random,1,18255.335,1036.976,20681.334,8673664
5,0,branch,range,signed,false,8388608,random,2,19668.507,1029.317,22002.445,8673664
5,0,branch,range,signed,false,8388608,random,3,19428.173,1031.797,21763.481,8673664
5,0,branch,range,signed,false,8388608,random,4,19645.637,1041.017,22364.571,8673664
5,0,branch,range,signed,false,8388608,random,5,20087.154,1024.736,22592.934,8673664
5,1,main,range,signed,false,8388608,random,1,18436.497,1032.916,22656.225,8673664
5,1,main,range,signed,false,8388608,random,2,19859.450,1034.947,24146.609,8673664
5,1,main,range,signed,false,8388608,random,3,20105.544,1050.297,24406.263,8673664
5,1,main,range,signed,false,8388608,random,4,20142.875,1036.527,24414.444,8673664
5,1,main,range,signed,false,8388608,random,5,20000.752,1032.567,24256.871,8673664
5,2,main,range,signed,false,8388608,random,1,18578.089,1032.067,22836.938,8673664
5,2,main,range,signed,false,8388608,random,2,20164.145,1044.017,24562.246,8673664
5,2,main,range,signed,false,8388608,random,3,20107.535,1041.996,24389.704,8673664
5,2,main,range,signed,false,8388608,random,4,20070.024,1036.257,24347.323,8673664
5,2,main,range,signed,false,8388608,random,5,20023.542,1037.277,24291.001,8673664
5,3,branch,range,signed,false,8388608,random,1,18539.729,1035.746,21056.649,8673664
5,3,branch,range,signed,false,8388608,random,2,19955.272,1043.667,22628.445,8673664
5,3,branch,range,signed,false,8388608,random,3,20156.625,1043.746,22743.936,8673664
5,3,branch,range,signed,false,8388608,random,4,20174.975,1047.827,22736.857,8673664
5,3,branch,range,signed,false,8388608,random,5,19990.163,1045.907,22709.057,8673664
6,0,main,range,signed,false,8388608,random,1,18493.968,1040.476,22821.507,8673664
6,0,main,range,signed,false,8388608,random,2,20134.855,1037.476,24494.325,8673664
