phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,encrypted,true,8388608,pattern,0,556.437,9783.724,10375.422,273792
stream,plain,true,8388608,pattern,0,257.724,10117.548,10407.153,273792
whole,encrypted-signed,false,8388608,pattern,0,1079.924,33306.354,36513.135,8673664
stream,signed,true,8388608,pattern,0,6885.167,4087.052,11006.800,284032
stream,encrypted,false,8388608,pattern,0,328.375,16327.077,20272.758,8659328
whole,encrypted-signed,true,8388608,pattern,0,1058.683,13283.479,14390.343,284032
whole,signed,true,8388608,pattern,0,6730.466,8557.689,15334.385,284032
range,encrypted,true,8388608,pattern,0,234.713,867.901,1113.374,273792
whole,plain,false,8388608,pattern,0,237.693,21544.364,25793.868,8659328
range,encrypted,false,8388608,pattern,0,227.743,14694.367,18078.760,8659328
range,encrypted-signed,true,8388608,pattern,0,1033.703,2711.734,3764.587,284032
whole,signed,false,8388608,pattern,0,18676.427,15127.303,37321.885,8673664
range,encrypted-signed,false,8388608,pattern,0,1013.933,12796.973,16934.626,8673664
range,plain,false,8388608,pattern,0,216.842,9272.698,11040.570,8659328
range,signed,false,8388608,pattern,0,15155.463,1021.153,18212.462,8673664
stream,encrypted-signed,true,8388608,pattern,0,971.022,3931.200,4931.362,284032
stream,signed,false,8388608,pattern,0,14993.741,4647.919,21726.256,8673664
whole,encrypted,false,8388608,pattern,0,215.163,25802.728,30389.677,8659328
whole,plain,true,8388608,pattern,0,241.873,13157.758,13439.761,273792
range,plain,true,8388608,pattern,0,226.093,842.070,1079.374,273792
stream,plain,false,8388608,pattern,0,171.112,10050.358,12271.276,8659328
stream,encrypted-signed,false,8388608,pattern,0,969.503,15339.425,19944.524,8673664
range,signed,true,8388608,pattern,0,8532.239,817.480,9369.629,284032
whole,encrypted,true,8388608,pattern,0,188.982,11364.034,11596.667,273792
range,signed,true,8388608,pattern,1,7079.150,830.390,7938.741,284032
range,encrypted-signed,true,8388608,pattern,1,1027.723,865.851,1909.034,284032
stream,plain,false,8388608,pattern,1,162.233,10442.232,12694.992,8659328
stream,plain,true,8388608,pattern,1,217.232,4106.263,4349.265,273792
range,signed,false,8388608,pattern,1,15506.987,1045.773,18709.638,8673664
range,plain,true,8388608,pattern,1,223.753,1075.044,1321.967,273792
range,encrypted,false,8388608,pattern,1,237.223,9776.485,13116.527,8659328
whole,encrypted,true,8388608,pattern,1,230.123,13391.820,13663.264,273792
stream,encrypted,true,8388608,pattern,1,237.573,3982.921,4247.535,273792
whole,encrypted-signed,true,8388608,pattern,1,1038.273,9248.368,10338.421,284032
whole,plain,false,8388608,pattern,1,209.063,20578.572,24655.494,8659328
whole,signed,true,8388608,pattern,1,8650.530,11732.859,20437.910,284032
range,encrypted,true,8388608,pattern,1,243.803,956.622,1213.555,273792
whole,encrypted-signed,false,8388608,pattern,1,968.023,26411.206,31813.245,8673664
stream,signed,true,8388608,pattern,1,8725.581,5578.971,14351.533,284032
range,plain,false,8388608,pattern,1,211.893,6335.630,8100.223,8659328
stream,signed,false,8388608,pattern,1,15587.598,4719.700,22402.525,8673664
stream,encrypted-signed,true,8388608,pattern,1,1024.543,3975.640,5031.984,284032
whole,signed,false,8388608,pattern,1,15493.228,15298.724,34440.469,8673664
whole,plain,true,8388608,pattern,1,248.223,12583.671,12868.914,273792
stream,encrypted-signed,false,8388608,pattern,1,1001.702,15699.260,20356.619,8673664
stream,encrypted,false,8388608,pattern,1,200.933,20284.938,24148.558,8659328
whole,encrypted,false,8388608,pattern,1,211.523,30085.053,34640.791,8659328
range,encrypted-signed,false,8388608,pattern,1,995.813,14074.439,18114.881,8673664
range,plain,false,8388608,pattern,2,202.973,9254.657,11023.120,8659328
range,encrypted,true,8388608,pattern,2,215.363,970.722,1199.605,273792
whole,encrypted-signed,true,8388608,pattern,2,987.043,8771.332,9803.125,284032
whole,signed,false,8388608,pattern,2,14991.081,14055.708,32578.485,8673664
whole,encrypted,true,8388608,pattern,2,240.813,12353.558,12621.591,273792
stream,encrypted-signed,false,8388608,pattern,2,984.993,15705.370,20360.880,8673664
range,signed,true,8388608,pattern,2,8604.510,824.760,9453.091,284032
stream,signed,false,8388608,pattern,2,17729.585,4692.630,24496.612,8673664
whole,signed,true,8388608,pattern,2,6758.046,8770.672,15572.448,284032
stream,plain,true,8388608,pattern,2,222.423,3912.290,4161.573,273792
stream,plain,false,8388608,pattern,2,204.632,10063.528,12320.286,8659328
range,encrypted-signed,true,8388608,pattern,2,996.453,903.581,1915.504,284032
stream,signed,true,8388608,pattern,2,6602.265,3886.829,10520.744,284032
range,encrypted-signed,false,8388608,pattern,2,965.062,9318.479,13367.300,8673664
stream,encrypted-signed,true,8388608,pattern,2,1004.802,6454.843,7493.775,284032
whole,plain,false,8388608,pattern,2,187.912,22042.600,26056.071,8659328
range,signed,false,8388608,pattern,2,19552.039,1029.343,22636.988,8673664
range,encrypted,false,8388608,pattern,2,193.693,9638.593,12912.715,8659328
whole,plain,true,8388608,pattern,2,224.023,13090.297,13352.760,273792
whole,encrypted,false,8388608,pattern,2,210.963,25596.975,30146.674,8659328
stream,encrypted,false,8388608,pattern,2,216.803,19961.194,23787.463,8659328
stream,encrypted,true,8388608,pattern,2,226.313,7226.202,7483.765,273792
whole,encrypted-signed,false,8388608,pattern,2,975.342,26854.422,32153.559,8673664
range,plain,true,8388608,pattern,2,236.833,2694.445,2947.698,273792
whole,encrypted,true,8388608,pattern,3,188.493,12816.843,13058.326,273792
stream,encrypted,false,8388608,pattern,3,297.234,15330.065,19880.933,8659328
stream,plain,false,8388608,pattern,3,219.022,14954.551,17326.580,8659328
range,encrypted-signed,false,8388608,pattern,3,1020.223,10064.518,14298.132,8673664
range,plain,true,8388608,pattern,3,226.783,2784.176,3028.139,273792
stream,encrypted,true,8388608,pattern,3,198.043,5723.103,5954.436,273792
whole,encrypted,false,8388608,pattern,3,209.052,27526.000,32210.730,8659328
range,signed,false,8388608,pattern,3,19891.814,1047.983,23014.503,8673664
range,encrypted,true,8388608,pattern,3,230.523,898.801,1142.744,273792
range,plain,false,8388608,pattern,3,195.343,5071.485,6817.027,8659328
whole,signed,true,8388608,pattern,3,6817.686,8819.743,15682.729,284032
whole,plain,false,8388608,pattern,3,203.243,20400.949,24482.672,8659328
whole,plain,true,8388608,pattern,3,233.063,13502.052,13779.936,273792
stream,encrypted-signed,true,8388608,pattern,3,1043.424,4144.372,5220.537,284032
stream,signed,true,8388608,pattern,3,6949.699,3928.330,10916.039,284032
stream,plain,true,8388608,pattern,3,208.972,3958.731,4195.463,273792
range,encrypted,false,8388608,pattern,3,205.452,9670.644,13030.936,8659328
range,signed,true,8388608,pattern,3,8705.661,822.451,9551.542,284032
whole,encrypted-signed,true,8388608,pattern,3,956.352,11470.356,12471.159,284032
stream,signed,false,8388608,pattern,3,15300.064,4735.871,22124.621,8673664
range,encrypted-signed,true,8388608,pattern,3,1014.433,958.452,1989.785,284032
whole,encrypted-signed,false,8388608,pattern,3,932.892,25785.929,31173.277,8673664
whole,signed,false,8388608,pattern,3,19629.250,14565.085,37887.112,8673664
stream,encrypted-signed,false,8388608,pattern,3,995.513,18826.929,23494.339,8673664
stream,encrypted,true,8388608,pattern,4,225.582,6572.404,6831.846,273792
range,encrypted-signed,true,8388608,pattern,4,1009.643,1606.190,2634.084,284032
stream,plain,false,8388608,pattern,4,166.152,11422.195,13692.734,8659328
range,signed,false,8388608,pattern,4,15657.919,1039.783,18815.539,8673664
whole,encrypted,true,8388608,pattern,4,225.333,8901.123,9164.067,273792
range,encrypted-signed,false,8388608,pattern,4,991.803,9657.063,13828.056,8673664
whole,encrypted-signed,false,8388608,pattern,4,992.743,30189.254,35601.393,8673664
range,plain,false,8388608,pattern,4,211.982,9486.711,11256.213,8659328
range,encrypted,false,8388608,pattern,4,198.532,9923.736,13302.389,8659328
stream,plain,true,8388608,pattern,4,234.573,6529.493,6796.956,273792
stream,signed,true,8388608,pattern,4,7512.755,3933.490,11487.976,284032
whole,encrypted,false,8388608,pattern,4,207.642,27135.936,31798.045,8659328
stream,signed,false,8388608,pattern,4,19952.284,4691.260,26729.451,8673664
range,encrypted,true,8388608,pattern,4,233.423,978.963,1224.926,273792
stream,encrypted,false,8388608,pattern,4,170.292,15767.251,19669.080,8659328
whole,plain,false,8388608,pattern,4,197.383,25353.652,29648.317,8659328
range,signed,true,8388608,pattern,4,8914.434,834.550,9778.915,284032
stream,encrypted-signed,false,8388608,pattern,4,1164.035,19485.308,24511.452,8673664
range,plain,true,8388608,pattern,4,236.813,2871.186,3128.910,273792
whole,signed,true,8388608,pattern,4,6818.197,12416.608,19271.635,284032
whole,plain,true,8388608,pattern,4,225.503,9418.070,9679.703,273792
stream,encrypted-signed,true,8388608,pattern,4,1141.484,4450.847,5623.291,284032
whole,signed,false,8388608,pattern,4,17599.074,14699.337,36005.988,8673664
whole,encrypted-signed,true,8388608,pattern,4,1058.144,13852.086,14951.890,284032
stream,encrypted-signed,true,8388608,pattern,5,1059.534,4492.927,5583.891,284032
whole,plain,true,8388608,pattern,5,224.813,9182.517,9436.260,273792
range,encrypted-signed,true,8388608,pattern,5,1178.465,986.503,2184.708,284032
stream,plain,true,8388608,pattern,5,240.213,4531.348,4808.211,273792
range,encrypted,false,8388608,pattern,5,281.823,10529.664,14089.039,8659328
stream,encrypted-signed,false,8388608,pattern,5,1064.463,21403.303,26347.515,8673664
stream,plain,false,8388608,pattern,5,276.573,15827.672,18251.972,8659328
stream,encrypted,true,8388608,pattern,5,339.054,4333.495,4710.490,273792
stream,signed,true,8388608,pattern,5,7082.000,4306.715,11433.636,284032
whole,encrypted-signed,true,8388608,pattern,5,1020.582,10394.063,11470.435,284032
range,encrypted,true,8388608,pattern,5,258.183,1089.524,1364.058,273792
range,plain,true,8388608,pattern,5,184.682,862.701,1058.403,273792
stream,signed,false,8388608,pattern,5,17128.478,5014.603,24276.029,8673664
range,encrypted-signed,false,8388608,pattern,5,1030.433,10166.950,14547.186,8673664
range,signed,true,8388608,pattern,5,9106.776,906.032,10050.528,284032
range,signed,false,8388608,pattern,5,18539.886,1054.753,21725.096,8673664
whole,plain,false,8388608,pattern,5,228.113,21218.070,25428.394,8659328
stream,encrypted,false,8388608,pattern,5,341.155,21815.937,25905.440,8659328
whole,encrypted,false,8388608,pattern,5,213.803,30815.622,35552.283,8659328
whole,encrypted,true,8388608,pattern,5,341.755,14139.959,14529.245,273792
range,plain,false,8388608,pattern,5,192.552,5519.250,7299.113,8659328
whole,signed,false,8388608,pattern,5,16631.292,14540.985,34758.263,8673664
whole,encrypted-signed,false,8388608,pattern,5,1138.775,30578.779,36294.163,8673664
whole,signed,true,8388608,pattern,5,8996.845,12303.836,21352.292,284032
stream,encrypted-signed,false,8388608,pattern,6,991.852,16043.535,20834.235,8673664
whole,plain,false,8388608,pattern,6,206.212,26315.365,30696.731,8659328
range,encrypted,true,8388608,pattern,6,367.175,2958.827,3356.183,273792
range,encrypted-signed,false,8388608,pattern,6,1000.893,13283.009,17633.255,8673664
stream,encrypted-signed,true,8388608,pattern,6,1334.067,7424.204,8809.512,284032
stream,signed,false,8388608,pattern,6,19642.140,4962.844,26765.631,8673664
stream,encrypted,true,8388608,pattern,6,251.353,4451.417,4745.271,273792
range,plain,false,8388608,pattern,6,236.533,5776.074,7618.527,8659328
whole,encrypted,true,8388608,pattern,6,252.883,9700.974,10003.027,273792
whole,encrypted-signed,false,8388608,pattern,6,1047.023,27651.212,33501.576,8673664
stream,plain,false,8388608,pattern,6,206.913,15449.327,17778.936,8659328
