phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,encrypted,true,8388608,pattern,0,570.187,9961.336,10567.824,312704
stream,plain,true,8388608,pattern,0,336.355,9447.819,9822.715,312704
whole,encrypted-signed,false,8388608,pattern,0,1209.175,34867.761,38187.273,8673664
stream,signed,true,8388608,pattern,0,8044.681,5064.304,13153.776,322944
stream,encrypted,false,8388608,pattern,0,364.325,16744.452,20745.363,8659328
whole,encrypted-signed,true,8388608,pattern,0,1147.195,14018.687,15215.583,322944
whole,signed,true,8388608,pattern,0,7830.310,9319.907,17198.108,322944
range,encrypted,true,8388608,pattern,0,235.493,1214.715,1470.668,312704
whole,plain,false,8388608,pattern,0,313.114,21246.199,25390.761,8659328
range,encrypted,false,8388608,pattern,0,227.233,13975.137,17253.058,8659328
range,encrypted-signed,true,8388608,pattern,0,1025.083,2698.294,3752.727,322944
whole,signed,false,8388608,pattern,0,18992.591,14619.154,37129.790,8673664
range,encrypted-signed,false,8388608,pattern,0,994.442,12605.660,16667.140,8673664
range,plain,false,8388608,pattern,0,203.513,9384.438,11153.131,8659328
range,signed,false,8388608,pattern,0,15261.363,1035.023,18362.082,8673664
stream,encrypted-signed,true,8388608,pattern,0,981.733,5103.544,6126.378,322944
stream,signed,false,8388608,pattern,0,15206.872,4711.490,22028.669,8673664
whole,encrypted,false,8388608,pattern,0,217.523,26715.048,31347.807,8659328
whole,plain,true,8388608,pattern,0,237.083,14215.680,14500.254,312704
range,plain,true,8388608,pattern,0,229.023,1203.045,1452.679,312704
stream,plain,false,8388608,pattern,0,158.282,10370.551,12613.280,8659328
stream,encrypted-signed,false,8388608,pattern,0,958.232,16084.014,20737.322,8673664
range,signed,true,8388608,pattern,0,9468.140,1169.285,10682.995,322944
whole,encrypted,true,8388608,pattern,0,232.893,13396.859,13683.273,312704
range,signed,true,8388608,pattern,1,8005.941,1164.505,9214.486,322944
range,encrypted-signed,true,8388608,pattern,1,1012.272,1245.906,2288.129,322944
stream,plain,false,8388608,pattern,1,180.232,10641.255,12927.133,8659328
stream,plain,true,8388608,pattern,1,235.853,5151.895,5430.989,312704
range,signed,false,8388608,pattern,1,15572.817,1044.474,18713.587,8673664
range,plain,true,8388608,pattern,1,231.983,1276.756,1530.529,312704
range,encrypted,false,8388608,pattern,1,173.462,9745.574,13045.765,8659328
whole,encrypted,true,8388608,pattern,1,254.283,14321.071,14625.885,312704
stream,encrypted,true,8388608,pattern,1,233.323,4952.043,5217.766,312704
whole,encrypted-signed,true,8388608,pattern,1,990.742,9806.494,10843.187,322944
whole,plain,false,8388608,pattern,1,195.592,20681.182,24704.742,8659328
whole,signed,true,8388608,pattern,1,9431.509,12889.083,22374.503,322944
range,encrypted,true,8388608,pattern,1,253.713,1255.386,1530.170,312704
whole,encrypted-signed,false,8388608,pattern,1,936.282,26098.530,31375.127,8673664
stream,signed,true,8388608,pattern,1,9420.029,6681.705,16151.884,322944
range,plain,false,8388608,pattern,1,266.103,6755.066,8595.949,8659328
stream,signed,false,8388608,pattern,1,15665.078,4674.359,22421.724,8673664
stream,encrypted-signed,true,8388608,pattern,1,1019.272,5043.284,6103.937,322944
whole,signed,false,8388608,pattern,1,15092.631,14462.533,33022.378,8673664
whole,plain,true,8388608,pattern,1,234.313,12696.961,12979.944,312704
stream,encrypted-signed,false,8388608,pattern,1,986.823,15654.848,20250.496,8673664
stream,encrypted,false,8388608,pattern,1,203.682,19919.242,23710.630,8659328
whole,encrypted,false,8388608,pattern,1,219.393,30265.433,34828.871,8659328
range,encrypted-signed,false,8388608,pattern,1,1004.033,14239.380,18355.872,8673664
range,plain,false,8388608,pattern,2,208.293,9539.961,11344.024,8659328
range,encrypted,true,8388608,pattern,2,235.623,1289.647,1547.240,312704
whole,encrypted-signed,true,8388608,pattern,2,970.792,9938.986,10957.139,322944
whole,signed,false,8388608,pattern,2,15585.167,14531.834,33519.804,8673664
whole,encrypted,true,8388608,pattern,2,249.403,12740.271,13033.885,312704
stream,encrypted-signed,false,8388608,pattern,2,971.933,15989.362,20617.941,8673664
range,signed,true,8388608,pattern,2,9559.961,1155.404,10760.406,322944
stream,signed,false,8388608,pattern,2,18813.158,4686.750,25591.184,8673664
whole,signed,true,8388608,pattern,2,7909.340,9829.194,17787.424,322944
stream,plain,true,8388608,pattern,2,220.113,5117.525,5376.868,312704
stream,plain,false,8388608,pattern,2,193.422,10509.603,12797.351,8659328
range,encrypted-signed,true,8388608,pattern,2,1021.793,1286.346,2336.880,322944
stream,signed,true,8388608,pattern,2,7758.088,4973.143,12772.101,322944
range,encrypted-signed,false,8388608,pattern,2,981.413,9863.804,13959.677,8673664
stream,encrypted-signed,true,8388608,pattern,2,1027.553,8345.496,9425.089,322944
whole,plain,false,8388608,pattern,2,204.543,22208.670,26323.573,8659328
range,signed,false,8388608,pattern,2,20277.746,1045.963,23452.336,8673664
range,encrypted,false,8388608,pattern,2,233.163,10248.500,13652.473,8659328
whole,plain,true,8388608,pattern,2,238.703,14335.002,14628.745,312704
whole,encrypted,false,8388608,pattern,2,227.463,26559.586,31065.193,8659328
stream,encrypted,false,8388608,pattern,2,215.252,20183.336,24053.444,8659328
stream,encrypted,true,8388608,pattern,2,249.453,8284.335,8574.348,312704
whole,encrypted-signed,false,8388608,pattern,2,979.872,27804.172,33198.450,8673664
range,plain,true,8388608,pattern,2,226.913,2850.116,3108.309,312704
whole,encrypted,true,8388608,pattern,3,215.023,13158.106,13424.259,312704
stream,encrypted,false,8388608,pattern,3,218.223,15978.982,19900.092,8659328
stream,plain,false,8388608,pattern,3,202.973,14875.048,17171.458,8659328
range,encrypted-signed,false,8388608,pattern,3,979.403,10000.096,14080.968,8673664
range,plain,true,8388608,pattern,3,225.453,2700.304,2957.708,312704
stream,encrypted,true,8388608,pattern,3,202.142,6750.926,6992.778,312704
whole,encrypted,false,8388608,pattern,3,208.943,27511.397,32069.095,8659328
range,signed,false,8388608,pattern,3,19985.483,1037.553,23116.542,8673664
range,encrypted,true,8388608,pattern,3,251.223,1305.527,1579.230,312704
range,plain,false,8388608,pattern,3,160.903,5264.316,6971.529,8659328
whole,signed,true,8388608,pattern,3,7915.360,9792.024,17759.525,322944
whole,plain,false,8388608,pattern,3,202.443,20870.684,24926.116,8659328
whole,plain,true,8388608,pattern,3,229.603,14181.020,14459.543,312704
stream,encrypted-signed,true,8388608,pattern,3,1026.983,5104.654,6172.618,322944
stream,signed,true,8388608,pattern,3,7890.850,4983.893,12918.364,322944
stream,plain,true,8388608,pattern,3,220.953,5130.695,5393.339,312704
range,encrypted,false,8388608,pattern,3,217.003,9867.615,13330.479,8659328
range,signed,true,8388608,pattern,3,9503.360,1161.905,10712.535,322944
whole,encrypted-signed,true,8388608,pattern,3,1013.203,13054.305,14122.088,322944
stream,signed,false,8388608,pattern,3,15768.579,4756.090,22654.447,8673664
range,encrypted-signed,true,8388608,pattern,3,1046.013,1318.567,2392.490,322944
whole,encrypted-signed,false,8388608,pattern,3,923.521,26080.260,31341.926,8673664
whole,signed,false,8388608,pattern,3,20021.373,14637.295,38140.972,8673664
stream,encrypted-signed,false,8388608,pattern,3,987.432,18934.450,23574.688,8673664
stream,encrypted,true,8388608,pattern,4,245.573,8345.315,8637.189,312704
range,encrypted-signed,true,8388608,pattern,4,1010.812,1266.297,2302.759,322944
stream,plain,false,8388608,pattern,4,166.122,11850.370,14103.199,8659328
range,signed,false,8388608,pattern,4,15877.281,1037.713,19016.741,8673664
whole,encrypted,true,8388608,pattern,4,248.093,9828.095,10121.688,312704
range,encrypted-signed,false,8388608,pattern,4,972.832,9746.714,13796.684,8673664
whole,encrypted-signed,false,8388608,pattern,4,981.033,30755.509,36133.777,8673664
range,plain,false,8388608,pattern,4,204.462,9484.480,11255.952,8659328
range,encrypted,false,8388608,pattern,4,200.862,9750.734,13046.595,8659328
stream,plain,true,8388608,pattern,4,227.513,8076.022,8345.696,312704
