phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
write,encrypted-signed,false,8388608,pattern,0,0.000,0.000,135160.095,8673664
write,plain,true,8388608,pattern,0,0.000,0.000,31640.782,312704
write,encrypted,false,8388608,pattern,0,0.000,0.000,221092.059,8659328
write,plain,false,8388608,pattern,0,0.000,0.000,237577.754,8659328
write,signed,false,8388608,pattern,0,0.000,0.000,152658.672,8673664
write,signed,true,8388608,pattern,0,0.000,0.000,37816.349,322944
write,encrypted-signed,true,8388608,pattern,0,0.000,0.000,34418.926,322944
write,encrypted,true,8388608,pattern,0,0.000,0.000,29108.471,312704
write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,32705.156,322944
write,signed,false,8388608,pattern,1,0.000,0.000,171604.246,8673664
write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,136174.677,8673664
write,plain,true,8388608,pattern,1,0.000,0.000,29116.831,312704
write,encrypted,false,8388608,pattern,1,0.000,0.000,150272.353,8659328
write,signed,true,8388608,pattern,1,0.000,0.000,40118.017,322944
write,plain,false,8388608,pattern,1,0.000,0.000,124625.285,8659328
write,encrypted,true,8388608,pattern,1,0.000,0.000,33093.111,312704
write,signed,false,8388608,pattern,2,0.000,0.000,128783.306,8673664
write,plain,false,8388608,pattern,2,0.000,0.000,114602.261,8659328
write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,129735.808,8673664
write,plain,true,8388608,pattern,2,0.000,0.000,28013.688,312704
write,encrypted,true,8388608,pattern,2,0.000,0.000,28055.078,312704
write,encrypted,false,8388608,pattern,2,0.000,0.000,130204.024,8659328
write,signed,true,8388608,pattern,2,0.000,0.000,37365.253,322944
write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,33008.010,322944
