phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,encrypted,true,8388608,random,0,672.458,24768.963,26657.597,8659328
stream,plain,true,8388608,random,0,413.865,15486.812,17518.708,8659328
whole,encrypted-signed,false,8388608,random,0,1355.318,28054.296,31974.877,8673664
stream,signed,true,8388608,random,0,22044.608,4915.524,28475.742,8669568
stream,encrypted,false,8388608,random,0,410.956,20669.479,22741.107,8659328
whole,encrypted-signed,true,8388608,random,0,1268.666,27167.684,31355.448,8669568
whole,signed,true,8388608,random,0,21698.223,14329.067,36678.689,8669568
range,encrypted,true,8388608,random,0,373.685,11192.526,13671.929,8659328
whole,plain,false,8388608,random,0,353.715,25687.665,28196.918,8659328
range,encrypted,false,8388608,random,0,289.864,13730.689,16095.510,8659328
range,encrypted-signed,true,8388608,random,0,1111.804,14849.834,18175.567,8669568
whole,signed,false,8388608,random,0,23921.401,13233.333,39281.182,8673664
range,encrypted-signed,false,8388608,random,0,1180.405,13257.223,16556.985,8673664
range,plain,false,8388608,random,0,359.115,10817.671,11494.000,8659328
range,signed,false,8388608,random,0,16431.934,1050.164,17938.364,8673664
stream,encrypted-signed,true,8388608,random,0,1066.574,15318.419,18417.530,8669568
stream,signed,false,8388608,random,0,20517.017,4851.313,25716.645,8673664
whole,encrypted,false,8388608,random,0,279.083,22719.357,25513.222,8659328
whole,plain,true,8388608,random,0,400.805,24865.584,27278.616,8659328
range,plain,true,8388608,random,0,256.324,8743.364,9372.833,8659328
stream,plain,false,8388608,random,0,203.652,11525.771,12174.198,8659328
stream,encrypted-signed,false,8388608,random,0,1023.584,15395.920,18467.431,8673664
range,signed,true,8388608,random,0,21883.795,1058.464,23433.175,8669568
whole,encrypted,true,8388608,random,0,374.215,23585.678,26472.795,8659328
range,signed,true,8388608,random,1,20565.288,1056.904,22115.688,8669568
range,encrypted-signed,true,8388608,random,1,1066.684,10320.575,13664.948,8669568
stream,plain,false,8388608,random,1,253.344,16996.491,17910.724,8659328
stream,plain,true,8388608,random,1,273.883,12997.140,13806.070,8659328
range,signed,false,8388608,random,1,16864.599,1065.484,18544.201,8673664
range,plain,true,8388608,random,1,253.673,6018.069,6624.157,8659328
range,encrypted,false,8388608,random,1,244.233,10046.561,12378.242,8659328
whole,encrypted,true,8388608,random,1,258.184,27697.131,30654.810,8659328
stream,encrypted,true,8388608,random,1,296.214,20245.594,22692.736,8659328
whole,encrypted-signed,true,8388608,random,1,1108.074,27986.865,31813.325,8669568
whole,plain,false,8388608,random,1,214.283,24980.305,27425.797,8659328
