phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
write,encrypted-signed,false,8388608,random,0,0.000,0.000,134580.800,8673664
write,plain,true,8388608,random,0,0.000,0.000,124412.548,8659328
write,encrypted,false,8388608,random,0,0.000,0.000,123191.132,8659328
write,plain,false,8388608,random,0,0.000,0.000,141727.353,8659328
write,signed,false,8388608,random,0,0.000,0.000,133036.590,8673664
write,signed,true,8388608,random,0,0.000,0.000,140971.944,8669568
write,encrypted-signed,true,8388608,random,0,0.000,0.000,129036.698,8669568
write,encrypted,true,8388608,random,0,0.000,0.000,128053.455,8659328
write,encrypted-signed,true,8388608,random,1,0.000,0.000,130406.346,8669568
write,signed,false,8388608,random,1,0.000,0.000,1129179.711,8673664
write,encrypted-signed,false,8388608,random,1,0.000,0.000,156006.120,8673664
write,plain,true,8388608,random,1,0.000,0.000,123549.017,8659328
write,encrypted,false,8388608,random,1,0.000,0.000,122995.971,8659328
write,signed,true,8388608,random,1,0.000,0.000,139338.263,8669568
write,plain,false,8388608,random,1,0.000,0.000,121242.528,8659328
write,encrypted,true,8388608,random,1,0.000,0.000,148621.914,8659328
write,signed,false,8388608,random,2,0.000,0.000,134678.453,8673664
write,plain,false,8388608,random,2,0.000,0.000,128474.612,8659328
write,encrypted-signed,false,8388608,random,2,0.000,0.000,130352.387,8673664
write,plain,true,8388608,random,2,0.000,0.000,125103.739,8659328
write,encrypted,true,8388608,random,2,0.000,0.000,143507.818,8659328
write,encrypted,false,8388608,random,2,0.000,0.000,126993.573,8659328
write,signed,true,8388608,random,2,0.000,0.000,141238.329,8669568
write,encrypted-signed,true,8388608,random,2,0.000,0.000,129963.462,8669568
